name,title,activity_period,notable_deeds,noted_deeds
赵郁卿,伪安达县县长,1932-1945年,任伪安达县县长期间，积极推行日伪殖民政策，强征民夫，搜刮粮食，镇压抗日活动。,
张海鹏,伪安达县警务科科长,1933-1945年,协助日军建立伪警察体系，多次参与抓捕抗日志士，迫害无辜百姓。,
李春润,伪绥化县协和会会长,1937-1945年,在绥化地区宣传“日满亲善”，组织奴化教育，破坏抗日地下组织。,
王永清,伪绥化县保安队队长,1932-1945年,率保安队配合日军“讨伐”抗日武装，杀害多名抗联战士和群众。,
刘德权,伪黑龙江省警务厅特务科员（驻绥化）,1939-1945年,专门搜集抗日情报，参与逮捕和审讯抗联地下交通员。,
高云鹏,伪安达县协和会青年团团长,1940-1945年,组织青年团进行军事训练，协助日军维持治安，检举抗日同情者。,
陈子衡,伪绥化县税捐局局长,1935-1945年,为日军征收高额捐税，强征物资，导致当地民众负担沉重。,
周文彬,伪安达县教育股长,1938-1945年,,推行日语教育和奴化课程，禁止中国传统文化传播。
孙殿英,伪绥化县自卫团团长,1933-1945年,率自卫团配合日军扫荡，烧毁村庄，抢夺百姓财物。,
吴国栋,伪安达县警察署署长,1934-1945年,直接参与镇压安达地区的抗日救国会，逮捕并杀害多名爱国人士。,
