name,title,activity_period,notable_deeds,noted_deeds
张海鹏,伪满热河省省长、伪满第四军管区司令官,1931-1945,原东北军将领，九一八后投敌，在四平、铁西一带协助日军镇压抗日武装，推行殖民统治。,
熙洽,伪满财政部总长、伪满宫内府大臣,1931-1945,吉林籍满清皇族，九一八事变时在吉林开城迎敌，促成日军占领吉林，后长期担任伪满要职。,
于芷山,伪满治安部大臣、伪满第一军管区司令官,1931-1945,原东北军旅长，投日后在四平、铁西地区参与“讨伐”抗日义勇军，屠杀抗日军民。,
吉兴,伪满吉林警备军司令官,1931-1945,原吉林陆军将领，投日后负责吉林地区治安，多次围剿杨靖宇等抗联部队。,
丁超,伪满吉林陆军中将、伪满军事咨议官,1931-1945,,原东北军旅长，1932年投敌，参与镇压四平、铁西一带的抗日活动。
邢士廉,伪满吉林省省长、伪满民生部大臣,1931-1945,原吉林省政府官员，投日后推行奴化教育，协助日军在四平铁西地区建立伪政权。,
金名世,伪满吉林省警务厅长,1931-1945,在四平、铁西地区组织伪警察，抓捕抗日地下工作者，破坏抗联交通线。,
孙其昌,伪满吉林省财政厅长,1931-1945,为日军筹措军费，强征四平铁西地区粮食物资，支持侵华战争。,
荣厚,伪满四平省省长,1941-1945,伪满四平省（辖今四平、铁西一带）首任省长，推行“粮谷出荷”政策，导致当地民众饥荒。,
曲秉善,伪满四平省次长,1941-1945,协助荣厚管理四平省，强制征召劳工，镇压反抗民众。,
王荆山,伪满四平市市长,1937-1945,在四平市（含铁西区）推行日伪法令，组织“协和会”，迫害爱国人士。,
李寿山,伪满四平地区保安团长,1932-1945,率伪军多次袭击抗联小分队，在铁西区设立据点，杀害抗日群众。,
赵欣伯,伪满立法院院长,1932-1945,原吉林律师，投日后参与制定伪满法律，为日本殖民统治提供法理依据，其活动涉及吉林全省。,
韩云阶,伪满经济部大臣,1932-1945,原吉林商人，投日后控制四平铁西地区工商业，为日军掠夺资源。,
罗振邦,伪满四平省警务厅长,1941-1945,在四平铁西地区建立特务网络，抓捕抗联联络员，刑讯逼供。,
