name,title,activity_period,notable_deeds,noted_deeds
杨贞吉,伪山西省公署警务厅厅长,1938-1945,在山西推行日伪警察统治，镇压抗日活动，协助日军抓捕抗日军民。,
苏体仁,伪山西省省长,1938-1943,投靠日军，任伪山西省长，为日军征粮派款，组织伪军协助扫荡。,
王骧,伪山西省公署教育厅厅长,1938-1945,推行奴化教育，宣传“中日亲善”，破坏山西抗日教育体系。,
梁上椿,伪山西省公署财政厅厅长,1938-1945,为日军搜刮山西财政资源，征收苛捐杂税，支持侵华战争。,
赵戴文,伪山西省公署顾问（名义）,1938-1943,,虽名义为顾问，但实际参与伪政权决策，为日军稳定山西统治出谋划策。
张慕陶,伪山西晋北自治政府顾问,1937-1939,在晋北地区协助日军建立伪政权，煽动分裂，破坏抗日统一战线。,
李守信,伪蒙古军政府总司令（活动于山西北部）,1937-1945,率伪蒙古军配合日军进攻山西，在吕梁、柳林周边地区参与扫荡。,
王英,伪绥西自治联军总司令（活动于晋西）,1937-1945,在山西西部及吕梁山区协助日军围剿八路军，残害抗日群众。,
白文蔚,伪离石县知事（柳林属离石）,1939-1942,在离石、柳林地区为日军征粮抓夫，镇压抗日武装，提供情报。,
高干臣,伪离石县保安队队长,1940-1945,率伪保安队在柳林一带袭击抗日游击队，杀害抗日干部。,
刘山,伪柳林镇维持会会长,1940-1945,在柳林镇为日军摊派粮款，强迫民众劳役，告密抗日分子。,
薛文教,伪离石县新民会会长,1941-1945,在柳林地区推行“新民运动”，宣传奴化思想，破坏抗日组织。,
阎虎臣,伪离石县警备队副队长,1942-1945,在柳林周边村庄烧杀抢掠，参与日军“三光”政策行动。,
张子英,伪吕梁山区剿共司令,1943-1945,率伪军配合日军在吕梁山区多次围剿八路军，杀害抗日军民。,
