name,title,activity_period,notable_deeds,noted_deeds
张北生,汪伪江苏省政府委员、伪常州维持会会长,1937-1945,日军占领常州后出任维持会会长，协助日军建立伪政权，征收捐税，镇压抗日活动。,
陈光中,伪武进县知事（县长）,1938-1940,任伪武进县知事期间，推行保甲制度，强征壮丁，配合日军清乡扫荡。,
吴廷元,伪常州警察局局长,1938-1945,指挥伪警察协助日军搜捕抗日志士，破坏地下组织，欺压百姓。,
蒋企范,伪武进县教育科长,1939-1945,,推行奴化教育，强制学校教授日语，删改历史教材，宣扬“中日亲善”。
周佛海,汪伪国民政府财政部部长（常州籍）,1939-1945,虽主要活动于南京，但出生于常州，为汪伪政权核心人物，主持对日经济合作，发行伪币，掠夺物资。,
丁默邨,汪伪特工总部主任（常州籍）,1939-1945,常州人，领导76号特工，在上海、江苏等地暗杀抗日人士，制造白色恐怖。,
李士群,汪伪特工总部副主任（常州籍）,1939-1943,常州人，与丁默邨共同组建76号，残害大量共产党员和抗日群众，后因内讧被毒杀。,
潘达,伪常州商会会长,1938-1945,为日军征购粮食、棉花等战略物资，从中牟利，强迫商户缴纳“慰劳金”。,
沈鸿,伪武进县保安大队长,1940-1945,率伪保安队配合日军“清乡”，在常州周边乡村烧杀抢掠，抓捕壮丁。,
徐宝森,伪常州地方法院院长,1940-1945,审理抗日案件时，按日军旨意判处抗日志士重刑，镇压民众反抗。,
