name,title,activity_period,notable_deeds,activity_area
张海鹏,伪满热河省省长、伪满军政部大臣,1931-1945,原东北军将领，九一八事变后投敌，曾任伪满热河省省长，后任伪满军政部大臣，参与镇压抗日武装，在吉林、白山地区协助日军清剿抗联部队。,
于芷山,伪满第一军管区司令官,1931-1945,原东北军旅长，投敌后任伪满第一军管区司令官，驻防吉林地区，多次率伪军配合日军围剿杨靖宇领导的抗联第一路军，在临江、抚松等地制造多起惨案。,吉林、白山、临江地区
邵本良,伪满东边道讨伐司令,1932-1938,原土匪头目，投日后任伪满东边道讨伐司令，活动于吉林、白山、临江一带，专门围剿抗联，曾多次与杨靖宇部交战，后于1938年被抗联击毙。,
王永清,伪满通化省警务厅长,1935-1945,伪满通化省（辖今白山、临江地区）警务厅长，组织警察和特务，配合日军推行“归屯并户”，切断抗联与群众联系，抓捕并杀害大量抗联地下工作者。,
纪大作,伪满临江县县长,1932-1937,伪满临江县（今临江市）县长，积极推行日伪殖民政策，强征劳工修建警备道路和碉堡，协助日军“讨伐”抗联，并参与镇压当地民众反日运动。,
李永春,伪满抚松县警务科科长,1936-1945,在抚松县（今属白山市）任职期间，多次率警察队袭击抗联密营，逮捕并刑讯抗日群众，提供情报给日军，导致抗联多处秘密联络点被破坏。,
赵明信,伪满长白县协和会会长,1937-1945,在长白县（今属白山地区）担任协和会会长，积极宣传“日满亲善”，组织汉奸团体刺探抗联情报，并参与“治安肃正”行动，迫害抗日家属。,
高德林,伪满靖安军团长,1933-1945,伪满靖安军（驻吉林地区）团长，多次率部参与对白山、临江一带抗联的“大讨伐”，烧毁村庄，抢夺粮食，杀害抗联伤员和百姓。,
崔志光,伪满通化省地方保安局局长,1938-1945,在通化省（含白山、临江）任保安局长，建立地方汉奸武装，配合日军封锁山区，并亲自审讯、杀害被俘的抗联战士和进步群众。,
张联第,伪满吉林市警察厅厅长,1932-1940,在吉林市任职期间，大肆搜捕抗日分子，向日军提供抗联活动情报，并参与“集团部落”建设，迫使山区居民迁移，孤立抗联部队。,
