name,title,activity_period,notable_deeds,not_deeds
温世珍,伪天津特别市市长,1937-1943,投靠日军，任伪天津市市长，推行奴化教育，镇压抗日活动，协助日军经济掠夺。,
潘毓桂,伪天津特别市市长（继任）,1943-1945,继任伪市长，配合日军强化治安，征粮派款，迫害抗日军民。,
方若,伪天津市治安维持会会长,1937-1938,,日军占领天津后组织维持会，协助建立伪政权，为日军提供情报和物资。
刘绍琨,伪天津市警察局局长,1938-1943,指挥伪警察镇压抗日学生和地下党，搜捕爱国人士，配合日军“清乡”。,
王竹林,伪天津市商会会长,1938-1945,为日军筹措军费，强迫商户“献金”，控制天津工商界，帮助日军掠夺战略物资。,
张孤,伪华北政务委员会天津办事处主任,1940-1944,负责协调伪政权与日军关系，推行“治安强化运动”，协助日军征粮和劳役。,
齐燮元,伪华北绥靖军总司令（驻天津）,1939-1945,统率伪军驻防天津及周边，参与“扫荡”抗日根据地，屠杀抗日军民。,
高凌霨,伪天津市参议会议长,1938-1943,组织伪参议会为日伪统治背书，推动“中日亲善”宣传，协助日伪政权稳定统治。,
王揖唐,伪华北政务委员会委员长（常驻天津）,1940-1943,作为华北伪政权最高头目，在天津设立办公机构，推行奴化政策，镇压抗日力量。,
殷汝耕,伪冀东防共自治政府顾问（活动于天津）,1935-1938,参与策划冀东事变，后任伪职，在天津活动，协助日军分裂华北。,
池宗墨,伪天津市教育局局长,1938-1945,推行奴化教育，强制学校教授日语，篡改历史教材，迫害爱国教师。,
李律阁,伪天津市财政局局长,1938-1945,为日伪政权征收苛捐杂税，发行伪币，掠夺民间财富，支持日军战争开支。,
张仁蠡,伪天津市地方法院院长,1939-1945,利用司法权力迫害抗日人士，判处爱国者死刑或长期监禁，维护日伪统治。,
王克敏,伪中华民国临时政府行政委员会委员长（在津活动）,1937-1940,作为华北伪政权首脑之一，多次在天津召开会议，协调日军占领政策。,
曹汝霖,伪华北政务委员会咨询委员（居天津）,1938-1945,虽未任实职，但以旧官僚身份为日伪提供政治咨询，影响天津亲日势力。,
陆宗舆,伪天津市银行联合会会长,1938-1944,控制天津金融业，协助日本正金银行发行军票，扰乱法币市场，掠夺外汇。,
章宗祥,伪华北政务委员会顾问（居天津）,1939-1945,为日伪政权出谋划策，参与起草奴化政策文件，影响天津伪政府决策。,
袁良,伪天津市工务局局长,1938-1943,负责为日军修建军事设施和兵营，强征民工，破坏天津城市设施。,
沈鸿烈,伪天津市社会局局长,1939-1945,控制社会团体，组织“新民会”天津分会，进行反共宣传和特务活动。,
陈中孚,伪天津市保安队队长,1938-1945,指挥伪保安队协助日军巡逻，搜捕抗日地下工作者，参与“治安强化”行动。,
