姓名,籍贯,伪任职务,结局
周佛海,湖南沅陵,汪伪财政部长、伪上海市长，汪伪核心巨头，掌控汪伪财政特务系统,抗战后判处无期徒刑，1948 年病死狱中
丁默邨,湖南常德,汪伪 76 号特工总部主任，汪伪特务大头目，大肆捕杀爱国人士,1947 年南京以汉奸罪枪决
唐令欧,湖南长沙,伪长沙市市长，长沙沦陷时期傀儡首脑，组建伪长沙市自治筹备处,初判十年徒刑，保外后潜逃日本，未归案受重刑新湖南
黄雁九,湖南长沙,日伪拟议的伪湖南省维持会会长，长沙亲日头面人物，为日军联络地方士绅,抗战胜利后被捕判刑
左钦彝,湖南湘阴,伪湘阴县县长兼保安司令，掌握三千伪保安武装；后期暗中掩护抗日武装,抗战胜利后获宽大处理，善终岳阳市情网
张芝文,湖南长沙,长沙沦陷最早维持会骨干，主动举白旗迎日军，筹办伪商会,抗战胜利后逮捕判刑中国新闻网
凌云卿,湖南长沙,伪长沙维持会骨干，人力车工会头目，协助日军管控城市劳工,战后逮捕判刑中国新闻网
姚海燕,湖南临湘,临湘日伪密缉队大队长，充当日军扫荡向导，捕杀群众,抗战胜利公审枪决政协云
魏永林,湖南岳阳,岳阳伪警察巡官，洪山惨案主要凶手，亲手残害多名百姓,抗战胜利公审处决
王劲修,湖南长沙,汪伪军事委员会委员，在华中参与伪军整编，协助清乡,抗战胜利被国民党收编，后起义
黄炳阳,湖南长沙,伪长沙县县长，协助日军征粮、抓劳工、修筑工事,抗战胜利逮捕判刑
胡毓成,湖南邵阳,邵阳伪维持会骨干，被日军称为 “汉奸楷模”，助纣为虐祸害邵阳百姓,抗战胜利公审枪决
