姓名,籍贯,伪任职务,结局
高凌霨,天津（战时属河北）,伪河北省首任省长、天津维持会会长,抗战胜利后被捕，1940 年狱中病死
吴赞周,河北正定,伪河北省省长、全省警备总司令，参与五一大扫荡、治安强化运动,北平解放后判处无期徒刑，1949 年狱中病亡
荣臻,河北枣强,伪河北省省长（抗战后期）,抗战胜利被捕，关押狱中，病死
殷汝耕,浙江平阳,冀东防共自治政府主席，割据冀东 22 县，华北最早傀儡政权头目抖音百科,1947 年南京被执行死刑
齐燮元,河北宁河（今属天津）,伪华北治安总署督办、华北治安军总司令，河北伪军总头目,1946 年南京枪决
潘毓桂,河北盐山,伪天津特别市市长,上海提篮桥监狱服刑，1961 年病死狱中光明数字报
王克敏,浙江杭州,伪华北政务委员会委员长，掌控整个华北伪政权，常驻北平（河北境内）,1945 年被捕，狱中服毒自杀光明数字报
王揖唐,安徽合肥,伪华北政务委员会委员长，推行华北治安强化运动，常驻北平,1948 年北平枪决光明数字报
戴玉波,河北衡水,衡水县伪警备司令，冀中重要伪军，多次带队扫荡根据地,1946 年衡水万人公审，当场枪决
张百奎,河北巨鹿,巨鹿伪警备大队长，双手沾满根据地军民鲜血，制造多起惨案,1951 年公审枪决
孙良诚,河北静海（今属天津）,原西北军，投敌后任伪第二方面军总司令，在冀鲁一带活动,解放后被捕，病死狱中
宋廷裕,河北,伪华北治安军第八集团司令，驻防河北、山东,抗战胜利后被国民政府逮捕处决
李允声,河北遵化,伪冀东保安队头目，盘踞冀东唐山一带,抗战胜利后公审处决
刘化南,河北,伪华北治安军集团军司令，驻防保定、石家庄,1945 年被俘，公审枪决
