姓名,籍贯,伪任职务,结局
爱新觉罗・熙洽,吉林（清宗室）,伪吉林省长官、伪满财政部总长兼伪吉林省省长、伪宫内府大臣；九一八主动献吉林城投降日本，伪吉林政权的缔造者长春市地方...,苏军俘获押苏联，1950 引渡回国，1952 年病死于战犯监狱抖音百科
李铭书,吉林梨树,伪吉林省公署秘书长、伪民政厅厅长，熙洽核心副手，参与组建伪吉林政权,日本投降被苏军逮捕，关押抚顺战犯管理所，狱中病亡
孙其昌,吉林永吉,伪吉林省财政厅厅长、伪滨江省省长，负责伪满财税搜刮,苏军俘虏，抚顺战犯管理所关押，病亡狱中
张燕卿,河北南皮（张之洞之子，长期在吉林任职）,伪吉林省实业厅厅长、伪满外交部大臣，熙洽重要助手,1945 年逃亡日本，滞留海外，未受审判
郭恩霖,吉林,伪吉林省军政厅厅长，伪吉林警备军高级将领，围剿义勇军,苏军逮捕，关押抚顺战犯管理所，病亡狱中
吉兴,辽宁沈阳,伪满第二军管区司令官（驻吉林）、伪尚书府大臣，上将，多次进山讨伐东北抗联抖音百科,苏军俘获，1964 年特赦释放，1969 年去世
于琛澂,吉林双城（今属黑龙江）,伪吉林剿匪司令，伪满国军上将，伪吉林警备军主力指挥官，疯狂围剿抗联与义勇军,日本投降前病死，逃脱战后审判
金名世,吉林,伪吉林省公署机要秘书，后任伪三江省省长，伪满核心官僚,苏军逮捕，抚顺关押，1964 年特赦
邵本良,吉林海龙（梅河口）,伪满混成第六旅团长，南满伪军头目，长期对抗杨靖宇抗联部队中国吉林网,1937 年被日军怀疑通匪，遭毒杀
程斌,吉林,原抗联一师师长，叛变投敌，伪满警察大队长，熟知抗联山地战术，给抗联造成巨大损失党史学习教...,建国后被逮捕，1951 年镇压反革命中枪决
王荆山,吉林长春,长春实业巨头，裕昌源老板；为日军供应军粮，协助开拓团强占农民土地，兼任多个伪协会职务,1951 年抓捕，1952 年以汉奸罪枪决，家产没收
修长余,吉林,伪吉林省警务处处长，掌控吉林伪警察系统，抓捕迫害爱国群众,日本投降被捕，关押后病亡
李桂林,吉林,原东北军旅长，九一八投敌，伪满伪军旅长，驻防吉林各地镇压抗日武装,抗战结束被俘，后病死狱中
常尧臣,吉林,原东北军骑兵旅长，随熙洽投敌，伪吉林警备军将领,苏军逮捕，抚顺战犯管理所，病亡狱中
