姓名,籍贯,伪任职务,结局
苏锡文,福建厦门,伪上海大道市政府市长，上海最早傀儡政权首脑，后任伪市府秘书长,1945 年病死，逃脱审判
傅筱庵,浙江镇海,伪维新政府、汪伪上海特别市市长，工商巨子投敌，推行保甲，搜刮物资,1940 年被军统策反的仆人菜刀刺杀于家中
陈公博,广东南海,汪伪上海特别市市长，汪伪立法院长，后期伪国民政府代主席,1946 年南京枪决上海图书馆...
周佛海,湖南沅陵,汪伪上海特别市市长、伪财政部长，汪伪特务委员会主任,初判死刑，特赦改无期，1948 年狱中病死
卢英,湖北,伪上海特别市警察局长，掌控上海伪警察系统，配合 76 号抓捕爱国人士,抗战胜利被捕，判处死刑执行枪决
丁默邨,湖南常德,76 号特工总部主任，汪伪特务最高头目，上海恐怖统治主导者,1947 年南京老虎桥监狱枪决
李士群,浙江遂昌,76 号特工总部副主任，实际操盘人，上海、苏南清乡元凶,1943 年被日方毒杀于苏州
吴四宝（吴世宝）,江苏南通,76 号警卫总队长，头号行动打手，大肆绑架暗杀,1942 年被日本宪兵毒杀狱中
唐惠民,江苏,76 号特工总部副主任，早期特务头目，后与李士群内讧被排挤,抗战胜利被捕，病死狱中
汪曼云,浙江杭州,76 号、汪伪清乡委员会副秘书长，上海伪社会部高官,战后判处有期徒刑，后再被捕关押，1954 年病逝狱中
马啸天,浙江,76 号上海区区长，抓捕迫害地下抗日人员,抗战胜利逮捕，判处徒刑，狱中病亡
罗君强,湖南湘潭,伪上海特别市副市长，汪伪高官，周佛海派系核心,判处无期徒刑，1970 年上海监狱病逝红色文化网
褚民谊,浙江吴兴,汪伪行政院副院长，常驻上海，汪伪核心大员,1946 年苏州枪决中国新闻网
陈璧君,广东新会,汪精卫妻子，参与汪伪政权决策，在上海活动,无期徒刑，1959 年上海监狱病亡红色文化网
张资平,广东梅县,上海文化汉奸，日伪刊物撰稿，鼓吹大东亚理论,抗战胜利被捕判刑，刑满释放后病逝
胡兰成,浙江嵊县,汪伪《中华日报》总主笔，上海亲日文人，撰写大量投降论调,抗战后潜逃，长期流亡海外，客死日本光明数字报
张善琨,浙江吴兴,伪中华电影联合公司总经理，炮制亲日宣传影片,抗战胜利逃往香港，未受审判
凌启鸿,上海,伪上海特别市社会局局长，管控上海工商社团，搜刮物资,汉奸罪判处死刑执行枪决
潘达,上海,76 号行动大队头目，执行大量暗杀绑架,抗战胜利公审枪决
朱顺林,上海,伪上海沪北区区长，维持会骨干，协助日军管制闸北,1946 年上海高等法院判处死刑
