姓名,籍贯,伪任职务,结局
高凌霨,天津,天津治安维持会委员长、首任伪天津特别市市长、伪河北省省长，天津沦陷初期傀儡首脑,1940 年病亡，未受战后审判
潘毓桂,河北盐山,伪天津特别市市长，战前出卖二十九军情报，造成佟麟阁、赵登禹殉国,抗战胜利被捕，关押提篮桥监狱，1961 年狱中病死
温世珍,天津,伪天津特别市市长（任期最长，1938‑1943），推行保甲、强征劳工、物资掠夺,1951 年镇反，判处死刑枪决
王绪高,辽宁,伪天津特别市市长（1943）,抗战胜利被捕，判处徒刑，狱中病逝
张仁蠡,河北南皮,末代伪天津特别市市长（1943‑1945），张之洞之子,汉奸罪入狱，刑满释放，1951 年去世
李鹏图,河北,伪天津市财政局长、代理市长,战后逮捕判刑，服刑后释放
程锡庚,江苏镇江,伪天津海关监督、伪联银券天津分行经理，推行伪币掠夺经济,1939 年被抗日杀奸团刺杀于天津大光明影院天津市档案...
袁文会,天津,青帮大头目，伪安清道义会首领，为日军搜集情报、抓捕劳工、残害爱国人士,1950 年天津公审，判处死刑枪决
张逊之,天津,汉奸普安协会骨干，配合日本鼓吹华北自治，勾结黑帮,建国后抓捕，公审处决
齐燮元,河北宁河（今属天津宁河）,伪华北治安总署督办、华北绥靖军总司令，伪军最高统帅，总部常在天津活动,1946 年南京军事法庭枪决
柳世平（柳小五）,天津武清,武清伪警备副大队长，郊县伪军头目，多次扫荡冀中根据地,1945 年日本投降前夕被日军处决
赵德谦（赵大欠）,天津津南,卫南洼伪军司令，袭扰津南抗日武装,1944 年津南支队作战中将其击毙
刘勋臣,天津静海,静海‑大城伪治安军司令，河防伪军，制毒贩毒,抗战后被捕，审判判刑
李际春,河北,九一八后天津便衣队暴乱主谋，日本雇佣汉奸武装头目,抗战胜利后逮捕，病死狱中
