姓名,籍贯,伪任职务,结局
汪瑞闿,江西,伪浙江省首任省主席（1938‑1940），杭州伪政权开创者，组建全套伪省厅机构,1940 年病亡杭州，逃脱审判
沈尔乔,浙江萧山,伪浙江省民政厅长，代理伪省主席，主持保甲、奴化行政,抗战胜利被捕，判处徒刑，狱中病逝
梅思平,浙江永嘉（温州）,汪伪组织部长，兼任伪浙江省主席，汪伪核心大员,1946 年南京以汉奸罪枪决浙江省地方...
傅式说,浙江乐清,伪浙江省省长、杭州绥靖主任，推行清乡，搜刮浙西物资,1947 年上海高等法院判处死刑枪决
项致庄,浙江杭州,伪浙江省省长，省保安司令，后调任伪江苏省省长,1946 年汉奸罪枪决抖音百科
丁默邨,湖南常德,伪浙江省末代省长、杭州绥靖公署主任，原 76 号特工头目,1947 年南京执行死刑枪决人民论坛网
何瓒,福建闽侯,伪杭州市首任市长，杭州维持会骨干,1939 年被爱国志士刺杀毙命
谭书奎,浙江,伪杭州市市长,1944 年在杭州西湖饭店门口被抗日武装击毙
吴念中,安徽,伪杭州市后期市长,抗战胜利被捕，判处无期徒刑，狱中死亡
孙棣三,浙江,伪浙江省民政厅长，汪瑞闿时期伪省府核心官僚,抗战胜利逮捕，判刑后病亡狱中
石林森,浙江,伪浙江省警务处长，掌控全省伪警察特务系统，搜捕地下抗日人员,战后逮捕，汉奸罪判刑
徐朴诚,江苏吴江,伪和平军第一师师长，盘踞浙北嘉兴、嘉善，祸害杭嘉湖根据地,抗战胜利被国民党收编，后被俘处决
谢文达,浙江慈溪,伪浙江保安第 1 师师长，宁波、绍兴一带伪军头目，配合日军扫荡,抗战胜利后逮捕处决
汪濂,不详,伪杭县首任知事，杭州近郊伪政权头目,1939 年被爱国诛奸团刺杀身亡
张勉,浙江嘉兴,伪嘉兴县县长，协助日军掠夺蚕丝粮食，推行清乡,抗战胜利公审枪决
王遂,浙江吴兴（湖州）,伪吴兴县县长，浙西铁杆汉奸，多次带路 “清乡”,1946 年湖州公审死刑
翁星若,浙江黄岩,黄岩沦陷维持会会长，依附日军鱼肉百姓,抗战胜利公审处决中国台州网
冯小头,浙江黄岩,黄岩伪维持会骨干，协助日军征粮抓夫,战后公审执行死刑中国台州网
严瑞生,浙江宁波,宁波维持会头目，沦陷时期为日军搜集物资情报,抗战胜利逮捕，判处重刑
