姓名,籍贯,主要伪职（高邮）,结局
郑谦一,高邮,汪伪首任伪高邮县县长，组建伪县公署，推行保甲、良民证，为日军征粮、拉夫，恢复伪税收。,抗战胜利后逮捕，判处有期徒刑
吴景陶,不详,第二任伪高邮县长，配合日伪物资统制，管制运河航运粮食。,战后汉奸罪判处重刑监禁
张济传,不详,第三任伪高邮县长，强化各乡镇伪政权，协助扫荡湖西抗日根据地。,捕获后长期服刑
周敦复,高邮,末代伪高邮县长，直至 1945 年 12 月高邮解放。,高邮战役被俘，公审判刑
王其道,高邮城南,青帮头目，高邮宪兵队暗探长；手下大批密探，刺探新四军情报，抓捕残害抗日干部，敲诈商户，参与偷袭鲌鳝沟根据地。,1944 年被游击连抓获，公审枪决
况明恺,高邮湖荡,湖匪出身，投靠汪伪，伪军扩充队头目，兵力上千；盘踞高邮东南、兴化西部湖荡，多次配合日军扫荡高宝根据地，烧杀抢掠。,抗战胜利被俘，判处死刑
马佑铭,不详,汪伪伪军少将团长，驻防高邮三垛一带；1944 年三垛‑河口伏击战主力，频繁下乡扫荡根据地今日高邮。,三垛河战斗被新四军俘获，按汉奸罪行审判
韩永恩,不详,伪中校副团长，马佑铭副手，参与多次扫荡、清乡封锁。,三垛河伏击战被俘，判刑关押今日高邮
王步熙,不详,界首据点伪特工组组长，界首特务头目，搜集六区游击连情报，参与鲌鳝沟偷袭行动今日高邮。,1944 鲌鳝沟伏击战中被击毙今日高邮
苏湖,不详,界首特工总站长，配合王步熙，专门捕杀地方抗日人员。,鲌鳝沟战斗被击毙今日高邮
黄文明,高邮界首,汉奸密探，为界首日伪提供情报，策划偷袭鲌鳝沟根据地，充当内应今日高邮。,1944 年被民兵抓获，公审枪决今日高邮
张其云,高邮张庄,地方劣绅，原国民党高邮县党部人员；投日后引伪军进驻张庄修筑据点，豢养家丁打手，残害周边百姓，血债累累。,抗战胜利后公审处决
王和民,不详,汪伪第 42 师师长，孙良诚部，主力驻守高邮城内，高邮战役守城伪军主官高邮日报数...。,高邮战役被俘，汉奸罪审判关押
任遒武,不详,伪 42 师副师长，协助王和民防守高邮城。,高邮战役被俘，判刑服刑高邮日报数...
吴维金,外来潜入,日伪派遣潜伏特务，混入我模范营当司务长，密谋策反部队武装暴动投敌。,1941 年破获，公审判处死刑
杨夙兴,高邮南甘垛,地方劣绅，伪乡维持会头目，为据点征集粮款，出卖我方干部情报。,被抗日民主政府镇压
