姓名,籍贯,附敌情况,结局
李度梅,不详（潜伏成都）,成都潜伏敌特组织头目，架设秘密电台，专门窃取新津、双流美军机场情报，向上海汪伪、日本情报机关密报，活动长达三四年人民网文化...。,1944 年军统破获电台，被捕判处死刑枪决
吴冰（川岛芳子助手）,混血，外籍背景，潜入成都,受川岛芳子派遣，经河内、昆明潜入成都，目标刺探川西军用机场、兵工厂情报，在牛市口旅馆落网。,捕获审讯，后处决
朱建正,四川成都,吴冰的本地接应人，负责掩护间谍、传递消息，联络本地眼线。,逮捕判处重刑监禁
陈福安,成都平民,被日特收买，日机空袭成都时，夜间点燃火堆、挥舞反光白布，为轰炸机指示轰炸目标。,抓获后以汉奸罪死刑
张昌德,四川荣昌,川军 144 师师长，在安徽皖南战场率整师投敌；任伪独立方面军中将司令、伪皖南特别区行政长官，在沦陷区建立伪政权，祸害皖南百姓。,抗战胜利后逮捕，1947 年南京处决
姚作宾,四川南部县,长期在北方沦陷区，历任伪青岛维持会总务长、伪青岛特别市市长；大肆搜刮物资献粮献金献飞机资敌。,抗战胜利逮捕，判处死刑执行枪决
王缵绪（王瓒绪）,四川西充,原四川省主席、29 集团军总司令；1944 年潜离重庆赴南京投靠汪伪，任伪军事委员会常务委员、伪武汉绥靖公署主任，广播劝降川军旧部。,抗战胜利捕获，关押，后病死狱中
彭汝尊（彭泰荣）,四川永川,同善社总教主；抗战时期勾结日伪，派遣骨干联络伪满关东军，在四川、西南各省发展道徒，准备伺机武装暴乱接应日军西进抖音百科。,抗战胜利后被捕判刑
彭宝善,四川永川,彭汝尊次子，亲赴长春拜见溥仪与关东军，带回密令，在四川训练 “神兵” 武装，布置西南地下叛乱网络。,逮捕关押，病死狱中
赵毓松,四川，青年党要人,离开四川赴南京，出任汪伪农矿部长、司法行政部长，汪伪中央高官。,抗战胜利被捕，判处无期徒刑
刘从云（刘神仙）,四川,四川著名相士、袍哥、会道门大佬；曾私下与汪伪暗通书信，散布抗战悲观投降言论，煽动地方势力动摇。,被国民政府驱逐出川，解放后被镇压
