姓名,籍贯,主要伪职（常州 / 武进）,结局
吴镜予,常州武进,常州治安维持会首任会长，沦陷后最早的傀儡头目，胁迫商户复工，为日军征调物资、夫役。,抗战胜利被捕，判处有期徒刑，病死狱中
陈森度（陈耀忠）,常州武进,维持会委员、伪巡警队长、伪救火队长；青帮头目，勾结日军下乡扫荡，大肆敲诈、贩毒、残害爱国志士常州史志。,胜利后国民政府判刑；1951 年被镇压
汤卓然,不详,汪伪第一任伪武进县县长，推行保甲联保切结、良民证制度，配合第一期清乡，编纂伪地方刊物为日伪宣传常州市档案...。,战后汉奸罪判处死刑
王扬,不详,第二任伪武进县长，强化物资统制，为日军搜刮粮食布匹。,抗战胜利捕获，判处重刑监禁
张襄梧,不详,第三任伪武进县长，执行清乡封锁政策，编组伪自卫团。,汉奸罪审判，长期徒刑
汤仁杰,不详,第四任伪武进县长，拉拢地方士绅、乡镇势力出任伪职，清乡期间频繁下乡。,战后逮捕，判处有期徒刑
董仲箎,不详,末代伪武进县长，日本投降前履职。,1946 年江苏高等法院判刑
盛计然,武进,伪武进县密探队队长；先投顽军，后投靠日伪，捕杀武南县委妇女部长朱真，残害抗日人员常州史志。,1942 年被武南短枪队就地镇压
张少华,武进奔牛,原国民党游击武装头目，公开投靠日伪，汪伪伪军第 22 师师长，盘踞常州、武进、宜兴一带，配合日军扫荡，作恶极多。,抗战胜利被国民政府收编，后因汉奸罪行被处决
陆慎之,常州,伪武进县警察局局长，掌控伪警察，配合宪兵队搜捕地下抗日人员，参与清乡抓捕。,光复后公审枪决
万祖安,常州,伪武进商会会长，胁迫各行各业缴纳苛捐杂税，为日军筹措物资。,战后逮捕判刑
冯雨笙,常州,继任伪商会会长，执行日伪物资统制，管制粮、棉、布。,汉奸罪判处有期徒刑
马荫棠,金坛,伪金坛县县长，金坛沦陷傀儡主官，组建伪县府、伪保安队。,1945 年 8 月金坛解放被俘，公审处决常州史志
王志贤,金坛,伪金坛宪兵突击队队长，跟随日军扫荡，抓捕残害抗日军民常州史志。,被新四军俘获，公审镇压
