姓名,籍贯,主要伪职（江都）,结局
方小亭,江都扬州,江北自治会会长，伪维新政府伪江都知事，汪伪首任伪江都县长。日军入城次日即出面组织维持，胁迫商户复业，推行保甲连坐，为日军征粮拉夫。,抗战胜利逮捕，判处重刑，病死狱中
周瑞,不详,汪伪第二任伪江都县长，强化物资搜刮，管控运河与沿江粮运。,汉奸罪判处长期徒刑
潘铁侯,不详,汪伪第三任伪江都县长，配合清乡，编组乡镇伪自卫团。,捕获后长期监禁服刑
张济传,不详,汪伪第四任伪江都县长，下乡督促征缴，配合扫荡湖西甘泉抗日根据地。,战后判刑关押邗江史志网
王裕昆,不详,末代伪江都县长，直至日本投降。,1946 年江苏高等法院判处徒刑
吴孝侯,江都,伪江都警察局局长，掌控伪警，配合扬州特工站搜捕地下党员、爱国学生，两次遭锄奸袭击。,战后入狱，病死狱中
周干臣,江都,伪宪兵队翻译、情报组长，专门诱捕爱国学生、地下人员，充当日军耳目。,光复后公审枪决
苗章甫,江都黄珏桥,伪江都县保安大队长、伪自卫团长，盘踞黄珏桥；杀害甘泉区长戴锡九，敲诈百姓、强占民女。,1943 年被甘泉支队围困据点，火攻烧死
王晋斋,江都公道镇,伪 24 师副师长，外号 “王老虎”，驻公道镇；私设水牢，多次下乡扫荡，杀人示众。,部队溃败后潜逃，建国后抓获枪毙
蒋子和,江都公道镇,伪公道镇镇长，死心塌地附敌；征集民夫修工事，敲诈富户，泄露甘泉区署情报。,1943 年甘泉抗日民主政府公审处决邗江史志网
李炳荣,江都公道镇,伪区自卫总团长，蒋子和姑表兄，掌握地方伪武装，配合日伪搜捕。,抗战胜利审判处决邗江史志网
孙锡琪（孙良甫）,江都公道镇,地方帮会头目，勾结扬州打铜巷日军特务机关，收集我方情报，广收门徒扩充势力。,战后汉奸罪判刑关押邗江史志网
谢叶生,江都公道镇,伪地方情报头目，与伪军高层结拜，大开香堂收徒近百人，给日伪提供情报。,抗战胜利公审镇压邗江史志网
姜荣,江都黄珏桥,伪黄珏镇镇长，我方争取对象，后期出卖区长戴锡九情报。,被我方控制改造，从宽处理
熊育衡,外省,伪绥靖第七团司令，分驻瓜洲、霍家桥、仙女庙，多次下乡扫荡江都东南乡。,三垛河伏击战被俘，判刑关押
贡锡九,江都公道桥,伪柏树乡乡长，为日伪征集粮款，泄露我方干部情报，屡劝不改。,甘泉抗日民主政府公审枪决
汪永年,江都裔家乡,伪裔家乡乡长，广收门徒，指使手下迫害抗日家属，烧毁民房。,抗战胜利后清算处决邗江史志网
陈世文、卜贤举、梁呆子,江都三里乡,密探，向日伪告密，引导敌人偷袭我方干部驻地。,1944 年武工队抓获，连夜处决邗江史志网
张百奎,不详,汪伪扬州特工站站长，管辖江都特务活动，设立秘密监狱残害抗日人员。,抗战胜利判处死刑枪决
