姓名,籍贯,伪任职务,结局
萧瑞臣,河北,伪河南省首任省长（伪河南省自治政府），伪政权初创,抗战胜利后被捕，病死狱中
陈静斋,河南安阳,伪河南省省长，推行治安强化、奴化教育，搜刮物资,抗战后被捕，判处徒刑，狱中死亡
田文炳,河南新乡,伪河南省省长（1943‑1944）,抗战胜利后逮捕，1951 年镇反处决河南党史方...
邵文凯,辽宁沈阳,伪河南省省长（1944‑1945）,抗战胜利后被捕，后病死狱中河南党史方...
鲍文樾,辽宁沈阳,伪河南省末代省长（1945.5‑8），汪伪军政部长,1947 年判死刑后改无期，押往台湾，1966 年病亡台湾
张岚峰,河南柘城,豫东最大伪军，伪第二集团军总司令，盘踞商丘柘城，兵力两万余，多次扫荡根据地,抗战后被国民党收编，解放战争被俘，羁押期间病逝狱中党史学习教...
李福和,河南,皇协军第一路军军长，抗战早期投敌，驻防安阳水冶，进攻太行根据地,1938 年部下起义，曲沟事变中将其就地击毙
王自全,河南安阳,伪华北剿共军独立第二旅旅长，盘踞安阳崔家桥,日本投降投靠国民党；1949 年被俘，公审枪决
孙殿英,河南永城,原国民党将领，投敌任伪第二十四集团军副总司令，豫北活动,1945 年被俘，关押途中病死
庞炳勋,河北新河,伪第二十四集团军总司令，和孙殿英一同投敌，盘踞豫北,抗战胜利后投靠国民党，逃往台湾，病亡台湾
杜淑,河南,伪第六军军长，豫北伪军主力，参与卫南战役,卫南战役被八路军重创，后被国民政府逮捕审判
扈全禄,河南滑县,伪第六旅旅长，滑县浚县一带皇协军，祸害卫南地区,卫南战役部队被歼灭，本人逃窜，后被捕获处决
张玉振（张金声）,河南获嘉,伪获嘉县知事、维持会会长，焚村、强征劳工、贩卖鸦片,1950 年抓捕，万人公审后枪决
吴蓝田,河南,豫西伪军头目，清剿根据地、出卖地下人员,投降后隐匿上海，被抓获押回河南公审枪决
