姓名,籍贯,伪任职务,结局
萧淑宇,江西永新,汪伪预定伪江西省省长，尚未到任，准备赴南昌就职,1941 年在吉安被军统就地刺杀，未正式上任伪职
邓祖禹,江西吉安,汪伪首任伪江西省省长、保安司令，省府驻九江，统辖赣北伪政权,抗战胜利被捕，判处徒刑，狱中病逝
高冠吾,江苏崇明,汪伪第二任伪江西省省长，此前任江苏、安徽伪省长，主持赣北清乡,抗战胜利后隐匿，1953 年病死于济南狱中抖音百科
黄自强,福建晋江,汪伪末代伪江西省省长、九江绥靖主任,抗战胜利逃往台湾，后被枪击身亡
胡薰,江西南昌,伪南昌特别市市长，南昌维持会头目，征粮抓夫、协助日军统治南昌,抗战胜利后逮捕，判处死刑枪决
周振亚,江西九江,伪九江市市长、九江治安维持会会长，赣北早期傀儡头目,抗战胜利公审枪决
余传忠,江西瑞昌,伪瑞昌县县长、伪保安总队长，多次带路扫荡，屠杀抗日军民,1945 年日本投降后被诱捕捕杀
范俊文,河南开封,伪安义县特务队长，手段残暴，多次纵火屠村，残害大量群众,抗战胜利后江西公审，执行死刑
吕伯荪,江西永修,伪永修县县长，配合日军修筑据点，强征粮食劳工,抗战胜利被捕，判处死刑
张慕韩,江西新建,伪新建县县长，组建伪保安队，围剿赣西北抗日游击队,镇反时期公审处决
刘丙炎,江西湖口,伪湖口县长，归伪安徽体系代管，协助日军管控长江航运,抗战胜利公审枪决
李运启,江西彭泽,伪彭泽县长，隶属伪安徽，搜刮物资，抓捕爱国人士,被捕后判处死刑执行枪决
吴望伋,江西,汪伪国民党中央委员，赣籍在南京汪伪中央任职，鼓吹投降理论,抗战胜利逮捕，判处无期徒刑
熊旭初,江西德安,伪德安县维持会会长、伪副县长，为日军搜集情报，迫害地下人员,抗战胜利后判刑，服刑期间死亡
