县份,姓名,籍贯,伪职及主要罪行,结局
衡水县（桃城区）,戴玉波,衡水戴家口,伪衡水县警备司令，衡水最大伪军头目；土匪投敌，麾下四千伪军；扫荡带路，破坏地下交通，掠夺粮棉资敌，残害大量干部群众。,1945 衡水解放被俘，1946 万人公审枪决
,王成仁,衡水,日军宪兵队特务班骨干；潜伏乡村告密，抓捕抗日家属，随同伪军下乡敲诈勒索。,抗战胜利后公审处决
,马俊臣,东北流亡,日军翻译；协助刑讯被捕人员，参与推行保甲，向各村勒索物资。,投降后企图逃天津，被民兵抓获镇压
,刘贯一,不详,伪衡水县县长；依附戴玉波伪军，强征壮丁粮草，修建炮楼封锁沟。,战后汉奸罪判处长期徒刑
冀县（冀州）,张子耀,冀县北尉迟,伪冀县警备团副团长；土匪出身，驻防垒头、码头李据点，多次扫荡滏阳河两岸，抓捕县区干部。,冀县解放被俘，公审枪决
,田二红,冀县,土匪头目，投敌伪冀县自卫团司令；四处烧杀抢掠，祸害冀县周边村庄。,1944 年被县大队击毙
,李鼎臣,不详,伪冀县县长；修筑大批碉堡，配合日军扫荡冀南根据地。,战后逮捕判刑
枣强县,王怀庆,不详,伪枣强县县长；枣强为冀南根据地核心，疯狂推行伪大乡，大检举抓捕抗日人员。,战后汉奸罪判处徒刑
,刘老善,枣强,伪枣强警备大队长；伪军主力，常驻枣强城、大营据点，下乡清乡扫荡。,枣强解放被俘枪决
武邑县,宋敬之,不详,伪武邑县县长；五一大扫荡后重建伪政权，搜捕冀中六分区干部。,战后逮捕判刑
,张老墨,武邑,伪武邑警备大队长；多次袭扰武邑、武强交界堡垒村庄。,武邑解放被俘处决
深县（深州）,杨慕周,不详,伪深县县长；深县是冀中根据地腹地，依托县城据点，强征粮秣，抓捕抗日群众。,日本投降潜逃，后抓捕归案判刑
,赵风山,深县,伪深县警备联队长；伪军主力，反复扫荡深县乡村，破坏地道。,深县解放被俘枪决
武强县,张宝臣,不详,伪武强县县长；管控滏阳河沿线，修筑炮楼，迫害抗日家属。,战后判处徒刑
,杜老印,武强,伪武强警备大队长；下乡扫荡，抓捕堡垒户。,武强解放被俘处决
饶阳县,周万银,饶阳,伪饶阳特务头目；扫荡带路，告密地下组织，搜刮粮食，破坏饶阳根据地。,1943 年被冀中武工队伏击击毙
,崔子和,不详,伪饶阳县县长；五一大扫荡之后强化保甲制度。,战后汉奸罪判处徒刑
,宋老奎,饶阳,伪饶阳警备大队长；驻守饶阳县城，出城抢掠村庄。,饶阳解放被俘枪决
安平县,张晓舟,深泽,原安平县抗日县长，叛变投敌；熟悉根据地内情，为日军出谋划策，瓦解抗日力量，危害极大。,安平解放被俘，公审死刑
,李树芬,正定,伪安平警备团独立中队长；直接听命宪兵队，招降纳叛，疯狂抓捕抗日人员。,安平解放公审枪决
,王慎之,不详,伪安平县县长；依附伪军，推行日伪各项政令。,战后逮捕判处无期徒刑
故城县,傅锡九,不详,伪故城县县长；控制运河码头，掠夺粮棉，搜捕运河两岸地下交通人员。,战后汉奸罪判处徒刑
,葛老拐,故城,伪故城警备大队长；驻守故城、郑家口据点，祸害运河沿岸群众。,故城解放被俘枪决
景县,刘敬斋,不详,伪景县县长；景县地处冀鲁边交界，配合日军反复扫荡。,战后逮捕判刑
,杜绍先,景县,伪景县警备大队长；伪军铁杆，多次下乡清乡。,景县解放被俘处决
阜城县,王少安,不详,伪阜城县县长；原属伪渤海道，修筑炮楼，强征壮丁粮草。,战后汉奸罪判处徒刑
,李老黑,阜城,伪阜城警备大队长；驻防阜城、漫河据点，残害抗日军民。,阜城解放被俘枪决
