区域,姓名,籍贯,伪职,主要罪行,结局
大同（伪晋北自治政府‑伪大同省，省级大汉奸）,夏恭,大同,伪晋北自治政府最高委员；伪蒙疆联合自治政府副主席、大同炭矿理事长（1937‑1941）,清末举人，日军占领大同牵头组建维持会，建立伪晋北自治政府；推行 “铲共防共”，编闾保甲，协助日军掠夺大同煤炭、粮食，推行奴化教育，配合日军扫荡雁北各抗日根据地。,1941 年病死，逃脱战后审判，钉在历史耻辱柱上
,马永魁,大同,伪晋北自治政府最高委员，后任伪蒙疆财政部长,大同商会会长，主动迎日军入城；参与搭建晋北伪政权，掌管财政，搜刮物资供给日军，管控商贸与煤炭资源。,日本投降后被捕，以汉奸罪判处重刑
,田汝弼,浑源,伪晋北政厅长官（伪大同省前身）,留日出身，接续管理晋北 13 县；强化治安肃正，强征劳工、粮食，疯狂封锁晋察冀、晋绥边区，推行日语奴化教育。,抗战胜利被捕，汉奸罪判刑
,崔景岚,大同,伪大同省省长（末代）,1943 伪大同省成立后主政，维持伪政权末期统治，配合日军强征物资、抓壮丁。,光复后被捕判刑
,于品卿,蔚县,伪蒙疆联合自治政府副主席，常驻大同、张家口,统筹蒙疆下属察南、晋北，参与分裂傀儡政权，督导晋北伪政务。,1945 张家口公审枪决
大同市区、大同县伪政权与军警特务,吕续卿,大同,伪大同县县长；伪晋北公安厅厅长,主管伪警察系统，推行户口编闾制度，指挥伪警察搜捕地下抗日人员，配合讨伐队下乡清乡。,光复后公审处决
,王梦龄,大同,伪大同县警务科长,指挥便衣特务，在大同城内外抓捕爱国志士，刑讯迫害被捕群众，发展大批乡村密探。,解放后镇反枪决
,宋仲元,大同,伪晋北讨伐队大队长,伪军主力，盘踞大同周边据点，多次配合日军扫荡浑源、灵丘、广灵抗日根据地，烧杀抢掠。,大同解放被俘公审枪决
,张世德,大同,宪兵队便衣特务头目,投靠大同日本宪兵队，发展线人，破获地下交通站，告密抓捕地下党员与爱国群众。,解放后镇压处决
,刘汉山,大同,伪保安团团长,驻守大同城郊，强征壮丁扩充伪军，袭扰根据地边缘村庄。,1945 光复被俘，判处重刑
大同周边郊县（怀仁、左云、阳高等）,李冠英,怀仁,伪怀仁县县长,建立怀仁伪县公署，修筑炮楼，配合日军扫荡雁北西部山区。,战后汉奸罪判刑
,王存义,左云,伪左云警备大队长,驻扎左云县城，频繁配合日军进山清剿大青山、雁北武工队。,解放后公审枪决
,张守业,阳高,伪阳高讨伐队队长,祸害阳高、天镇一带，抓捕抗日干部，敲诈百姓。,1945 年被民兵击毙
