县份,姓名,籍贯,伪职及主要罪行,结局
邢台县城（邢台县）,王毓秀（王一峰）,邢台西先贤,邢台维持会会长，率人出城举日旗迎接日军；组建邢台伪县公署，主导保甲、征粮抓丁资敌，是邢台城最早投敌士绅。,抗战胜利逮捕，1946 年汉奸罪处决
,任国梁,不详,伪冀南道首任道尹（顺德道前身），总领冀南三十余县伪政务。,调走后战后逮捕判刑
,王季章,冀东,伪冀南道后期道尹、伪顺德道道尹，任职四年；推行治安强化运动，统筹 15 县清乡、修筑炮楼封锁沟，奴化教育。,1943 调走，抗战胜利后判处无期徒刑
,高德林,不详,伪华北治安军第 101 集团司令，集团部驻邢台；邢台最大伪军头目，兵力数千，反复扫荡太行、冀南根据地。,日本投降后丢弃部队北逃，解放后清算处决邢台网
,肖结贤,山西临汾,伪邢台警备联队副联队长（实际军事主官），后升任顺德道警备教导团团长，训练全道伪军基层军官。,邢台解放被俘，公审枪决
,曹乃庚,东北,伪邢台警备第一大队大队长，驻防城西山区炮楼，多次进山扫荡。,邢台解放被俘，判处死刑
,孔繁义,邢台王会村,伪邢台警备第三大队大队长，原旧保安队小队长，铁杆汉奸。,解放后镇反公审处决
,吴如田,任县,伪邢台警备二大队大队长，代理副联队长。,城破被俘，判处长期徒刑
沙河县,宋寿山,沙河,伪沙河县维持会会长、首任伪县长；迎接日军入城，组建伪警备队，管控平汉铁路沙河沿线据点。,战后汉奸罪判处徒刑
,李印卿,沙河,伪沙河警备大队长；驻守沙河城、褡裢、册井据点，多次扫荡沙河西部太行边沿村庄。,沙河解放被俘，公审枪决
,刘老惠,沙河,伪警察特务系长，刺探太行根据地情报，抓捕来往交通人员。,镇反时期处决
内丘县,胡绍先,不详,伪内丘县县长；推行治安强化运动，强修封锁沟炮楼，抓捕山区堡垒户。,战后逮捕判刑
,褚德山,内丘,伪内丘警备大队长；盘踞内丘县城、神头、獐么据点，频繁袭扰太行根据地边沿。,1945 年县城解放被俘处决
临城县,赵香亭,临城,伪临城县县长，新民会会长；配合日军对临城西部山区实施扫荡。,日本投降后潜逃，1946 抓捕归案判刑
,王老墨,临城,伪临城警备大队长；驻守临城、西竖据点，抓捕抗日干部群众。,临城解放被俘枪决
柏乡县,耿少文,不详,伪柏乡县县长；组建伪公署，摊派粮款，推行保甲制度。,战后判处有期徒刑
,魏老聪,柏乡,伪柏乡警备大队长；出城扫荡，迫害抗日家属。,柏乡解放被俘处决
隆尧（尧山 + 隆平）,刘善之,不详,伪尧山县县长；修筑大量炮楼，封锁滏阳河两岸。,战后汉奸罪判处徒刑
,尹聘三,隆平,伪隆平县县长；配合日军四五次治安强化运动，抓捕地下党员。,解放后镇反处决
,董双印,隆尧,伪尧山警备大队长；伪军主力，多次下乡清乡。,隆尧解放被俘枪决
任县,刘超群,任县,伪任县警备联队长；日降后被国民党接收大员任晓民收编为旅长，收拢各县伪军固守邢台城。,邢台解放被俘，公审枪决
,张慎修,不详,伪任县县长；强征壮丁粮草资敌，扶持伪大乡。,战后逮捕判刑
南和县,刘磨头（刘增山）,南和,土匪投敌，伪南和保安联队长；烧杀抢掠，血债累累；日降后被国民党收编为旅长，退守邢台。,邢台解放被俘，公审枪决
,王砚田,不详,伪南和县县长；依附刘磨头伪军，推行日伪各项政令。,战后判处长期徒刑
巨鹿县,张百奎（张伯魁）,巨鹿张庄,伪巨鹿保安联队长，冀南著名铁杆汉奸；设立杀人场 “鬼王台”，残害大量干部、战士、群众，手段极其残暴；投降后混入国民党，潜逃上海。,1951 年抓捕押回巨鹿，万人公审处决
,李锡侯,不详,伪巨鹿县县长；配合张百奎伪军，实施清乡、抓丁征粮。,抗战胜利逮捕，判处无期徒刑
平乡县,和梦九,威县出身，后期任伪平乡县长,先威县大汉奸，后任伪平乡县长；日降后被国民党收编为保安第三旅长；收拢伪军顽抗。,1945 被冀南西支队活捉，公审枪决威县发布
,王怀珠,平乡,伪平乡警备大队长；多次扫荡平乡、广宗交界根据地。,平乡解放被俘处决
广宗县,赵一,广宗,原广宗县委书记，叛变投敌任伪广宗县县长；出卖党组织名单，大肆搜捕昔日同志。,广宗解放被俘，公审死刑威县发布
,崔老印,广宗,伪广宗警备大队长；带队下乡扫荡，残害堡垒户。,1945 被俘枪决
威县,和梦九,威县,威县维持会头目，最早迎接日军入城，后转任伪平乡县长（见平乡）。,公审枪决威县发布
,张敬斋,不详,伪威县县长；推行保甲连坐，制造多起抓捕惨案。,战后汉奸罪判处徒刑
,段万庆,威县,伪威县警备大队长；威县伪军实权头目，多次配合日军扫荡冀南根据地。,威县解放被俘处决
清河县,王筱湖,不详,伪清河县县长；管控运河沿线，掠夺粮棉资敌。,战后逮捕判刑
,葛桂山,清河,伪清河警备大队长；盘踞县城、油坊据点，袭扰运河两岸游击区。,清河解放被俘枪决
南宫县,孙梦麟,不详,伪南宫县县长；南宫为冀南根据地核心，日军反复扫荡，伪政权疯狂抓捕抗日人员。,日本投降后潜逃，1947 抓捕归案判刑
,魏老乔,南宫,伪南宫警备大队长；伪军主力，多次出城扫荡。,南宫解放被俘处决
新河县,陈贯一,不详,伪新河县县长；搭建伪公署，推行治安强化运动。,战后判处有期徒刑
,霍老贵,新河,伪新河警备大队长；下乡抢掠，抓捕抗日干部。,新河解放被俘枪决
