姓名,伪职 / 身份,活动地区,核心罪行,最终结局
劳乃心,伪余姚维持会会长、伪余姚县县长,余姚全境,余姚头号铁杆汉奸，民谣 “天上扫帚星，地上劳乃心”；组建侦缉队，破坏四明山地下党组织，抓捕屠杀大量抗日干部群众；主导余姚盐场清乡，强征毛竹修建封锁篱笆，配合日军反复扫荡浙东抗日根据地中国宁波网。,抗战胜利后逮捕，汉奸审判判处死刑，公审枪决。
张妙根,伪余姚保安团团长,余姚,土匪投敌，执掌伪保安团武装，配合劳乃心，下乡搜捕三五支队指战员，残害爱国群众，盘踞余姚各据点。,抗战胜利后以汉奸罪处决。
谢兴如,伪镇海维持会会长、伪镇海县县长,镇海（今北仑）,沦陷初期牵头组建镇海伪自治会，后任伪县长；搭建全套伪政权，设立侦缉总队、水警队，推行保甲、征粮派款，镇压当地抗日活动。,抗战胜利后汉奸审判判处死刑。
胡常英,伪镇海警察局局长,镇海,上海流氓，被日军招揽，执掌伪警察武装，网罗地痞组建侦缉总队，抓捕地下抗日人员，滥施酷刑迫害百姓。,战后逮捕法办。
余寿康,伪镇海自治会副会长,镇海,协助谢兴如组建伪政权，拉拢地方士绅附逆，管理财税，摊派苛捐杂税资敌。,汉奸审判判处有期徒刑。
董杏涛,伪镇海自治会副会长,镇海,参与伪镇海傀儡政权，协助管控城镇，为日军搜集民间情报。,战后判刑惩处。
宋清云,伪慈溪县保安大队大队长,慈溪、庄桥一带,原国民党地方武装头目，率部公开投敌；盘踞庄桥、长石桥据点，多次配合日军扫荡慈北、三北抗日根据地，烧杀劫掠。,抗战后期被抗日武装歼灭，本人被俘处决。
姚华康,伪镇北保安团团长,慈溪龙山、澥浦,投敌之后盘踞澥浦、河头、邱王多处据点，祸害慈北沿海，袭扰三五支队，抓捕接济抗日武装乡民。,抗战胜利后捕获，公审枪决。
沈香亭,日伪密探组长，原镇海炮台副官,宁波城区鄞县,日军特务机关核心爪牙；出面组织欢迎日军入城，广布密探网络，搜捕爱国人士，为芝原平三郎提供情报支持。,抗战胜利后汉奸审判伏法。
郭逸民,伪鄞县维持会骨干,宁波城区（鄞县）,沦陷初期出面张罗伪维持会，拉拢商界士绅归顺日伪，组织奴化宣传。,战后逮捕判刑。
唐阿毛,日伪特务，大华理发店店主,宁波城区,以理发店做掩护，充当日军特务联络点，为日伪特务机关提供场地，结交三教九流搜集情报。,解放后镇压反革命运动惩处。
黄宝奎,鄞县日伪密探,鄞西,向日军告密三五支队人员线索，致使抗日人员被捕遇害，四处刺探乡间抗日动态。,被浙东游击根据地锄奸队处决。
王云沛,伪鄞县县长,宁波鄞县,执掌鄞县伪县公署，推行保甲制度、奴化教育，强征粮饷物资，配合伪十师伪军镇压城区及近郊抗日活动。,抗战胜利后捕获，判处有期徒刑。
许雷生,伪鄞县警察局局长,宁波城区,掌控伪警察队伍，推行宵禁，搜捕城内地下抗日人员，刑讯被捕爱国群众。,战后汉奸审判惩处。
沈九皋,伪象山维持会会长,象山丹城、石浦,象山沦陷组建伪维持会，迎接日军，筹措粮草物资，胁迫乡绅附逆，搭建基层伪统治。,抗战胜利后清算判刑。
周福海,伪象山保安大队长,象山沿海,伪军头目，驻守石浦、丹城据点，骚扰沿海乡村，抓捕抗日爱国群众。,抗战胜利后被俘处决。
陆少家,伪余姚福寿乡事务员,余姚盐区,基层伪爪牙，告密抗日人员，协助日伪清乡，压榨盐民百姓。,根据地抗日武装抓捕，教育释放后仍继续通敌，后被镇压。
