区域,姓名,籍贯,伪职及主要罪行,结局
通辽市区（伪第九军管区驻地）,甘珠尔扎布,辽宁彰武,伪兴安南警备军司令官、伪第九军管区中将司令官，司令部驻通辽；指挥兴安骑兵多次赴热河、冀东讨伐抗日武装，制造大量惨案，推行奴化教育，为日军搜集粮草马匹抖音百科。,1945 被俘，关押改造，1966 年特赦释放
,郭文林,达斡尔族,伪第九军管区司令官（驻通辽）；强化草原治安，搜缴民间武器，布置讨伐队镇压反满抗日活动，配合日军清剿辽北、热河游击武装抖音百科。,被俘关押，后特赦释放
,包善一,科尔沁左翼后旗,伪兴安军骑兵统领，原博王旗统领；九一八后投靠日军，组建伪武装，盘踞科左后旗，为日军征调粮草、马匹，镇压草原反抗力量。,日本投降被国民党收编，解放后镇压处决
,韩色旺,科左中旗,伪兴安军军官；早期参与伪内蒙古自治军，效忠日伪，在科尔沁草原招兵，协助日军控制蒙旗基层。,病死狱中
,关雅亭,通辽,伪兴安南警备军副官处长；参与策划 “归还兵惨案”，诱骗起义蒙古武装，协助日军解除武装、屠杀起义官兵。,解放后镇反公审枪决
,洪景祥,通辽,伪兴安军中校参谋处长；出面诱降聚宝起义部队，欺骗谈判，配合日军屠杀起义人员。,1945 年被俘，判处重刑
,刘庆山,通辽,伪通辽县县长；推行保甲十家连坐，强征粮食、劳工，管制铁路交通，检举抓捕爱国群众。,战后汉奸罪判处长期徒刑
,王鸣山,通辽,伪通辽警务科长；指挥伪警察、特务，搜捕地下抗日人员，刑讯迫害被捕群众。,解放后公审处决
科尔沁左翼中旗（达尔罕旗）,齐默特色木丕勒,郭尔罗斯前旗,伪满蒙政部大臣，哲里木盟盟长；投靠伪满，协助日军控制哲里木各旗，强征牲畜粮草，推行殖民统治。,1942 病死长春
,达理札布,科左中旗,伪兴安南警备军上校；参与诱骗小喇嘛起义部队到通辽，协助日军解除武装审判杀害起义人员。,被俘改造，后病死
科尔沁左翼后旗,朝克图,科左后旗,伪科左后旗旗长；执行日伪政令，管控王府，协助伪兴安军征调骑兵、粮草。,战后管制判刑
,额尔敦巴图,科左后旗,伪旗警务科长；发展乡村密探，镇压草原反满活动。,解放后镇反处决
奈曼旗,苏达那木,奈曼旗,伪奈曼旗旗长；修筑部落（人圈），配合讨伐队围剿周荣久抗日救国军。,日本投降潜逃，后抓捕归案判刑
,宝音达来,奈曼旗,伪奈曼警察讨伐队长；多次进山围剿抗日武装，残害堡垒户。,奈曼解放被俘枪决
库伦旗,那达木德,库伦旗,伪库伦旗旗长；协助日军管控辽蒙交界，搜捕抗日人员。,战后汉奸罪判处徒刑
,道尔吉,库伦旗,伪警察告密分子；出卖加林台起义计划，致使多名爱国警察被捕牺牲，获伪满勋章奖励。,1945 被内部人员击毙
扎鲁特旗,阿拉坦瓦切尔,扎鲁特旗,伪扎鲁特旗旗长；依附日本参事官，推行部落制度，强征粮草牲畜。,战后判刑管制
,洪福僧格,扎鲁特旗,伪扎鲁特旗警务科长；假意参加起义，出卖加林台等人，直接制造起义警察惨案，双手沾满鲜血。,1945 年光复后公审枪决
