县份,姓名,籍贯,伪职及主要罪行,结局
丰润县,凌以忠,河北,伪丰润县县长，兼警备大队长、新民会会长；参与策划潘家峪惨案，部署全县扫荡，强征粮款民夫资敌。,抗战胜利公审判处死刑
,李继贵,丰润,伪丰润警备队副大队长，伪军实权头目，带队参与潘家峪扫荡，多次进山围剿冀东游击队。,1946 公审枪决
,王治国,丰润,伪丰润县警察所所长，配合宪兵抓捕抗日干部群众，参与潘家峪行动部署。,镇反时期处决
,李连生,丰润,伪丰润警察所特务系长，特务头目，专门搜捕地下交通站，酷刑逼供被捕人员。,解放后清算处死
,王玉屏,丰润车轴山,原京东特委党员，叛变投敌，出卖 7 名党组织领导人名单，准备带路抓捕。,1936 年被高小安率武工队锄奸处决唐山党史网
玉田县,隋明福,河北,伪玉田县县长；配合日军铃木启久，推行第四次治安强化运动；组建反共自卫团、棍儿团，炮制八大杀禁律，一周抓捕三千余抗日人员，制造玉田大抓捕惨案唐山党史网。,冀东民主政府公审死刑
,王秉孝,玉田,铁杆汉奸，隋明福心腹；主持伪大乡、良民证登记，告密大批党员干部，策动士绅附逆。,抗战胜利公审处决
,郎介三,迁安郎庄,区分：虽任伪玉田县长，但属于我方统战爱国士绅，利用伪职掩护抗日，不属于汉奸抖音百科。,抗战胜利后闲居原籍
丰南（旧丰南办事处）,王子林（三嘎子）,丰南小集,伪冀东警备队头目、路南反共联防主任；盘踞小集、稻地，修筑大量炮楼，频繁扫荡路南根据地；惯用麻袋沉河杀害群众，血债累累。,1947 小集据点攻克被俘，公审枪决
,邸国珍（张福生）,丰南邸庄,伪自卫大队长、保安 26 团副团长；稻地大桥设卡盘查，溺杀无辜；日降后改任还乡团继续残害革命家属，毁容潜逃仍被抓获。,1951 年公审枪决
,李荣三,不详,伪丰南办事处主任（等同伪县长），依附王子林，推行清乡，搜集路南游击队情报，抓捕地方干部。,1944 西葛各庄被八路军伏击击毙
迁安县（含迁西）,汤鹏举,大连,伪迁安县警备联队副联队长，实权远超伪县长；精通日语，深受日军信任；大肆捕杀抗日军民，多次扫荡迁青平无人区根据地；被捕后还密谋暴狱作乱。,1959 迁安万人公审，判处死刑
,卞金山,大连,伪迁安县公署督察员、日军翻译；引荐汤鹏举，充当日军耳目，敲诈商户，迫害爱国群众。,1946 汉奸罪判处死刑
,高首三（高甲第，高阎王）,迁西罗家屯,伪治安军独立二十团团长，兵力千余；迁安‑迁西北部最强伪军；反复清乡扫荡迁青平根据地，制造多起村庄惨案，扶持乡村特务眼线；日降后投靠国民党潜伏。,1952 罗家屯万人公审枪决
,秦海清,迁西,罗家屯反共自卫团团长，高首三的心腹；抓捕地下负责人李方州，施加酷刑，发展各村密探网络。,镇反公审处决
,高玉芝、魏东风、司营、任宝合,迁安北部无人区,本地干部叛变投敌；充当特务，刺探情报，带领日军扫荡长城沿线根据地，破坏我方基层组织唐山党史网。,抗战期间陆续被锄奸 / 战后清算处决
遵化县,黄宝忠,遵化,伪遵化县县长，新民会会长；推行治安强化运动，制造遵化多处无人区，强修炮楼封锁沟。,抗战胜利判处无期徒刑
,李宝仁,遵化,伪遵化警备大队长，伪军主力，多次配合日军扫荡盘山、鲁家峪根据地。,解放后镇反枪决
滦县（含滦南）,唐树森,滦县,原村级抗日办事员，被捕叛变；充当特务向导，告密烧死抗日群众高清，指认暴动参与者与抗日家属。,抗战胜利村民抓获，公审处死
,张其昌,滦县,伪滦县县长，冀东道重点傀儡，管控滦河沿线据点，掠夺粮食矿产资敌。,1946 年判处长期徒刑
乐亭县,苗雨田,乐亭,伪乐亭县长，组建伪县公署，推行保甲，搜捕冀东地下党组织。,抗战胜利逮捕判刑
,刘焕章,乐亭,伪乐亭警备大队长，驻守乐亭县城及沿海据点，扫荡沿海游击区。,解放后公审处决
卢龙县,张相之,卢龙,伪卢龙县县长，配合日军制造长城沿线无人区，抓捕堡垒户。,战后汉奸罪判处徒刑
,赵奎武,卢龙,伪卢龙特务队队长，专门搜捕迁卢抚昌联合县干部。,1944 年被地方武工队击毙
昌黎县,王连璧,昌黎,伪昌黎县长，新民会头目，奴化教育、物资掠夺。,日本投降后逮捕判刑
,郭二虎,昌黎,伪警备队头目，盘踞碣石山区，多次进山扫荡。,1945 年解放被俘处决
抚宁县,马梦吉,抚宁,伪抚宁县县长，强化沿海管控，盘查海上交通线。,战后判处有期徒刑
,周宝臣,抚宁,伪特务系长，长城沿线密探总头目。,镇反时期处决
临榆（山海关）,于子敬,临榆,伪临榆县长，管控山海关隘口，盘查进出关人员。,抗战胜利逮捕判刑
,吴子玉,临榆,伪临榆警察局长，配合山海关宪兵搜捕地下交通员。,解放后清算枪决
宁河县,刘惠卿,宁河,伪宁河县长，管控蓟运河沿线，强征粮米。,战后汉奸罪判处徒刑
,韩佐卿,宁河,伪警备大队长，多次袭扰宁河宝坻交界根据地。,1946 被俘处决
宝坻县,李际春,天津籍,伪宝坻维持会总头目，老牌汉奸；冀东事变时期勾结日军，组织伪军祸害京东各县。,抗战胜利后逮捕，狱中病死
,王祝三,宝坻,伪宝坻县长，推行保甲连坐，配合治安强化运动。,判处长期监禁
蓟县,李午樵,蓟县,伪蓟县县长，配合日军制造盘山无人区。,战后逮捕判刑
,贾秉彝,蓟县,伪警备团长，多次扫荡盘山根据地。,1945 年蓟县解放被俘处决
三河县,李泽生,三河,伪三河县长，新民会会长。,抗战胜利判处徒刑
,杜少山,三河,伪警备大队长，盘踞三河东部。,镇反枪决
香河县,王绍武,香河,伪香河县县长。,战后判刑
,刘万海,香河,伪特务队长。,武工队锄奸击毙
通县（通州）,谢佑安,通县,伪通县县长；通州事变之后收拾残局，效忠日伪。,1946 年判处有期徒刑
,张璧,河北,伪冀东保安队司令，通州事变主要人物。,抗战胜利被捕，病死狱中
平谷县,王景元,平谷,伪平谷县长，制造平谷北部无人区。,战后判刑
,宋海山,平谷,伪警备大队长。,解放后处决
密云县,李恒山,密云,伪密云县长，管控古北口长城沿线。,战后逮捕判刑
,段云鹏,密云,伪特务队长。,镇反处决
怀柔县,于化鹏,怀柔,伪怀柔县长。,判处徒刑
顺义县,金子元,顺义,伪顺义县长。,战后判刑
昌平县,唐祖熙,昌平,伪昌平县县长，殷汝耕委派接收官吏。,抗战胜利逮捕判刑
兴隆县,孙柏青,兴隆,伪兴隆县长，重点推行长城 “无人区” 政策，疯狂清剿。,1945 年被俘，公审死刑
