姓名,伪职 / 身份,活动地区,核心罪行,最终结局
吴克初,贵池维持会首任会长,贵池城关,贵池沦陷头号汉奸，日军登陆后牵头组建维持会，配合宣抚班，征集粮草民夫，开办奴化教育的 “贵池模范小学”，胁迫商户纳贡资敌。,抗战胜利后肃奸公审处决。
宋植旃,汪伪贵池县正式伪县长,贵池全县,1943 年出任汪伪贵池县长，建立完整伪县公署、伪警察、伪保安队，推行保甲良民证，配合日军扫荡贵西、观前游击区，掠夺沿江物资。,日本投降后被捕，判处死刑。
朱德明（朱德民）,伪区特务头目,贵池观前、茅坦,铁杆特务，因索贿未遂，随意抓捕杜祖汉等 42 名无辜百姓，押至贵池三阳墩集体屠杀，制造四十二人惨案。,1950 年捉拿归案公审枪决。
章荣高,贵池日伪特务骨干,贵池县城,与李少白派系倾轧，罗织罪名株连普通民众，18 名百姓被日军集体杀害于西门毛儿山脚。,抗战胜利后汉奸审判伏法。
李少白,贵池伪特务,贵池城关,和章荣高互相争斗，肆意株连平民，酿成十八人被杀惨案。,肃奸逮捕，判处重刑。
邓士奇,皖南独立方面军派驻贵池经济汉奸,贵池县城,投敌部队张昌德部下，开设皖南企业公司贵池分公司，大肆掠夺桐油、生漆、中药材等皖南土特产输送日军。,抗战胜利后捕获镇压。
王汉清,殷汇伪区长,贵池殷汇镇,把持殷汇伪区政权，修建碉堡据点，搜集贵西游击队情报，充当向导带领日军进山扫荡，迫害接济新四军乡民。,被沿江武工队锄奸处决。
张善之,乌沙维持会会长,贵池乌沙镇,乌沙沿江投敌劣绅，迎接日军进驻，管控渡口，强征物资，抓捕往来地下交通人员。,光复后公审枪决。
方少云,青阳维持会会长,青阳县城、蓉城,青阳沦陷牵头组建维持会，网罗地痞，征粮抓夫，协助日军对九华山周边扫荡，推行伪化。,抗战胜利后军法审判处死。
陈炳坤,青阳伪警察局局长,青阳城关、木镇,执掌伪警侦缉队，盘查公路渡口，搜捕爱国人士，多次配合日伪军清剿铜青游击根据地。,肃奸运动判处死刑。
赵辅廷,东流维持会会长,东流县城（今东至东流镇）,东流沦陷首要投敌分子，组织维持会，为日军征集船只粮食，管控长江江防，迫害沿江百姓。,抗战胜利后公审处决。
徐雨臣,至德伪自治会骨干,至德尧渡（今东至）,日军窜占至德期间出面附逆，协助摊派捐税，搜集山区情报；日军撤退后隐匿乡间。,肃奸立案逮捕，判处有期徒刑。
周老三（绰号）,大渡口便衣特务,东至大渡口,日伪密探，混迹沿江码头，侦查新四军沿江交通线，告密抓捕地下交通员，走私鸦片资敌。,被沿江中心县委武工队锄奸击毙。
江云生,伪乡维持头目,贵池马衙,基层伪头目，带路日军下乡烧杀，检举革命家属，勒索村庄财物。,抗日民主政府抓捕正法。
刘玉山,叛变游击队员,贵池梅街,原我方人员被俘投敌，潜伏南山搜集游击队情报，策动基层人员叛变。,武工队捕获就地镇压。
黄小癞子（绰号）,石埭（石台）潜入密探,石台广阳、七都,从贵池敌占区伪装货郎潜入后方，刺探国军布防，散布谣言，企图发展内线。,乡自卫队抓获，军法处置。
