姓名,伪职 / 身份,活动地区,核心罪行,最终结局
于祯（于四炮）,伪汤原山林警察大队大队长,伊春老钱柜、汤旺河林区,受日军收买，掌控百余人山林警察武装；帮助日军盗伐小兴安岭木材，进山讨伐抗联，抓捕接济抗联的伐木工人；后经李兆麟争取一度反正，不久动摇重新倒向日军，继续围剿抗联六军根据地中共黑龙江...。,1937 年被抗联六军击毙。
于俊峰（于五炮）,伪山林警察大队副大队长，于四炮之弟,汤旺河、老钱柜一带,协助兄长管理伪山林警察，迫害伐木工人，搜剿抗联密营；参与镇压汤原抗日群众。,老钱柜战斗被俘，反正后又复叛，后被抗联处决。
白江绪,原抗联六军政治部主任，叛徒特务,汤原、伊春全境小兴安岭山区,被俘投降日伪，出卖下江地区抗联全部情报、密营位置、地下救国会组织；策反抗联干部，给日伪讨伐队充当向导，抗联六军遭受重大损失。,抗战胜利后被民主政府逮捕处决。
陈绍宾,原抗联六军师长，叛变,汤原北部、嘉荫（佛山）山林,率部投敌，为日军出谋划策，派遣刘德山等特务猎杀赵尚志；多次带队进山扫荡抗联根据地，残害抗日军民。,伪满后期病死。
王秀峰,伪兴山警察署特务,汤原‑嘉荫交界山林,受陈绍宾指挥，伪装猎户进山搜集情报，参与诱捕赵尚志的特务行动，长期在小兴安岭搜寻抗联小部队。,解放后镇压反革命被公审处决。
张凤岐,伪特务，原抗联人员,汤原、佛山（嘉荫）,随同王秀峰伪装山货商人潜入山林，刺探赵尚志小队行踪，传递情报给日伪警察机关。,解放后被管制惩处。
王景堂,伪铁力县森林警察讨伐队队长,铁力、桃山林区,熟悉小兴安岭山林，带队进山 “肃正讨伐”，捣毁多处抗联密营，抓捕伐木场中抗日工人。,抗战胜利后被清算镇压。
吴凤舞,伪汤原县县长,汤原（伊春南部）,主持伪县公署，推行集团部落、粮食出荷，抓捕爱国群众；配合山林警察围剿汤原抗日根据地。,光复后潜逃，后被捕获审判。
宫选三,伪铁力维持会会长，地主,铁力县城,日伪时期依附日本；日本投降后组建维持会，收拢伪警察、地主武装，抗拒民主政权接收。,1946 年反奸清算公审处决。
冯德界,伪装毛皮商人的密探,嘉荫（佛山）山区,以收购皮货为掩护，潜伏山林打探抗联行踪，最早向伪警察报告赵尚志小队进入佛山境内的情报。,解放后被逮捕惩处。
