姓名,伪职 / 身份,活动地区,核心罪行,最终结局
张北生,伪苏北清乡公署主任、清乡保安司令,南通全境（通如启海）,汪伪 “清乡专家”，主导苏中四分区血腥清乡；修建竹篱笆封锁线，大肆抓捕屠杀新四军、地下党员与爱国群众，掠夺粮棉物资，摧残苏中抗日根据地南通市档案...。,抗战后国民政府判无期徒刑；新中国成立后重新审理，1954 年南通公审枪决南通市档案...。
姜颂平,汪伪特工总部苏北分区区长（朱公馆特务头子）,南通城、通如海启,建立南通最大特务机关 “朱公馆”，网罗大批地痞流氓充当特务；搜捕地下党组织，策反抗日人员，为清乡提供情报支持。,抗战胜利后被逮捕，以汉奸罪判刑。
汤同书,伪启东特区公署署长（等同伪县长）,启东全境,老牌中统出身投敌，执掌启东伪政权，推行清乡，设立检问所，盘剥残害百姓，搜捕东南警卫团抗日人员。,汉奸审判判处重刑。
吴云麈,伪如皋县长，绰号 “南通之狼”,如皋（含今如东）,执掌如皋伪政权，配合日伪扫荡清乡，横征暴敛，滥捕滥杀抗日军民，作恶极多。,抗战胜利后被捕，花钱打通关系，下落不明，人间蒸发。
孙永刚,伪苏北清乡公署政治工作团团长,南通全县,张北生妻弟，招纳大批汉奸爪牙，下乡开展奴化宣传，协助推行保甲、清乡政策，迫害爱国乡绅群众。,抗战胜利后汉奸审判惩处。
顾宜我（顾尚义）,汪伪伪乡长，特务骨干,南通刘桥段桥乡,与姜颂平勾结，充当清乡爪牙，告密抗日武装情报，欺压当地百姓。,被新四军短枪队锄奸处决。
朱崇汉,伪南通特别区第九区区长,四甲坝一带,伪清乡区长，构建基层伪政权，抓捕抗日干部，残害群众南通史志网。,武工队潜入据点抓捕处决。
梁振强,伪保甲指导员,四甲坝,协助朱崇汉推行伪保甲制度，检举地下抗日人员，为日伪搜集情报南通史志网。,同朱崇汉一同被武工队处决。
陶洁,伪三余大检问所主任,南通三余镇,清乡封锁线上检问所头目，敲诈过往百姓，抓捕、扣押抗日人员与物资，作恶多端南通史志网。,被抗日武装捕获处死。
徐宝明,伪海东区清乡办事处主任,海门曹家镇,清乡基层头目，策反我方人员不成，抓捕干部家属做人质，疯狂迫害抗日群众。,苏中短枪队锄奸处决。
孙祖贤,伪七乡清乡办事处主任,启东西三丫支镇,清乡时期刚刚上任基层伪头目，积极推行日伪政令，迫害民众。,上任仅半天即被锄奸队镇压。
顾鸿奎,伪联防主任、伪保长,启东聚阳（利民镇）,勾结日伪，敲诈勒索乡里，祸害百姓，长期龟缩据点与抗日武装对抗。,被当地民兵锄奸处死。
黄召贤,启东早期伪自治会会长,启东,启东沦陷初期牵头组建伪自治会，迎接日军，搭建傀儡统治。,抗战胜利后清算惩处。
施仁心,继任伪启东自治会会长,启东,依附日寇，为日军征粮派差，拉拢地方士绅归顺日伪。,战后汉奸审判判刑。
丁维藩,汪伪特工苏北分局局长,南通城区,姜颂平之后接手特务机构，扩充行动队，主持逮捕、刑讯爱国人士，制造多起冤案。,抗战胜利后逮捕法办。
