区域,姓名,籍贯,伪职,主要罪行,结局
临汾城区（尧都，伪冀宁道）,王寿国（王毅）,不详,伪冀宁道道尹（驻临汾）,主持冀宁道全套伪政权，统辖晋南 14 县；推行治安强化、保甲连坐，强征粮食、壮丁、劳工，指挥各县伪政权配合日军扫荡太岳根据地，推行奴化教育。,抗战胜利逮捕，汉奸罪判刑
,张其昌,临汾,伪临汾县知事（一等县）,组建临汾伪县公署、伪警察、新民会；修筑据点，摊派苛捐杂税，搜捕地下抗日人员，城郊推行治安强化运动。,光复后逮捕审判
,李凤岐,临汾,伪临汾警备大队长,收拢溃兵地痞投敌；多次带队扫荡一平垣、枕头西山根据地，抓捕交通员，劫掠村庄财物。,镇反公审枪决
,刘万顺,临汾,宪兵队便衣特务头目,发展密探网络，破获地下交通站，抓捕迫害抗日干部与抗属。,解放后镇压处决
洪洞县,赵绍之,不详,伪洪洞县县长,建立洪洞伪公署，管控同蒲铁路，抓夫修炮楼，下乡征粮，配合治安强化。,战后逮捕判刑
,周炳,不详,伪洪洞保安司令,原国民党溃散军官投敌；驻守洪洞、苏堡据点，多次进攻太岳游击队，残害洪洞霍县交界百姓，抓捕地方干部。,日本投降被阎收编，后肃奸逮捕
,韩二虎,洪洞,伪洪洞警备大队长,带队下乡清乡扫荡，祸害汾河两岸村庄。,解放后公审枪决
霍县（霍州）,李映庚,不详,伪霍县县长,搭建霍县伪政权，设立合作社掠夺物资，配合日军扫荡霍山山区。,战后汉奸罪判刑
,史怀安,霍县,伪霍县警备大队长,盘踞霍县城、白龙据点，袭扰根据地边缘村庄。,解放后镇压处决
曲沃（含侯马）,郭笃生,曲沃,伪曲沃县知事,1938 投敌；建立伪县公署，推行奴化教育，强征壮丁送往矿山，配合日伪清乡扫荡，迫害抗属。,1945 年侯马闹市公审枪决
,郭连庆,曲沃,曲沃维持会会长,日军入城牵头组建维持会；为日军搜刮钱粮物资，刺探情报，抓捕爱国群众，勾结郭笃生作恶。,同案侯马枪决
,柴子敬,曲沃,伪曲沃警备大队长,驻守曲沃、侯马据点，多次随同日军外出扫荡。,解放后公审枪决
襄汾（汾城、襄陵）,王慎修,不详,伪汾城县县长,建立汾城伪政权，修筑炮楼，疯狂摊派粮款，制造多起村庄惨案。,战后逮捕判刑
,张耀武,襄汾,伪襄陵县县长,管控汾河渡口，强征粮棉，配合日军清乡。,光复后判刑
,贾得功,襄汾,伪汾城警备大队长,下乡烧杀抢掠，残害堡垒户。,解放后公审枪决
翼城县,阎啸风,不详,伪翼城县县长,日军占领翼城后组建伪公署；修筑据点，征粮抓丁，配合日军扫荡翼城东部山区。,战后逮捕判刑
,段宝麟,翼城,伪翼城警备大队长,驻守翼城县城、桥上据点，抓捕抗日干部群众。,解放后镇压处决
浮山县,王绍棠,不详,伪浮山县县长,建立浮山伪政权，设立新民会、剿共委员会，制造东张万人坑惨案，残害大量百姓临汾新闻网。,县城收复后逮捕判刑
,李守业,浮山,伪浮山警备大队长,盘踞浮山县城，频繁配合日军扫荡浮山周边根据地。,解放后公审枪决
安泽县,田杰,不详,首任伪安泽县县长,建立安泽伪政权，设立宪兵、剿共对策委员会，迫害根据地军民，杀害百姓五百余人临汾新闻网。,战后逮捕判刑
,杨俭,不详,第二任伪安泽县县长,接续推行治安强化，搜捕太岳地下人员。,战后逮捕判刑
,张从龙,不详,末代伪安泽县县长,维持日伪末期统治，强征物资壮丁。,光复后逮捕判刑
,宋四娃,安泽,伪安泽警备大队长,驻守安泽县城、府城据点，进山扫荡。,解放后镇压处决
乡宁县,李砚田,不详,伪乡宁县县长,日军短期占领乡宁，组建临时伪政权，摊派粮款。,日军撤退后潜逃，后抓捕归案判刑
,吴老八,乡宁,伪乡宁警备队长,祸害乡宁沿山乡村，抓捕抗日积极分子。,抗战时期被武工队击毙
