姓名,伪职 / 身份,活动地区,核心罪行,最终结局
郑鲁岩,原抗联七军政治部主任，叛变特务,宝清、饶河完达山区域,被俘投敌，完整出卖东线抗联全部密营坐标、交通网、地下救国会人员名册，致使宝清‑饶河抗联根据地遭受毁灭性扫荡。,抗战胜利后被民主政府逮捕处决。
罗英,原抗联七军军部秘书，内奸特务,宝清、饶河,主动投敌，泄露抗联联席会议部署，引诱抗联进入日军伏击圈，直接造成军长陈荣久牺牲吉林省档案...。,叛变阴谋败露，被抗联在宝清大叶子沟处决。
尤德荣（尤鞑子）,伪宝清山林讨伐队长、特务,宝清七里沁、挠力河一带,赫哲族头目，投靠日军带队进山讨伐抗联；光复后组织国民党光复军，裹挟少数民族群众对抗民主政权。,1948 年剿匪战斗中被击毙。
杨保贵,伪宝清四区自卫大队大队长（地主）,宝清本德堡,地主武装头目，受日军委任，率领 80 余人伪自卫团，搜捕接济抗联百姓，盘剥残害乡民。,1933 年被抗日武装伏击生擒处决。
苑福堂,饶河伪地方特务头目,饶河大别拉坑、暴马顶子,组建汉奸走狗队，抓捕饶河县委、反日会成员，逮捕李学福等 20 多名抗日骨干，破坏饶河地下党组织中国军网。,抗战胜利后反奸清算被公审镇压。
龚金城,饶河密探、汉奸眼线,饶河县城周边,配合苑福堂搜集地下党情报，告密出卖爱国群众，协助日伪逮捕反日会会员中国军网。,解放后被惩处。
齐耀武,伪宝清县县长,宝清县城及全县,伪满主政宝清，推行粮食出荷、集团部落政策；杨保贵被抗联消灭后，篡改县志掩盖伪军惨败事实，掩盖汉奸罪行。,日本投降后潜逃，后被捕获审判。
刘建昌,抗联二路军后方管理处主任，叛徒,宝清,被俘投降日伪，出卖抗联后方基地、储备物资地点，给日伪提供讨伐向导情报。,抗战胜利后被逮捕镇压。
老来好（匪号）,山林队头目，预谋投敌,双鸭山大叶沟,杀害抗联四军三师团长唐青山，打算率百余人队伍投降日军，阴谋败露。,被抗联四军逮捕处决。
李喜山,饶河伪走狗队头目,饶河暴马顶子,受日军扶持，武装袭扰抗联根据地，搜山抓捕抗日群众，残害地方百姓。,被抗联武装剿灭击毙。
