姓名,伪职 / 身份,活动地区,核心罪行,最终结局
沈谱琴,湖州自治委员会（维持会）挂名会长,吴兴湖州城,地方士绅，日军胁迫出任维持会会长，出面帮日军维持市面，后避走上海。,1939 年病逝上海，受历史负面评价。
颜叔周,汪伪吴兴县知事（伪县长）,吴兴全县,执掌吴兴伪县公署，推行保甲、奴化教育，配合日军清乡，搜刮蚕丝粮食资敌；城内推行良民证制度，镇压民间抗日活动湖州市人民...。,1941 年在马军巷遭抗日志士狙击负伤。
王宇轼,继任汪伪吴兴县县长,吴兴县城及乡镇,接替颜叔周主政吴兴伪政权，扩充伪警察、伪自卫团，强征赋税，破坏城郊地下抗日组织湖州市人民...。,抗战胜利后汉奸审判判处重刑。
汪翱,伪苏浙皖三省边区剿匪指挥官,长兴、太湖西南沿岸,原我方人员叛变投敌，手握伪军武装，四处游说抗日武装投降，扫荡长兴山区抗日根据地，残害爱国军民。,1939 年被长超抗日义勇军诱捕处决。
程万军,汪伪太湖警备司令、湖州绥靖军司令,吴兴、南浔、太湖沿线,原忠义救国军，1938 年率部万余人投敌，司令部驻湖州；控制太湖水域，频繁下乡扫荡，劫掠水乡乡镇，配合日军清剿太湖抗日武装中国人民解...。,抗战胜利后被国民党收编，汉奸罪未充分清算，去向存疑。
乐俊泉,练市维持会会长,吴兴练市,沦陷初期组建练市伪维持会，懂日语，为日军征粮派夫，管控市镇商贸，搭建基层傀儡统治。,抗战胜利后逮捕判刑。
潘文忠,伪练市区区长,吴兴练市,清乡时期伪区长，推行保甲，搜集抗日情报，迫害接济游击队乡民。,被战时青年服务队暗杀锄奸。
沈大方（麻子阿方）,伪练市镇镇长,吴兴练市,基层伪头目，配合清乡，敲诈商户，告密地下人员线索。,抗战胜利后公审惩处。
朱育人,汪伪德清县伪县长,德清县城,执掌德清伪政权，征粮抓丁，出动伪保安队袭扰莫干山抗日游击区湖州市档案...。,1941 年被浙西行署突击队员击毙于县政府门口。
任光宇,伪武康上柏区伪区长,武康（今德清）上柏,地方恶少投敌，手上杀害多名武康县中队游击队员，残害莫干山区抗日群众，气焰嚣张。,莫干区中队抓捕，公审处决。
沈丽卿,伪新市区区长,德清新市,新市伪政权主官，签发良民证，推行保甲，压榨乡镇百姓，为日军搜集物资德清新闻网。,解放后逮捕执行枪决。
周俊彦,练市后期维持会会长,吴兴练市,接替乐俊泉，继续为日伪筹措粮草，胁迫乡绅附逆。,汉奸清算判处有期徒刑。
孙梅生,伪吴兴警察局局长,湖州城区,掌控伪警察武装，网罗地痞组建侦缉队，搜捕城内地下抗日人员，施用酷刑迫害被捕群众。,抗战胜利后汉奸审判伏法。
金荣生,南浔伪侦缉队队长,南浔,特务爪牙，专门刺探太湖周边游击队情报，告密抓捕爱国人士，敲诈丝绸商户。,被抗日武工队锄奸处决。
钱阿毛,长兴伪宪兵队情报组长,长兴县城、泗安,地痞投敌，充当日军耳目，引导日军进山扫荡长兴山区，迫害游击根据地百姓。,抗战胜利后公审枪决。
