姓名,伪职 / 身份,活动地区,核心罪行,最终结局
黄新农,伪滁县维持会会长、首任伪滁县知事（县长）,滁县城关,滁县头号汉奸，出城迎接日军入城；霸占大成面粉厂，克扣难民粮食 90 万斤；强掳妇女设立慰安所；多次充当向导带日军下乡扫荡，残害百姓。,1951 年公审枪决。
龚玺揆,汪伪第二任滁县县长,滁县全县,接续伪县政，强化保甲、良民证，横征暴敛，扩充伪警察、密探队，配合日军对珠龙、腰铺、黄泥岗扫荡。,抗战胜利后肃奸判处死刑。
孙光辉,伪军樱挺进队司令、伪滁县保安大队长,滁县、乌衣、沙河集铁路沿线,本地伪军主力头目，手下五百余人，驻守滁城及外围据点；频繁袭扰淮南根据地，搜捕地下人员；日军投降后摇身投靠国民党继续作恶中国人民政...。,1950 年公审枪决。
韩祥吉,伪樱挺进队大队长,滁县城乡,孙光辉副手，带队下乡扫荡乡村，抓捕抗日干部，敲诈集镇商户百姓。,解放后镇压处决。
刘元志,日军治安部密探队队长,滁县城内及城郊,日伪特务头目，广布便衣眼线，专门侦查地下党组织，实施抓捕、刑讯爱国群众中国人民政...。,抗战胜利后捕获伏法。
胡登庭,密探队副队长,滁县,刘元志副手，发展大批告密线人，在城门、车站盘查，罗织罪名迫害进步人士中国人民政...。,汉奸审判判处死刑。
陈炬民,伪军谍报队队长,滁县津浦沿线,伪军情报头目，搜集淮南根据地军事情报，策反我方基层人员。,肃奸运动法办重刑。
董少谦,南京调来伪防护总队总队长,滁城,直属汪伪军部的特务武装，管控滁城治安，专门对付地下抗日活动，武器精良，大肆逮捕嫌疑人员中国人民政...。,抗战胜利后逮捕判刑。
侯堂生,伪来安县县长,来安县城,建立来安完整伪政权，推行保甲制度，收编投敌地方武装，配合日伪扫荡半塔周边淮南路东根据地滁州市博物...。,抗战胜利后公审处决。
王宁道,伪来安县水口区区长,来安水口,把持水口区伪政权，收纳投敌溃兵，出卖抗日人员，向伪县长侯堂生告密设圈套杀害起义人员袁明举滁州市博物...。,1946 年肃奸枪决。
王德安（王小爷）,全椒伪自卫队第四中队长,全椒县城及四乡,青帮流氓投敌，收罗逃犯、叛变国军，武装横行全椒；连伪县长都难以约束；勒索奸淫，残害群众，配合日军扫荡古河周边抖音百科。,1951 年镇反公审枪决抖音百科。
胡天扬,汪伪首任伪嘉山县（明光）县长,明光城区,嘉山早期伪主官，搜刮钱粮，强征劳工，推行伪化，激起民愤。,被当地百姓群情激愤当场打死。
吴荫堂,继任伪嘉山县县长,明光、女山湖、涧溪,帮会头目，收编土匪伪军；管控明光河下警备，封锁女山湖水上交通，切断新四军南北往来通道。,抗战胜利后汉奸审判死刑。
么开贵,伪和平救国军队长,明光王咀渡口（女山湖）,伪军中队长，驻守王咀据点，封锁湖面渡口，盘扣来往船只，抓捕地下交通人员，劫掠湖上商船渔户。,解放后公审镇压。
林荣逋,伪和平救国军副队长,明光王咀,么开贵副手，协助把守水上关卡，刺探路东根据地情报，迫害湖上百姓。,镇反运动处决。
谢少臣,定远谢家圩伪区长、伪县长,定远县路西（藕塘周边）,定远豪强地主，筑谢家圩坚固土圩堡垒，拥兵三百；主动引日军扫荡路西藕塘抗日根据地，捕杀大量军民，多次对抗新四军四旅部队。,圩子被新四军攻破，被俘，重伤死于狱中。
张炳辉,伪定远县县长,定远县城,主持县城伪行政，强征粮饷，策反路西游击人员，配合日伪蚕食路西根据地。,抗战胜利后捕获法办。
周干臣,天长伪警察局局长,天长县城,执掌伪警侦缉队，管控天长县城及高邮湖沿岸，搜捕地下交通人员，盘查水陆商旅。,肃奸公审枪决。
刘大狗子（绰号）,天长便衣特务头目,天长‑高邮湖沿线,投靠日军宪兵队，混迹湖乡，告密抓捕抗日干部，敲诈渔民船户。,被淮南根据地武工队锄奸击毙。
张守业,乌衣镇伪维持会长,乌衣（津浦铁路重镇）,乌衣头号汉奸，迎接日军进驻，办理良民证，征夫征粮，充当向导，配合铁路沿线扫荡。,抗战胜利后判处死刑。
戴子才,全椒古河伪乡长,全椒古河,古河沦陷期间出任伪乡长，催缴粮款，刺探路西根据地情报，迫害接济新四军乡民。,根据地锄奸队捕获镇压。
