姓名,籍贯,伪职,主要罪行,结局
张海鹏,辽宁盖平,伪热河省省长兼警备司令官，伪满上将,热河沦陷后主政热河全省，司令部驻承德；指挥伪军在朝阳、凌源、北票、建平疯狂讨伐抗日义勇军，推行集家并村、集团部落，强征粮食、劳工，掠夺北票煤矿资源。,1949 年被捕，1951 年以汉奸罪处决。
宝音乌勒吉,朝阳,伪吐默特右旗旗长（蒙奸）,朝阳本地蒙旗最高长官；执行日伪蒙汉分治，搜刮牲畜粮食，配合讨伐山区抗日武装；八一五后出任朝阳治安维持会会长，企图维持伪政权等待国民党接收。,解放后逮捕，汉奸罪重判。
单永善,朝阳,伪朝阳地方检察厅华人检察官、特务骨干,掌管伪司法，迫害爱国志士；大肆受理 “国事犯”，刑讯逼供；日本投降后组建朝阳保安军司令部，收拢伪警伪军图谋暴动，对抗民主政权。,暴动被粉碎，公审枪决。
鹏飞,满族,伪朝阳警备地区司令官，伪满少将,伪军混成第三旅旅长，驻防朝阳；指挥伪军在朝阳、北票、建平扫荡义勇军，参与治安肃正。后因被日本人怀疑内心不满，遭日本人暗算死亡。,被日方暗害。
叶相桐,朝阳,伪兴农合作社职员，日伪外围爪牙,日伪时期为日伪搜集民间情报；八一五后自封国民党朝阳县党部书记长，勾结伪保安军，策划朝阳反革命暴动，妄图夺取县城政权。,阴谋败露被逮捕，公审处决。
马梦吉,不详,伪朝阳县首任县长,热河沦陷后组建朝阳伪县公署，推行保甲制度，强征粮饷，配合日伪对朝阳山区义勇军进行反复讨伐。,抗战胜利逮捕，汉奸罪判刑。
周鼎彝,不详,伪朝阳县后期县长,执行日伪 “集家并村”，拆毁山区村庄，制造无人区，切断抗日武装物资来源；强征国兵、劳工送往矿山。,光复后逮捕判刑。
姜庆元,北票,伪北票县县长,北票煤矿为日伪掠夺重点；主持伪县政，强征劳工，看管煤矿战俘劳工，镇压煤矿工人反抗。,解放后汉奸罪惩处。
沁布多尔济,喀喇沁左旗,伪喀喇沁左旗旗长（蒙奸）,喀左伪最高长官；协助日军镇压热东抗日武装，掠夺蒙汉百姓牲畜土地；八一五后勾结国民党，收拢伪旗警，继续与人民为敌。,被俘后公审处决。
孙书田,凌源,伪凌源县县长,凌源伪主官，推行集团部落，配合日伪讨伐热东抗日武装，制造多起惨案。,抗战胜利逮捕，判处重刑。
李海忱,建平,伪建平县县长,建平县地处辽西山地，疯狂搜捕义勇军与地下关系，强征粮食、劳工，执行物资统制。,解放后逮捕判刑。
张冠英,建昌（凌南）,伪凌南县（建昌前身）县长,建昌药王庙惨案发生时伪县长；配合日军扫荡，抓捕、杀害大量抗日志士与群众。,光复后汉奸罪判刑。
杨凤岐,朝阳,伪朝阳警察厅特务系主任,领导华人密探网络，在朝阳、大庙、北票一带侦查抓捕地下抗日人员，刑讯迫害被捕群众。,朝阳解放后公审枪决。
王显之,北票,北票煤矿大把头,依附日伪，压榨矿工，看管特殊工人战俘劳工，告密迫害反抗矿工。,工人反奸清算大会公审处决。
韩全福,宁城（毗邻朝阳）,伪警察讨伐队大队长,讨伐队经常窜入建平、凌源境内扫荡；烧杀村镇，搜捕八路军热东工作团人员，双手沾满群众鲜血中国人民政...。,1945 年后被民主政府镇压。
