姓名,籍贯,伪职,主要罪行,结局
丁超,辽宁新宾,伪安东省省长（华人）,原东北抗日自卫军将领，兵败投敌；主持伪安东省政务，推行集团部落、保甲，强征劳工，配合东边道大讨伐围剿抗联。,1945 苏军逮捕，关押抚顺战犯管理所，1951 年狱中病死。
曹承宗,不详,伪安东省末代省长,伪满后期安东省华人最高长官；执行战时物资搜刮，强征劳工、粮食；日本投降后牵头组织安东维持会，企图等待国民党接收。,被俘，以汉奸罪判处重刑。
王介公,安东（丹东）,九一八后安东县首任伪县长、安东自治执行委员会委员长,九一八事变后立即投降日军，组建维持会，协助日军接管安东，恢复地方伪统治。,抗战胜利逮捕，汉奸罪判刑丹东市图书...。
谷次亨,大连,伪安东省教育厅厅长,“安东教育救国会惨案” 之后到任；清洗爱国师生，强力推行奴化教育；后升任伪满总务厅次长、民生部大臣，主导鸦片政策。,抚顺战犯管理所关押，后期特赦抖音百科。
王济之（张述本）,不详,原国际情报组织人员，叛变后任安东宪兵特务,原为共产国际情报员，1935 被捕叛变；出卖安东情报组织，大量地下人员被捕牺牲，充当日伪特务爪牙。,光复后民主政府公审判处死刑。
曹济民,安东（丹东）,伪满特务，光复后 “东北保安第一支队” 司令,早年纠结地痞土匪投敌；为日伪搜集情报；日本投降后收拢伪警、土匪，在安东、凤城、宽甸一带杀害农会干部、民主联军人员。,1946 年被俘公审枪决抖音百科。
赫慕侠,吉林,伪安奉地区警备司令、伪满第二军混成旅旅长,原东北军，投敌；指挥伪军对安东、凤城、岫岩三角抗日区多次大讨伐，围剿邓铁梅、苗可秀义勇军。,抗战胜利被捕，汉奸罪判刑。
王殿忠,辽宁盖县,伪辽东警备司令、伪第三混成旅旅长,旧军阀投敌；率伪军在安东、岫岩、庄河清乡，镇压辽南义勇军。,1945 被俘，关押改造。
宋鼎铭（宋祥文）,辽宁岫岩,伪满工兵上校，岫岩伪驻军头目,原奉系，投敌，驻守岫岩，拥兵千余；日本投降后固守岫岩，拒绝向八路军投降，等待国民党接收。,被八路军先遣支队攻破岫岩俘获，公审处决。
姜全我,凤城,伪凤城县警务科长、伪满少将,原东北军投敌；长期在凤城、安东一带讨伐义勇军，制造多起惨案。,1934 年被义勇军击毙。
丛景和,凤城,伪凤城县县长,主持凤城伪县公署，推行集团部落，强征劳工，配合日伪讨伐抗联与义勇军。,抗战胜利逮捕，汉奸罪判刑。
李寿山,宽甸,伪宽甸县县长,宽甸伪主官，实施保甲连坐，强征国兵、劳工，围剿抗联在宽甸的游击力量。,县城收复后逮捕判刑。
于景涛,岫岩,伪岫岩县县长,管控岫岩伪政权，配合日伪对辽南三角抗区反复扫荡。,解放后以汉奸罪判刑。
孙荣明,安东,伪安东总商会会长,九一八后附逆，为日军筹措物资、摊派苛捐；后卷入安东教育救国会案，被日本宪兵逮捕处死（非我方处决）。,被日伪杀害。
张梦九,安东,伪安东市副市长（华人最高职务）,协助日本市长管理安东市政，强征劳工、物资配给，推行奴化宣传。,光复后逮捕，汉奸罪判刑。
杨作舟,安东,伪安东警察厅特务系主任,指挥华人密探网络，搜捕安东城内地下党、爱国工人与学生，刑讯迫害被捕人员。,安东解放后公审枪决。
