姓名,籍贯,伪职,主要罪行,结局
张国栋,锦西（江家屯）,九一八初期锦西县县长,日军将至，亲自制作日本国旗，率士绅出城迎接古贺联队入城；向日军密报城外联庄会义勇军计划，出卖抗日武装，直接促成日军占领锦西县城葫芦岛市南...。,抗战胜利后被逮捕，以汉奸罪判处徒刑。
杨敬之,不详,伪锦西县伪县长,伪满正式建制后的锦西县主官；推行保甲连坐，强征劳工粮食，配合日伪对虹螺岘、缸窑岭山区义勇军进行讨伐，参与下五家子惨案相关治安部署。,光复后汉奸罪判刑。
李庆萱,不详,伪锦西县后期县长,执行战时粮食出荷，疯狂搜刮物资；强征劳工运往矿山与边境要塞。,日本投降后被捕判刑。
杜三秃子,锦西缸窑岭,伪缸窑岭警察署特务系头目（铁杆汉奸）,带领伪警察到处搜捕抗日人员，充当日军向导下乡扫荡，告密抓捕群众，制造多起冤狱，血债较多。,抗战后期被抗日武装锄奸击毙。
胡能,锦西,伪锦西县保安队队长,听从张国栋命令，武力镇压城内学生抗日请愿，抓捕大批爱国师生下狱，残酷殴打爱国群众纪录小康工...。,解放后镇反公审枪决。
苏大板子,锦西,伪锦西高桥伪警察分署署长,欺压百姓，动辄打骂群众；侦查搜捕铁路沿线抗日分子，检举 “思想犯”，老百姓称之为苏大板子。,解放后判处长期徒刑。
刘云程,兴城,九一八后兴城维持会委员长,日军占领兴城，主动组织士绅投降，组建地方伪维持会，协助日军接管县城，收缴民间武器，镇压地方抗日活动。,抗战胜利逮捕，汉奸罪判刑。
孙赓尧,兴城,伪兴城县县长,伪满兴城县主官，推行集团部落，强征国兵、劳工，管控沿海口岸，盘查过往人员，围剿辽西义勇军。,光复后逮捕判刑。
王景阳,兴城,伪兴城县警务科长,指挥伪警察、密探，搜捕郑桂林义勇军地下关系，迫害义勇军家属。,解放后惩处。
赵佐周,绥中,伪绥中县县长,绥中地处辽西走廊咽喉；推行保甲制度，强征物资，配合日伪讨伐绥中西部山区抗日武装，管控山海关外交通要道。,战后汉奸罪判刑。
王枕义,绥中,伪绥中县警务科长,指挥伪警察讨伐队，进山搜捕抗日人员，抓捕爱国群众。,解放后镇反处决。
韩佐周,绥中,伪绥中总商会会长,为日军摊派报国捐，筹措军需物资，垄断地方商贸，压榨商民。,反奸清算，没收财产，判处徒刑。
周铁铮,建昌（原凌南）,伪凌南县县长,建昌药王庙一带抗日斗争激烈；执行集家并村，制造无人区，配合日伪扫荡，抓捕抗日干部群众。,抗战胜利逮捕重判。
韩国举,锦西暖池塘,伪地方自卫团头目,依附日伪，祸害乡里；八一五之后收拢伪警土匪，组成花子队，反攻倒算，杀害革命干部群众。,1946 年被民主武装击毙葫芦岛市人...。
徐广凤,锦西,伪警察，光复后国民党保安队长,原为日伪伪警察头目；日本投降后摇身一变成为国民党保安队长，在锦西一带与民主政权作战，残害群众。,1946 年战斗中被击毙葫芦岛市人...。
