姓名,伪职 / 身份,活动地区,核心罪行,最终结局
常栋彝（常八爷）,伪绥化思想矫正院院长；光复后绥化维持会会长,绥化县城,大地主，投靠日寇掌管思想矫正院，抓捕迫害不满伪满百姓；日本投降后网罗伪警特务组建维持会、国民党党部，勾结土匪图谋暴乱，对抗民主政权绥化新闻网。,1946 年除夕公审枪决绥化新闻网。
国长有,伪森林警察、伪挺进队队长,庆安、绥棱安邦河林区,土匪出身投降日军，熟悉山林，带领挺进队进山扫荡；1942 年偷袭抗联三路军总指挥部，造成抗联总参谋长许亨植牺牲，疯狂捕杀抗联小部队人员绥化新闻网。,解放后镇压反革命被处决。
靖国儒,伪望奎县县长,望奎全县,主持望奎伪县公署，推行集团部落、粮食出荷，以反满抗日罪名大肆捕杀爱国群众，制造多起惨案绥化新闻网。,抗战胜利后潜逃，后被捕获惩处。
刘勤（老石头）,伪庆安警务科特务,庆安、绥棱宋万金屯,潜伏监视于天放等抗联地下人员，刺探抗联小分队行踪，搜集救国会情报，多次参与搜捕行动绥化新闻网。,解放后被清算镇压。
于金池,地方告密密探,绥棱宋万金屯,出卖于天放隐蔽地点，向伪警察告密，直接造成于天放、张录等人被捕，破坏绥棱地下抗日据点。,解放后反奸清算被处决。
王水山,地方汉奸密探,绥棱东升合屯,协同于金池向敌伪告密，出卖抗联地下人员，致使多名抗日骨干落入敌手。,解放后公审处决。
于化鹏,伪庆安县自卫团头目，光复后国民党土匪司令,庆安全境,伪满投靠日本充当地方自卫团；光复后接受国民党委任，收拢伪武装，四处烧杀，和常栋彝密谋策划反革命暴乱。,剿匪战斗被俘处决。
汤希铭,伪海伦县警务科长,海伦县,执掌海伦伪警察，带队讨伐抗联三、六支队，刑讯迫害被捕抗日军民，参与平原地区 “肃正” 扫荡。,抗战胜利后被民主政府逮捕审判。
宋殿才,伪巴彦县县长（巴彦现归哈尔滨，历史属绥化片区）,巴彦,伪满推行日伪各项政令；光复后组织反动武装，公开反共，阻挠民主政权接收县城绥化新闻网。,解放后被镇压。
于长青,苏军翻译，汉奸内应,绥化县城,被常栋彝收买，翻译时刻意歪曲原意，欺骗苏军，掩护伪残余势力，参与反革命密谋活动绥化新闻网。,1946 年被逮捕惩处。
于凤兰,女特务，于长青之妹,绥化县城,协同兄长于长青充当内应，为常栋彝通风报信，参与反动阴谋活动绥化新闻网。,解放后依法惩处。
