姓名,伪职 / 身份,活动地区,核心罪行,最终结局
王楚卿,丽水县（莲都）临时维持会会长,丽水城关（莲都）,1942 年 6 月日军占领丽水，胁迫出任维持会会长；召集商户回城开市，为日军强征粮食、民夫、物资，办理良民证，协助日军管控城区治安。,日军撤退后被第三战区逮捕，汉奸公审判处死刑执行枪决。
叶景福,丽水县维持会副会长,莲都县城,协助王楚卿，联络城内商绅附逆，下乡催缴粮草，盘查往来行人，迫害拒绝合作百姓。,抗战胜利后判处有期徒刑。
徐桂生,维持会公安组头目,莲都城区,网罗地痞流氓充当维持会打手，搜捕潜伏爱国人员，敲诈商铺，随同日军下乡骚扰城郊村镇。,日军撤退后公审处决。
周洪源,松阳维持会会长,松阳县城,1942 年浙赣战役松阳沦陷，出任临时维持会会长；迎接日军入城，摊派巨额粮饷，强征民夫修筑工事。,日军撤离后捕获，汉奸审判枪决。
叶善德,松阳维持会干事,松阳城关,为日军搜集物资，胁迫乡绅出面合作，充当日军下乡向导。,附逆罪判处徒刑。
郑汝康,缙云临时维持会会长,缙云县城,日军窜犯缙云期间组建维持会，筹措军需物资，办理良民证，维持日军占领市面。,日军退走后被地方政府逮捕法办。
吕阿四（绰号）,缙云日军便衣密探向导,缙云、新建、壶镇一带,地痞投敌，熟悉括苍古道，多次带路引导日军进山扫荡，刺探国军布防情报，告密抓捕爱国群众。,被地方抗日自卫队锄奸处决。
朱宝顺,青田维持会会长,青田县城,日军两次窜犯青田，出任临时维持会头目；征集粮食财物资敌，逼迫商户恢复营业，协助日军盘查瓯江过往船只。,抗战胜利后汉奸清算判刑。
陈老三,青田港头密探,青田瓯江沿线,依附日军，在码头搜集航运情报，敲诈船户渔民，向日军告密游击武装活动踪迹。,被抗日武装就地处决。
傅金林,遂昌日军临时维持代表,遂昌县城（1942 过境沦陷）,日军短暂占据遂昌，被胁迫出任乡城维持代表，征派民夫、粮食。日军离开即解散。,战后附逆案件审理，判处有期徒刑。
刘山狗（绰号）,遂昌便衣向导,遂昌大柘、石练山区,给日军带路进山，搜捕溃散国军士兵，劫掠乡村财物。,日军撤走后被乡民扭送政府处决。
吴永发,碧湖镇伪维持干事,莲都碧湖镇,碧湖是日军重要外围据点，充当基层伪干事，催粮派差，监视乡间百姓动态。,丽水收复后公审惩处。
