序号,姓名,所属地区,伪职务,主要罪行,最终结局,备注
1,邓祖禹,汪伪江西省政府（省治九江）,汪伪江西省长兼江西省保安司令部司令,1943年5月出任汪伪江西省长，管辖九江、南昌等赣北沦陷区，配合日军推行殖民统治、掠夺资源、镇压抗日力量,1943年12月被免职，1947年8月仍被苏州高等检察处通缉在逃，最终结局史料未明确记载,汪伪江西省政府1943年6月在九江成立，为抗战时期江西日伪最高政权
2,高冠吾,汪伪江西省政府（省治九江）,汪伪江西省长兼军事委员会委员长驻九江绥靖主任,1943年12月接任江西省长，管辖赣北沦陷区，配合日军绥靖统治、征发劳役物资,1945年春调回南京任伪国民政府委员，抗战胜利后匿居上海、济南，1953年8月29日病死于济南,江苏崇明人，保定军官学校出身，汪伪政权核心官员之一
3,黄自强,汪伪江西省政府（省治九江）,汪伪江西省省长兼驻九江绥靖主任,1945年3月出任江西省长，为日军在赣北沦陷区做最后阶段的殖民统治,1945年8月日本投降后随汪伪政权覆灭，最终结局史料未明确记载,曾任汪伪军事委员会政治部部长、政治保卫总署总监，为汪伪政权特务系统头目
4,刘若民,九江县（今浔阳区）,伪九江难民整理委员会委员长,九江1938年7月沦陷后，首批投靠日军，组织伪难民整理委员会，为日军管控难民、搜刮物资,史料未明确记载其最终结局,九江沦陷初期日伪临时政权首任头目
5,吴应墀（亦作吴应池）,九江县（今浔阳区）,伪九江治安维持会会长,1938年冬在日军扶持下成立九江维持会，为日军维持城区治安、征粮征夫、管控百姓,史料未明确记载其最终结局,九江沦陷初期核心汉奸，维持会为伪九江县政府前身
6,朱文超,九江县（今浔阳区）,伪九江县政府筹备处处长,负责筹备伪九江县政府，协助日军建立正式殖民统治机构,史料未明确记载其最终结局,维持会到正式伪县政府过渡阶段的负责人
7,王国瑞,九江县（今浔阳区）,伪九江县县长,原六角石小学（今柴桑小学）教导主任，投敌后任伪县长，为日军推行殖民统治、征发物资劳役、镇压抗日活动,史料未明确记载其最终结局,九江伪政权“三巨头”之一，为九江沦陷期最高地方行政长官
8,张世雄,九江县（今浔阳区）,伪九江县政府警察局长,掌管伪警察武装，为日军维持治安、抓捕抗日人士、盘查百姓,史料未明确记载其最终结局,九江伪政权“三巨头”之一，掌握地方伪武装
9,罗锦章,九江县（今浔阳区）,伪九江商会会长,鸦片烟商出身，投敌后任伪商会会长，为日军搜刮商业物资、管控市场、掠夺瓷业等资源,史料未明确记载其最终结局,九江伪政权“三巨头”之一，代表日伪控制下的商界
10,冯江涛,九江县（今浔阳区）,伪“皇协维新队”组织者,九江沦陷后积极投敌，为日军组建“皇协维新队”伪军（对外宣称超千人），是日军占领九江初期重点宣传的汉奸，配合日军扫荡、宣传奴化思想,史料未明确记载其最终结局,九江沦陷初期最活跃的汉奸之一，多次出现在日军侵华史料宣传中
11,朱万金,瑞昌县（今瑞昌市）,日军向导、瑞昌知名汉奸,湖北黄梅人，早年在瑞昌做小生意，抗战时为日军带路，引导日军进攻瑞昌磨山、蛤蟆洞等阵地，导致守军一个团全员牺牲，后长期为日军效力、祸害当地百姓,解放后在群众强烈要求下被政府处决,《瑞昌县志》有明确记载的汉奸，瑞昌沦陷期核心带路党
12,余传忠（号素心，又名周庆南、余继周）,瑞昌县（今瑞昌市）,伪瑞昌保安总队长兼伪瑞昌县长,瑞昌南义东升村七里冲人，1940年8月带特务队投靠日军，从伪保安队长逐步升至伪保安总队长兼县长，配合日军扫荡、杀害赣北游击队分队长夏明和等抗日人员，祸害瑞昌及周边地区，日军九江司令官奉调回国时专程向其辞别,1945年农历十一月十二日在横港被其妹夫设计诱捕杀死，时年35岁,瑞昌臭名昭著的铁杆汉奸，是赣北地区级别最高的县级汉奸之一
13,高练武,彭泽县（今属九江）,伪彭泽县政府财政科科长,流芳袁门口人，为日军管理伪政府财政，征收捐税、搜刮物资、为日军提供经费,史料未明确记载其最终结局,彭泽伪政府核心官员，彭泽为汪伪江西省政府辖县
14,王特生,彭泽县（今属九江）,伪彭泽县政府军事科科长,掌管伪政府军事事务，配合日军行动、管控地方伪武装、抓捕抗日人员,史料未明确记载其最终结局,彭泽伪政府核心官员
15,沈传志,彭泽县（今属九江）,伪彭泽县政府宣传科科长,梅家州人，为日军推行奴化教育、宣传“中日亲善”、管控舆论、欺骗百姓,史料未明确记载其最终结局,彭泽伪政府核心官员
16,冯静安,彭泽县（今属九江）,伪彭泽县政府建设科科长,黄梅人，为日军征发劳役、修建军事设施、维护日占区交通工事,史料未明确记载其最终结局,彭泽伪政府核心官员
17,李淑山,彭泽县（今属九江）,伪彭泽县政府保安队队长,掌管伪保安队武装，配合日军维持治安、扫荡乡村、抓捕抗日群众,日军投降后被国民党击毙在彭泽北菜场,彭泽伪政府核心武装头目，有明确结局记载
18,周菊荣,彭泽县（今属九江）,伪彭泽县政府办事人员,在伪县政府处理日常事务，协助日伪推行统治，其父在日本做厨师，与日方关系密切,抗战胜利后前往日本定居，经常寄钱回国,彭泽伪政府人员，有明确出逃结局记载
19,陈允兹,永修县（今属九江）,汪伪永修县县长,永修县人，1938年永修沦陷后出任伪县长，在日军刺刀下维持殖民统治、征发粮食劳役、管控当地百姓,史料未明确记载其最终审判及结局,永修沦陷期最高伪行政长官，有部分史料记载其任内曾有限度保护百姓，仍属于汉奸范畴
20,黄功灼等5人,赣北（九江及周边）,地方汉奸、地主土劣,卖国求荣，为日军提供情报、带路扫荡、祸害当地百姓,被赣北抗日游击队依法镇压处决,赣北地区基层汉奸代表，史料仅记载姓名及被处决事实
