姓名,伪职 / 身份,活动地区,核心罪行,最终结局
王永山,伪温州临时商会会长,永嘉（今鹿城）城区,1941 年温州第一次沦陷即投靠日军，组建伪临时商会，强征物资，协助日军抢运粮食、布匹等战略物资，威逼商户资敌，城区臭名昭著的商界汉奸温州新闻网...。,抗战胜利后以汉奸罪逮捕判刑。
葛杰甫,伪永嘉县县长（第三次沦陷）,温州城区、近郊,日军扶持正式伪永嘉县长，搭建完整伪县公署，设立伪警察局、各镇伪镇长；推行保甲、征粮派夫，开设鸦片馆、赌场，奴化宣传，镇压民间抗日活动。,抗战胜利后汉奸审判判处死刑。
吕律民,伪永嘉县警察局局长,温州市区,执掌伪警察，网罗地痞流氓组建便衣侦缉队，搜捕地下爱国人员，推行宵禁，抓捕迫害进步青年。,战后逮捕法办。
陈季甫,伪维持会副会长,永嘉城区,沦陷初期维持会骨干，奔走游说士绅商人附逆，协助王永山管控市面，筹措日军所需物资。,汉奸清算判处有期徒刑。
王惠荃,伪黄华乡乡长,乐清黄华,乐清沿海铁杆基层汉奸，建立乡村伪政权，强征民夫修建日军工事，摊派粮款，欺压当地百姓乐清市人民...。,抗战胜利后公审惩处。
张悟尘,伪乐清县维持会会长,乐清县城,日军侵占乐清后牵头组建伪维持会，迎接日寇入城，拉拢地方势力，搭建傀儡统治框架。,战后汉奸审判判刑。
郑慎三,伪乐清县警察局侦缉队长,乐清县城及周边,特务头目，带领便衣四处搜集浙南抗日武装情报，告密抓捕爱国群众，施用酷刑。,被抗日锄奸队处决。
朱亦飞,伪瑞安维持会委员,瑞安县城,瑞安沦陷时期伪维持会骨干，协助日军勒索商户，征集粮草物资。,抗战胜利后逮捕判刑。
陈炳康,伪瑞安便衣特务头目,瑞安城郊,网罗流氓充当爪牙，刺探地下党组织情报，搜捕抗日人员。,根据地武工队锄奸处决。
李友三,伪永强（龙湾）伪镇长,龙湾永强,执掌永强伪镇政权，催缴苛捐杂税，为日军提供民夫，告密乡间抗日动态。,抗战胜利后公审伏法。
周阿荣,日伪密探,永嘉瞿溪、郭溪一带,长期潜伏山区，刺探抗日武装行踪，多次引导日军进山扫荡，残害山区百姓。,被浙南武工队抓获处决。
