姓名,伪职 / 身份,活动地区,核心罪行,最终结局
芮义发,宣城县维持会会长,宣城城关（宣州区）,宣城沦陷首要汉奸，组建维持会，征粮抓夫，发行良民证，充当向导带领日伪军下乡扫荡，胁迫商户纳贡资敌。,抗战胜利肃奸公审枪决。
王慕陶,汪伪宣城县伪县长,宣城全县,正式伪县公署主官，设立伪警察、伪保安大队，推行保甲，配合日军清剿宣南、孙家埠游击区，掠夺物资。,日本投降后捕获，判处死刑。
赵君甫,伪军大队长,郎溪梅渚、钟桥,驻守梅渚伪军头目，率部四处抢粮、勒索乡民，勾结地方土顽，多次袭击郎广游击根据地乡公所，图谋暗杀乡长乐凤鸣。,抗战胜利后被国民党收编；解放后镇反处决。
孔玉书,伪军骨干,郎溪梅渚‑钟桥,赵君甫副手，勾结特务，抗缴公粮，破坏游击区基层，搜捕地下工作人员。,武工队作战被俘，公审镇压。
石佐民,广德维持会会长,广德城关,广德沦陷头号汉奸，1943 年广德第四次沦陷牵头成立维持会；征集粮草、民夫，协助设立北门慰安所，残害妇女，带路扫荡乡村。,抗战胜利公审枪决。
袁道隆（袁道降）,广德维持会骨干,广德县城、誓节渡,石佐民主要爪牙，办理良民证，搜刮物资，协助管控广德外围据点，迫害抗日家属。,肃奸运动判处死刑。
任水生,内奸惯匪,郎溪钟桥,勾结伪军，密谋里应外合偷袭游击武装，企图暗杀乡干部，出卖游击区情报。,游击连抓获就地枪毙。
王臣盛（王巨盛）,内奸匪徒,郎溪钟桥,与任水生合伙通敌，传递情报，策划抢劫游击队武器物资。,被游击连捕获处决。
毛有才,便衣汉奸队长,郎溪汤桥、双庙,带队下乡武装抢粮，逼迫乡民缴纳伪捐，骚扰游击区村庄。,作战被击溃，战后肃奸逮捕重判。
汪东海,叛徒,泾县东岸,原游击人员叛变投敌，冷枪射杀皖南县委副书记吕辉，之后潜逃敌占区藏身中共宣城市...。,解放后缉拿归案镇压。
何其雄,叛徒（原宣城县委组织部长）,宣城孙家埠,被捕叛变，以乡公所为据点，胁迫党员 “自首”，带领特务搜捕地下同志，破坏宣南党组织中共宣城市...。,被郎广武工队处决。
周少斋,孙家埠伪区长,宣城孙家埠集镇,把持伪区政权，修建碉堡，搜集山区游击队情报，多次引导日伪军进山清剿，敲诈沿江商旅。,被皖南武工队锄奸击毙。
陈小三（绰号）,水东便衣特务,宣城水东,汪伪特工站派遣便衣，混迹茶市，侦查游击队交通线，告密抓捕地下交通员。,武工队捕获正法。
刘麻子（绰号）,广德誓节渡伪乡队长,广德誓节渡据点,伪武装爪牙，抓捕接济新四军百姓，掠夺山区竹木物资，残害乡民。,抗战胜利后公审处决。
徐老六（绰号）,宁国潜入密探,宁国河沥溪,芜湖特工站派遣，伪装商贩潜入国统区，搜集第三战区驻军情报，发展内线。,宁国军警破获，军法处死。
葛某（佚名）,泾县边境奸细,泾县章家渡（靠近南陵敌占区）,往返南陵敌占区，传递情报，走私资敌，煽动部分乡丁投敌。,地方自卫队抓获处置。
黄云生,伪乡维持头目,宣城狸桥,基层伪头目，为伪 15 旅提供情报、粮草，协助抓捕民兵农会干部，周小木、陈思春遇害案有牵连宣城新闻网。,解放后镇反判刑。
张世安,湾沚自治会会长（当时属宣城）,湾沚（今芜湖湾沚区）,日军占领湾沚成立自治会，胁迫商户出钱出物资敌，配合芮义发往来宣城敌占区开展伪化活动。,抗战胜利汉奸审判伏法。
杨先葆,湾沚自治会骨干,湾沚,协助张世安办理自治会事务，征夫征粮，侦查周边抗日武装动向。,肃奸立案判处有期徒刑。
