姓名,伪职 / 身份,活动地区,核心罪行,最终结局
杨仲华,伪第二集团军总司令,东台全境,苏北早期投敌高级将领，麾下数万伪军；盘踞东台，修筑大量碉堡据点，频繁扫荡苏中抗日根据地，掠夺粮棉物资，祸害台城及周边乡镇。,抗战胜利后被捕，汉奸审判判处死刑。
吕景颜,伪东台县县长、伪维持会会长,东台县城,东台头号汉奸，沦陷初期组建伪维持会；设立慰安所，搜刮苛捐杂税，搜捕爱国人士，建立完整伪保甲体系，长期主政东台伪政权。,1946 年东台公审，判处死刑枪决盐城市史志...。
谷振之,伪淮海垦区伪军旅长,台北县（今大丰大中集）,兵痞投敌，盘踞大中集垦区，把持沿海垦区；抓捕残害抗日干部群众，横征暴敛，修筑多处据点固守。,1945 年大中集战斗被新四军击毙盐城市史志...。
陈光寒（史德林）,伪阜宁县县长,阜宁、建湖北部,原地方游击武装副司令，率部投敌；执掌阜宁伪县公署，出动伪武装下乡扫荡盐阜根据地，抓捕迫害抗日军民。,1945 年被俘，公审处决。
陈伯盟,射阳地方大汉奸，大地主武装头目,射阳陈洋、沟墩,拥有大量私人武装，日军占领陈洋后投靠日伪；网罗土匪，为日军征粮征夫，告密抗日武装情报，残害地方百姓，人称 “东海王”盐城市史志...。,1946 年公审判处无期徒刑，同年病死于狱中盐城市史志...。
田茂舟,伪盐城县县长,盐城县城,盐城伪政权主官，配合伪军赵云祥部，推行伪保甲、征粮抓丁，搜捕城内地下抗日人员。,盐城解放时被逮捕，汉奸审判判刑中国新闻网。
田铁夫,伪 34 师师长,东台、富安、草堰,伪杨仲华部主力师长，驻守东台南部，修筑数十处碉堡，多次配合日军 “清乡”，袭扰地方抗日武装，烧杀抢掠。,抗战胜利后被俘伏法。
赵军山,伪 35 师师长,东台、时堰、安丰,伪军主力，驻防东台西南各乡镇，下乡扫荡，抓捕抗日救国会群众，掠夺粮食物资。,战后汉奸审判处决。
秦庆霖,伪 25 师师长,东台、丁溪、草堰,伪军将领，控制东台运河沿线据点，盘剥沿河百姓，协助日军运输掠夺物资。,抗战胜利后被逮捕惩处。
张效勤,伪东台特工头目,东台城区,汪伪特务骨干，专门搜捕地下党、抗日情报人员，刑讯爱国群众，制造多起冤案。,1945 年东台公审判处死刑枪决盐城市史志...。
陈伯涛,伪东台县伪警察局长,东台县城,执掌伪警察队伍，配合特务抓捕进步人士，推行宵禁，镇压城内抗日活动。,公审后执行死刑盐城市史志...。
金小苏,伪东台侦缉队队长,东台城区,侦缉汉奸，网罗流氓爪牙，告密、抓捕爱国群众，敲诈商户。,公审枪决盐城市史志...。
林金山,伪台北县（大丰）伪区长,白驹、刘庄一带,基层伪政权头目，积极推行清乡保甲，告密新四军情报，迫害接济抗日武装乡民。,1946 年白驹公审判处死刑盐城市史志...。
沈元,伪台北县伪自卫团长,大丰白驹,地主武装投敌，带领伪自卫团下乡清剿，抓捕民兵、抗日群众。,公审处决盐城市史志...。
陈乔,盐城汪伪特务,盐城城区,潜伏城内特务，搜集盐阜根据地情报，告密地下工作人员，参与抓捕爱国分子。,盐城解放后逮捕法办中国新闻网。
谭学正,伪盐城县侦缉队头目,盐城县城,伪特务侦缉骨干，刑讯被捕抗日人员，为城内伪军搜集民间情报。,被俘后汉奸审判惩处中国新闻网。
黄芝生,东台伪维持会骨干,东台县城,协同吕景颜组建早期伪维持会，拉拢地方士绅归顺日伪，协助日军搜刮物资。,抗战胜利后逮捕判刑。
