区域,姓名,籍贯,伪职,主要罪行,结局
太原（伪山西省公署，省级大汉奸）,苏体仁,朔州,第一任伪山西省省长（1938‑1942）,组建伪山西省公署，搭建全省伪政权体系；推行保甲、治安强化运动；协助日军掠夺粮食矿产；组建伪警备队，配合扫荡各抗日根据地，推行新民会奴化教育，充当日阎之间联络人。,1942 调北平伪华北政务委员会；抗战胜利隐匿北平，未受审判，1948 病死北平
,冯司直,平定,第二任伪山西省省长（1943‑1944）,扩编伪保安队，强征壮丁；推行献铁献粮；成立剿共委员会，搜捕地下抗日人员，强化奴化宣传。,1945 被捕，汉奸罪入狱，1949 病死狱中
,王骧,寿阳,第三任（末代）伪山西省省长，兼伪山西保安司令、新民会会长、剿共委员会主任（1944‑1945）晋中市人民...,扩充伪军，强征粮食、鸦片；封锁晋绥、晋察冀根据地；继续和阎锡山秘密联络。,日本投降后先被阎锡山短期留用，后国民政府肃奸逮捕判刑
,赵瑞,山西,伪山西省保安副司令、剿共军第一师师长,原阎军军官，1942 投敌，驻扎太原；多次率伪军配合日军扫荡清太徐、交城根据地，屠杀干部民兵。,抗战胜利被阎收编；太原解放被俘，劳动改造
,蔡雄飞,不详,伪山西省警备处处长、保安副司令,统筹全省各县伪警备大队，策划联合清乡，训练伪军。,1945 光复被捕，汉奸罪判刑
,苏盛江,不详,伪山西省警务厅长,掌管全省伪警察系统，指挥特务搜捕地下党，推行保甲连坐。,抗战胜利被捕判刑
太原市区（伪太原市公署）,白文惠,山西,第一任伪太原市市长，兼伪山西警察厅长（1937‑1942）抖音百科,日军入城牵头组建太原维持会，成立伪太原市公署；组建伪警察，管控城区，推行保甲，为日军征集物资，推荐大批旧官僚出任伪职抖音百科。,1942 被免职；抗战胜利后被捕，判处徒刑
,张敬颢（张景颢）,太原,伪太原市公署委员、后期伪市长,接续白文惠，维持太原伪市政，管理城区五个行政区，征粮拉夫，推行新民会。,抗战胜利被捕，汉奸罪判刑
,白巨山,太原,特务，白文惠之子,充当日军特务机关人员，在城内敲诈勒索，欺压百姓，搜集情报抖音百科。,解放后镇反公审处决
,白志彦,榆次,太原宪兵队便衣特务头目，青帮头子,投靠太原日本宪兵队，利用青帮广收徒众，发展密探，破获地下组织，抓捕爱国群众。,解放后公审枪决
,屠锡泰,太原,日军宪兵队密侦头目,带领便衣特务在太原城内外搜捕地下工作人员，刑讯逼供，告密陷害。,解放后镇反处决
,陈国英,太原,太原宪兵队便衣骨干,配合白志彦、屠锡泰，发展线人，抓捕抗日人员。,解放后镇压处决
太原周边（晋源、小店、清源等，今太原郊县）,乔效曾,徐沟,伪徐沟保安大队长,盘踞徐沟据点，多次扫荡清太徐根据地，伏击抗日武装，残害地方干部群众。,解放后公审处决
,万坪,太原县,伪清源保安队副大队长，原我方人员叛变,1938 投降日军，驻守清源，配合日军反复清乡扫荡，残害根据地军民。,解放后镇压处决
