姓名,伪职 / 身份,活动地区,核心罪行,最终结局
李实甫,伪淮海保安司令部中将司令,板浦（灌云）、海属全境,海州头号伪军头目，依靠青帮收编土匪散兵，伪军最多 2000 余人；配合日军扫荡海属抗日根据地，控制淮北盐场，掠夺海盐物资，镇压民众反抗。,抗战胜利后被捕判刑，后获释，1979 年病死。
周法乾（周发乾）,伪灌云县保安大队长,灌云龙苴、新坝一带,土匪出身投敌；诱杀八路军陇海南进支队团长汤曙红；修筑十余处碉堡，酷刑残害抗日军民；横征暴敛；日本投降后摇身变为国民党边防指挥官继续作恶。,1948 年苏北兵团攻克据点，被击毙抖音百科。
张星三（绰号黄泥头）,伪赣榆伪军头目,赣榆北部石桥、金山一带,土匪投敌，为日军充当向导，频繁下乡扫荡，劫掠乡村，抓捕抗日干部群众，祸害赣榆沿海地区。,抗战后期在与抗日武装作战中被击毙。
韩叔瑗（韩玉卿）,伪东海县县长,海州、新浦,东海首任伪县长，组建伪县公署；推行保甲、粮食征缴，协助日军掠夺海盐；拉拢地方士绅归顺日伪，巩固傀儡统治。,抗战胜利后汉奸审判判刑。
林梓周,伪盐业粮业组合长，维持会骨干,新浦、海州,本地商界头目，沦陷初期参加伪维持会；为日军强征海盐、粮食，向商户摊派苛捐；多方奔走拉拢李实甫出山投敌。,战后逮捕惩处。
汪稚梦,灌云板浦盐商、伪维持会骨干,板浦（灌云）,大盐田主，依附日伪；利用盐场财力物力资助伪政权，参与游说李实甫投敌，协助日军管控淮北盐场。,抗战胜利后清算判刑。
王玉琨,青帮头目、日伪特务联络人,海州、新浦,海州青帮首领，充当日军说客，联络地方士绅、旧官僚，为伪政权网罗爪牙，搜集民间情报。,解放后被逮捕审判。
杨秀山,伪新浦商会会长,新浦,商界汉奸，管控新浦工商业，强制商户捐款献物供应日军，推行奴化商业管理，打压爱国商户。,日本投降后被逮捕。
杨顶恒,伪地方恶霸、武装头目,东海曹浦,抗战时期私养数百人武装，投靠日伪，屠杀抗日干部民兵；战后变成还乡团继续反攻倒算，制造多起血案。,解放后公审处决。
顾祝三,伪赣榆县县长,赣榆全县,执掌赣榆伪政权，执行日伪清乡、抓丁征粮，出动伪县大队配合日军扫荡滨海抗日根据地。,抗战胜利后汉奸罪判刑。
李锡三,伪灌云县警察局长,板浦、灌云全县,执掌伪警察，搜捕地下抗日人员，刑讯爱国群众，配合伪军下乡清剿。,战后被捕法办。
