姓名,伪职 / 身份,活动地区,核心罪行,最终结局
张海鹏,伪洮辽警备司令，伪满侍从武官长,洮南（大本营），势力覆盖整个白城地区,九一八事变投降日本，以洮南为基地组建伪军，充当日军进攻黑龙江马占山的先锋；镇压嘎达梅林起义，在白城‑洮南一带搜刮粮草、围剿抗日武装，残害爱国群众。,1945 年被苏军捕获，1951 年病死抚顺战犯管理所。
申振先,伪洮南县首任县长,洮南,九一八事变带头迎接日军入城，协助张海鹏建立伪地方政权，推行日伪各项殖民政令，压榨百姓洮南市人民...。,光复后被清算惩处。
徐景隆,张海鹏部伪骑兵团少将团长,洮南、白城、江桥前线,张海鹏核心部下，率伪军作为日军先锋进攻江桥，疯狂进攻马占山抗日部队，在白城周边驻防镇压民众反抗。,江桥作战中被抗日武装击毙。
朱瑞,伪国高教员，光复后 “光复军” 头目,洮南,伪满时期从事奴化教育；日本投降后网罗土匪、伪军警组建国民党东北先遣军第十一师，多次攻打洮南县城，屠杀革命干部群众吉林省地方...。,武装叛乱失败被捕获处决。
修广翰,伪满旧官吏，洮南国民党党部骨干,洮南,日伪时期依附日本；光复后勾结残余伪势力，联络国民党，策动地方武装暴乱，破坏民主政权接收吉林省地方...。,被民主政府逮捕审判。
万咸章,伪洮昂铁路、洮索铁路局局长,白城‑洮南铁路沿线,伪满掌管西部铁路，为日军军事运输服务，转运兵员物资，配合日本资源掠夺政策。,抗战胜利后被逮捕审查。
王作新,伪白城教员，国民党洮安县党部执委,白城县（洮安）,伪满时期推行奴化教育；光复后拉拢伪官吏、地主组建反动党部，发展势力对抗民主政权。,解放后镇压反革命时期处理。
刘万贵,伪满旧职员，洮安县国民党部骨干,白城县（洮安）,接收国民党委任，联络旧伪人员，发展反动势力，策划地方叛乱活动。,被民主政府惩处。
李麟书,伪大赉县（今大安）县长,大赉（大安）,主持大赉伪县公署，执行粮食出荷、抓国兵，迫害爱国群众；光复后任维持会会长，把持县城抗拒民主政府接收。,1946 年公审处决。
宫相臣,伪开通县（通榆）警察署长,开通（通榆）,执掌伪警察，抓捕抗日人士，搜刮民财；光复后收编伪警组建反动武装。,叛乱失败被镇压。
