姓名,伪职 / 身份,活动地区,核心罪行,最终结局
张雨新（张黑子）,日军特务，刁翎玉泉涌烧锅掌柜；光复后国民党先遣军中将总指挥,林口刁翎、三道通一带,九一八投靠日本，接受特务训练，以烧锅为据点搜集抗联情报，带队扫荡山林；光复后网罗伪军警土匪，烧杀劫掠，残害基层革命干部。,1946 年剿匪被俘，公审枪决。
葛海禄,原抗联八军副官，叛徒密探,海林柞木岗（乌斯浑河）,发现抗联五军妇女团宿营篝火，连夜向日军告密，直接造成八女投江悲剧发生。,解放后被人民政府逮捕法办。
李义芳,八面通宪兵队密探汉奸,穆棱八面通、绥芬河,出卖地下交通员赵兴东，致使其被捕牺牲，破坏绥芬河国际地下交通线绥芬河市人...。,1960 年群众检举，牡丹江法院判处反革命罪惩处。
廉成灿,伪宁安森林警察大队大队长,宁安、海林山林,熟悉老爷岭地形，率领伪森林警察反复讨伐抗联五军，捣毁多处密营，抓捕接济抗联百姓。,抗战胜利后被民主政府清算处决。
董廷勋,伪穆棱县警察讨伐队警尉,穆棱下城子、马桥河,带领伪讨伐队清剿吉东抗联，搜捕地下党、救国会员，酷刑审讯被捕爱国人士。,解放后镇压反革命公审处决。
吴振铎,伪东宁县警务科特务股长,东宁、老黑山要塞周边,专门针对边境地下党组织，破坏东宁老黑山党支部，抓捕抗日人员，配合要塞警备。,日本投降后潜逃，后被捕获审判。
于景超,伪林口县县长,林口全境,主持林口伪县公署，推行集团部落、粮食出荷；协助日伪山林讨伐队围剿二路军；光复后组建维持会抗拒民主政权接收。,1946 年反奸清算公审枪决。
王福臣,伪宁安伪自卫团总团长，大地主,宁安兰岗、石岩,地主武装头目，接受日军委任，组织自卫团搜捕抗联，盘剥乡民，检举反日群众。,解放后公审镇压。
赵德山,伪特务，原抗联人员,林口、穆棱交界山林,叛变后充当伪讨伐队向导，熟悉吉东山林，出卖多处抗联密营位置，多次参与进山扫荡。,解放后被逮捕惩处。
关书范,抗联五军一师师长，动摇叛变分子,宁安、海林,八女投江所掩护的部队指挥员，暗中与日军秘密接洽，计划率部投降，严重动摇军心。,1939 年周保中主持军法审判，就地枪决。
周光海,伪绥芬河商务会长、维持会头目,绥芬河,伪满时期为日军筹措物资，监控口岸来往人员；光复后收拢伪警特务，勾结国民党势力破坏接收。,被民主政府逮捕审判。
