姓名,籍贯,伪职,主要罪行,结局
禹澄,不详,伪鞍山市副市长（伪市公署华人最高职位）,伪市公署二把手，协助日本市长推行保甲、劳工征用、物资掠夺；日本投降后牵头组建鞍山市治安维持委员会，任副会长，企图维持伪政权等待国民党接收，掌控伪残余势力。,1948‑1949 年间以汉奸罪逮捕判刑。
张北超,不详,伪鞍山市警察局副局长（华人最高警职）,掌管华人伪警察队伍，侦缉抓捕爱国工人、地下反日人员，配合日军镇压鞍山工人罢工。日本投降后自封临时警察局长，全部留用伪警察，加入治安维持会。,解放后逮捕，汉奸罪重判。
邓国庆,黑龙江依兰,伪满国军驻鞍山汤岗子第 10 工兵队上校，鞍山伪驻军头目,原东北军，先参加义勇军，战败投敌；协助日军维持鞍山周边治安，镇压抗日力量。日本投降后收拢伪满军、残留日军，组建鞍山保安队、军警联合司令部，自任司令，勾结国民党进攻我方。1949 年公审时仍高唱日本国歌，态度极其顽固。,1949‑05‑30 鞍山二台子公审枪决。
李玉清,鞍山,伪鞍山市商会会长,为昭和制钢所、日伪当局摊派物资、强征商民，搜刮钢铁粮食供给日军；日本投降后出任鞍山市治安维持委员会委员长，勾结伪军警残余势力。,解放后逮捕，以汉奸罪惩处。
凌印清,海城（现鞍山海城）,九一八后伪 “东北民众自卫军” 总司令,九一八事变被日军重金收买，招降土匪，策反义勇军，在辽海一带为日军卖命，是辽南最早一批汉奸。,1931 年被抗日义勇军活捉，沙岭镇公审枪决中国·鞍山。
王槐山,海城,凌印清伪部副手汉奸,协助凌印清招匪、策反义勇军，充当日军爪牙。,同案被义勇军公审枪决中国·鞍山。
刘春信,海城,凌印清伪部骨干,为日军拉拢地方武装，刺探义勇军情报。,同案公审枪决中国·鞍山。
冯仙洲,海城,凌印清伪部参谋,为凌印清出谋划策，替日军做策反工作。,同案公审枪决中国·鞍山。
赵辅臣,鞍山,伪鞍山警察特务系主任,专门侦查、抓捕鞍山工厂反日工人，刑讯迫害被捕爱国人员，搜集民间反日言论。,鞍山解放后公审处决。
王惠卿,海城,伪海城县县长（伪奉天省）,海城当时归伪奉天省，建立伪县公署，推行保甲连坐，强征劳工粮食，围剿辽南抗日义勇军。,抗战胜利逮捕，汉奸罪判刑。
孙景阳,海城,伪海城县警务科长,指挥伪警察、特务搜捕地下抗日人员，迫害抗属。,解放后镇反处决。
