区域,姓名,籍贯,伪职及主要罪行,结局
包头市区（特别市）,刘澍,包头,伪包头县县长、代理包头特别市市长；日军入城牵头组建维持会，出城举白旗迎敌；登记户籍，强征劳工，协助日军管控城区。,1945 潜逃，1951 镇反抓获，管制三年
,刘继广,山东,第一任正式伪包头市市长；原东北军，随李守信投敌，伪蒙古军第一师师长改任市长；推行保甲连坐，强征劳工修筑炮楼兵营，掠夺物资。后调任伪蒙疆最高检察厅厅长、宣化省省长。,日降后逃张家口，建国后抓捕劳改
,金朝文（孙伯陶）,包头回族,第二任伪包头市长（1939‑1945）；强制推行鸦片种植，烟税供给日军；配合宪兵大搜捕，搜刮皮毛、粮食、煤炭输送伪蒙疆总部。,日降后潜逃，被国民政府通缉，抓获判处重刑
,白凤翔,辽宁,原东北军师长，投敌伪包头北部骑兵总指挥；统帅多支伪骑兵，封锁大青山西线通道，多次进山围剿大青山游击队，残害群众。,1941 被日军设计毒杀
,张绍堂,包头,包头维持会核心头目，漠南公司经理；联合商会士绅出城迎接日军入城，协助接管城市。,战后汉奸罪判刑
,王文质,包头,伪市公署警务股长、翻译；维持会骨干，懂日语，协助日军审讯抓捕爱国人士。1940 年傅作义攻包之后被日军怀疑通敌逮捕，押往张家口杀害。,1940 张家口秘密枪杀
,董世昌,包头,伪包头商会会长；日伪时期管控皮毛商贸，为日军筹集物资；1940 被日军怀疑通敌逮捕。,押解张家口杀害
,刘振东,不详,伪蒙古军第一团团长，驻防包头石拐煤矿；驻守大青山北麓，镇压煤矿工人与游击活动。,石拐战斗被八路军俘虏，教育后释放btdjgov.cn
,宋殿元,河北康保,伪讨伐队头目，长期活动包头周边；烧杀淫掠，血债极多。,1951 包头人民广场公审枪决
萨拉齐县（土默特右旗）,卜兆瑞,萨拉齐,伪萨拉齐县县长；管控平绥铁路西段，修筑炮楼，频繁配合日军扫荡大青山南麓村庄。,战后汉奸罪判处徒刑
,祁老幺,萨拉齐,伪萨拉齐警备大队长；伪军铁杆，经常进山 “清剿” 大青山游击区。,萨拉齐解放被俘公审枪决
固阳县,亢锦荣,固阳,伪固阳县县长；推行集家并村，制造固阳北部无人区，强征劳工，石拐煤矿强抓矿工。,战后逮捕，判处无期徒刑
,安恩达,固阳,伪固阳警备联队长；伪军主力，反复进山围剿大青山支队。,固阳解放被俘公审枪决
安北县（旧制，今乌拉特前旗一带）,额宝斋,乌拉特前旗,蒙奸，乌拉特前旗西协理；常驻包头园子巷旗办事处；向日军告密牧民动向，抓捕支援游击队的蒙民；抗战胜利后假意归顺奇俊峰，暗中策动叛乱。,1947 清算处决
,阿拉坦鄂济尔（阿王）,杭锦旗,伪伊克昭盟公署盟长，公署常驻包头；游说各旗王公投日，强征牛羊马匹供给伪蒙古军，引导日军渡河扫荡伊盟根据地。,日降后交印，居家管制，草场没收
