区域,姓名,籍贯,伪职,主要罪行,结局
长治市区（伪上党道公署）,张敬浩,山东博山,首任伪上党道道尹,搭建伪上党道整套行政体系；推行治安强化、保甲连坐，强征粮食、煤炭、劳工，指挥各县伪政权配合日军扫荡太行根据地，推行新民会奴化教育。,抗战胜利后逮捕，汉奸罪重判
,王佐升,山西,第二任伪上党道道尹,接续统治晋东南，强化剿共委员会，搜刮物资，抓捕抗日人员。,战后逮捕判刑
,聂士庆,长治,伪长治县县长；原国民党长治县长,1943 率整套国民党县政府集体投敌，人称上党 “四大天王” 之一；利用旧基层关系搜捕太行四分区干部，胁迫各村维持日伪，多次配合日军扫荡长治、壶关根据地。,抗战胜利公审镇压
,王河,长治南关,潞安宪兵队便衣特务头目（上党四大汉奸之一）,叛变投敌，带领宪兵抓捕抗日军民；协助日军拿平民做活体解剖，制造多起惨案。,长治解放公审枪决
,肖贵米,长治关村,伪便衣队长（四大汉奸之一）,搜捕地下党员，拷打抗属，下乡敲诈抢掠，作恶多端。,解放后群众公审处决
,赵文志,长治东关,伪警察署特务头目（四大汉奸之一）,掌管便衣特务队伍，刺探根据地情报，抓捕地下工作人员。,解放后镇压处决
,魏花狗（呲牙狗）,长治府城,宪兵队便衣特务（四大汉奸之一）,随同日军下乡扫荡，残害百姓，抓捕群众。日本投降后潜逃，后被抓捕归案处决。,抓获后公审枪决
,裴宝堂,长治,早期长治维持会长,1938 短暂出任维持会长；日军第一次撤出长治后被我方释放，之后离开山西，不属于铁杆汉奸，1941 病死于陕西三原抖音百科。,病死，未按汉奸处决
,李锦堂,长治,伪长治警备大队长,驻守长治城，率伪军配合日军出城扫荡，抓捕民兵干部。,解放后公审枪决
潞城县,常建邦,潞城,伪潞城县参议员，原我方参议员叛变,公开投敌，出卖根据地情报，破坏潞城地下组织。,被抗日政府逮捕处决。
,郭炳,潞城,伪潞城县县长,建立伪县公署，修筑炮楼，管控白晋铁路，强征粮款。,战后汉奸罪判刑
,申保元,潞城,伪潞城警备大队长,盘踞潞城、微子镇据点，多次袭扰太行根据地边缘村庄。,解放后镇压处决
壶关县,马成骥,壶关,伪壶关县县长（上党四大天王之一）,组建壶关伪政权，指挥伪警备队清乡扫荡，抓捕抗日干部群众。,抗战胜利后公审处决。
,张逢吉,壶关,伪壶关警备大队长,驻守壶关县城，配合日本顾问笠实掠夺粮食，迫害百姓人民网。,解放后公审枪决
长子县,王璧,长子,伪长子县首任知事、维持会会长,地方士绅主动迎敌，组建维持会，建立保甲，征粮抓夫，协助修筑炮楼据点。,镇反期间处决
,陈守谦,长子,伪长子警备大队长,下乡清剿，残害堡垒户，勒索地方百姓。,解放后处决
屯留县,徐其昌,屯留,伪屯留县县长、防守司令,屯留伪政权主官，强征壮丁物资，配合日军封锁根据地。,抗战胜利后逮捕判刑
,贾汉玉,屯留,伪屯留警备副司令,带队下乡扫荡，抓捕抗日人员。,解放后镇压处决
襄垣县,张公度,襄垣,伪襄垣县县长,建立襄垣伪县公署，推行保甲，配合日军清乡。,上党战役被俘，后审判处决。
,李黑马,襄垣,伪襄垣警备大队长,伪军头目，多次袭扰襄垣周边根据地村庄。,被俘后处决。
黎城县,郭木林,黎城,汉奸向导,黄崖洞保卫战给日军带路，残害彭清理一家八口，指认根据地道路。,1951 镇反枪决。
,杨丕力,黎城,叛徒向导,带领日军偷袭黄崖洞侧后阵地。,战斗中被击毙邯郸党史网。
陵川县,杨志玉,陵川,伪陵川县县长（上党四大天王之一）；原国民党陵川县长,1943 日军占领陵川，率县政府整体投敌；组建伪区乡政权，指挥伪军清乡搜捕抗日人员。,陵川收复后审判处决
高平市（高平）,姬振奎,高平,伪高平县县长（上党四大天王之一）,建立高平伪政权，征粮抓丁，配合日军扫荡南部山区。,抗战胜利公审镇压
