姓名,籍贯,伪职,主要罪行,结局
王殿忠,辽宁盖县（营口）,伪满辽河地区警备司令、第六军管区上将司令,原奉系军官投敌；司令部驻营口，指挥伪军在辽南疯狂围剿张海天、项青山等辽南义勇军；日本投降后回到营口，出任营口治安维持会委员长兼市长，全盘接管伪机构，勾结国民党，对抗民主政权营口日报。,被苏军逮捕，后关押抚顺战犯管理所。
杨晋源,营口,九一八后伪营口县首任知事（县长）,日军占领营口后立即投降，组建伪营口县公署；协助日军接管城市，张贴安民布告，维持殖民统治，镇压本地反日活动，实权掌握在日本参事官手中。,抗战胜利后以汉奸罪逮捕判刑。
尹永祯,营口,伪营口市市长（华人）,伪满设市后华人市长，实权归日本副市长；协助推行保甲、劳工征用、物资统制，执行战时经济掠夺政策。,光复后逮捕，汉奸罪惩处。
白铭镇,营口,伪营口商埠警察局长,九一八事变当即投敌，留任伪警察局长，维持城市治安，抓捕爱国人士，配合日军镇压营口民众反抗。,抗战胜利逮捕判刑。
郝相臣,营口,伪营口总商会会长,九一八事变即附逆，为日军筹措军需物资，摊派各类报国捐，压榨营口商民，配合日伪经济掠夺。,反奸清算，没收财产，判处徒刑。
周光汉,营口,伪营口警察厅特务系主任,掌管华人特务密探，侦查、抓捕地下爱国分子，刑讯迫害 “思想犯”“国事犯”，多次参与大逮捕，血债较多。,营口解放后公审枪决。
佟老五,盖平熊岳,熊岳大地主，伪维持会头目,依附日伪，欺压乡里；八一五之后拼凑熊岳治安维持会，网罗伪警、地痞继续作恶，迫害农会干部与群众辽宁省民政...。,被民主政府抓获公审处决。
李端,复县（瓦房店）,伪复县首任县长,组建复县伪公署，推行保甲连坐，强征劳工粮食，镇压辽南义勇军。,战后汉奸罪判刑。
张国铨,复县,伪复县第二任县长,执行日伪集团部落政策，盘查沿海渡口，抓捕抗日人员。,光复后逮捕判刑。
郭振昌,复县,伪复县末代县长,伪满末期疯狂搜刮物资，强征劳工送往矿山与边境。,日本投降后被捕判刑。
王瑞华,盖平,伪盖平县县长，后升任伪锦州省省长,主持盖平伪政权，推行奴化统治，强征国兵、劳工；后调伪锦州省主政，对辽西实行殖民统治。,抗战胜利被捕，关押改造。
张景惠,辽宁台安（原属营口）,伪满洲国国务总理大臣,台安籍贯，伪满头号大汉奸，长期在长春任职，不在营口本地履职。,苏军俘获，关押抚顺战犯管理所，1957 年病死狱中。
