姓名,伪职 / 身份,活动地区,核心罪行,最终结局
夏少山,当涂维持会首任会长,当涂城关（今马鞍山当涂）,县城沦陷头号汉奸，迎接日军入城，组建维持会、伪保安队；摊派粮饷物资资敌，陪同日军下乡扫荡，指认藏粮点与游击人员位置。,1945 年抗战胜利公审处决。
张星侪（张景书）,汪伪当涂县首任伪县长,当涂全县,青帮头目，接替维持会，正式建立伪县公署；推行保甲良民证，强征铁矿劳工，配合日军清乡，管控长江渡口、采石码头抖音百科。,抗战胜利后汉奸审判伏法。
张四朗,汪伪当涂县后期县长、伪保安大队长,当涂、濮塘、采石,张星侪之弟，青帮骨干；历任伪保安课长、警察局长，后行贿罗君强出任伪县长；多次率伪军配合日军围剿新四军当芜游击根据地，搜刮土地财产，残害爱国群众抖音百科。,1949 年后镇反公审枪决。
夏明才,伪官陡门据点总司令、黄池伪自卫大队长,官陡门、大官圩（当涂东南）,手握三百余人伪军武装，盘踞圩区，烧杀掳掠，搜捕抗日干部群众；奇袭官陡门战斗前夜赴芜湖侥幸逃脱，武装被新四军全歼。,战后潜伏芦苇荡，1951 年镇反检举落网，公审处决。
李善斌,伪濮塘乡乡长、乡自卫队总队长,濮塘（今马鞍山花山区）,濮塘头号汉奸，组织伪乡自卫队，配合日军扫荡横山根据地；日本投降后摇身投靠国民党，制造 “濮塘十月事件”，大肆捕杀地下党员、民兵与革命群众，血债累累中安在线。,解放后公审判处死刑。
吴世宏,伪濮塘乡自卫队副队长,濮塘,李善斌副手，参与抓捕、酷刑迫害革命人员，是 “濮塘十月事件” 主要执行者中安在线。,镇反运动镇压处决。
吴祥坤,伪濮塘自卫队干事,濮塘,参与搜捕地下组织，告密出卖地方干部，作恶多端中安在线。,公审伏法。
胡玉堂,铜山伪军头目,博望小丹阳、铜山山区,土匪投敌，数百武装盘踞苏皖边界；替日军看守向山铁矿，抓捕逃跑矿工；拦截抗日物资，配合刀会武装攻打横山抗日根据地，焚毁基层抗日驻地。,1941 年锄奸行动抓捕归案，判处死刑。
周仕安,铜山伪军头目,博望铜山‑谢村,勾结刀会势力，递送情报，抓捕游击队员，打压横山地区抗日活动；抗战胜利后潜逃芜湖潜伏。,1947 年落网，判处死刑。
周桂生,伪护驾墩乡长,护驾墩（当涂）,劣绅投敌任伪乡长，多次充当向导，带领日伪军下乡清乡，催缴粮款，迫害拒绝附逆乡民。,抗战胜利后汉奸审判处决。
芮松亭,伪当涂县警察局局长,当涂城关、采石码头,执掌伪警察与侦缉队，盘查长江航运，抓捕爱国青年，酷刑审讯被捕人员，维持城区日伪治安。,肃奸公审枪决。
唐慎之,伪当涂县财政科长,当涂县城,经济汉奸，征收苛捐杂税，为日军筹集粮食、铜铁，统筹铁矿劳工摊派，搜刮资敌物资。,战后判处有期徒刑。
陶慕陶,伪当涂县教育科长,当涂,推行奴化教育，中小学强设日语课程，查禁爱国书刊，办理伪学校登记。,附逆案判刑。
赵德山,采石伪警察所长,采石矶（马鞍山雨山）,采石据点伪警头目，管控江边码头，抓捕、关押抗日人士，敲诈过往船商渔民。,建国后镇反处决。
刘老八（绰号）,当涂宪兵队便衣特务,当涂城郊、向山矿区,地痞投靠日军宪兵队，混迹铁矿工人中间，侦查地下抗日活动，告密抓捕矿工，敲诈勒索百姓。,抗战后期被我方锄奸队击毙。
王汉臣,伪博望维持代表,博望集镇,基层伪头目，办理良民证，催粮派夫，搜集横山游击区情报给日伪。,抗战胜利后法办。
