姓名,伪职 / 身份,活动地区,核心罪行,最终结局
李维周,齐齐哈尔地方维持会会长,齐齐哈尔,九一八事变后率先组织维持会迎接日军进城，协助建立伪龙江省傀儡政权，为日军筹措物资，胁迫地方士绅归顺伪满。,抗战胜利后被民主政府逮捕清算。
吉祥,伪黑龙江省代理省长,齐齐哈尔,张景惠委任的伪代理省长，主持初期伪省公署，推行日本各项殖民政令，协助日军稳定北满统治。,伪满后期病死。
刘允升,伪黑龙江省会公安局长,齐齐哈尔,掌管齐齐哈尔伪公安系统，抓捕爱国人士，镇压民间抗日活动，搭建城市伪警体系。,解放后镇压反革命时期被惩处。
蔡秀林（蔡文赋）,共产国际情报站叛徒,齐齐哈尔,被捕后全盘叛变，出卖张永兴、张克兴情报组织，供出全部地下联络点，致使 8 名情报志士被捕牺牲，北满重要谍报网覆灭。,解放后被公审处决。
董遇春,伪甘南县警署警尉,甘南县,日伪铁杆爪牙，大肆搜捕抗日群众，抓捕杀害支援抗联的百姓，参与山区扫荡，制造多起血案。,解放后被镇压。
尚连生,抗联三路军九支队秘书、叛徒,讷河、克山,1940 年叛变投敌，出卖讷河中心县委全部秘密，造成 “一二二〇大逮捕”，尹子魁、方冰玉等上百名地下党员、救国会员被捕遇害，北满西部地下组织遭受毁灭性打击qqhrnews.c...。,解放后被依法处决。
杨玉书,伪讷河县县长,讷河,执掌伪讷河县公署，强征 “粮食出荷”、强抓国兵，迫害抗日救国会员；光复后组建维持会，抗拒民主政府接收。,1946 年公审枪决。
王绍禹,伪克山县警察署长,克山,带领伪警察讨伐队进山围剿抗联第三路军，参与克山周边扫荡，抓捕残害地下抗日人员。,抗战胜利后被清算。
韩禄,伪龙江县自卫团总团长,龙江县,地主武装头目投降日军，组建伪自卫团，配合日伪军扫荡乡村，搜捕抗联交通员，压榨当地乡民。,解放后公审镇压。
张锡蔚,伪特务，收买的密探,齐齐哈尔、萝北一带,受日伪收买，跟随赵尚志队伍充当内奸；赵尚志遇刺负伤后，带领日伪军警赶赴现场抓捕赵尚志将军中国新闻网。,解放后被镇压。
王怀义,伪龙江省协和会本部部长,齐齐哈尔,主持协和会奴化宣传，推行 “日满一体”，管控学校、社会团体，监视爱国思想，为战争动员搜刮人力物力。,解放后关押改造。
