姓名,籍贯,伪职,主要罪行,结局
张本政,旅顺,关东州厅参事、大连市商会会长，身兼 49 项伪职，政记轮船公司老板,甲午即投敌；全部轮船供日军运输军火兵员；捐献飞机 40 架，受日本天皇接见；日本投降后组建大连治安维持会，勾结残留日军与国民党势力，迫害爱国人士。,1947 初判 12 年，保外就医潜逃；1951 年公审枪决，家产全部没收抖音百科。
刘雨田（刘逢霖）,普兰店泡子,关东州厅参事、大连市议员、华商公议会会长，关东都督府嘱托（高级顾问）,甲午战争主动给日军做向导，参与旅顺大屠杀引路；变卖土地房产捐献两架 “雨田号” 战机；宣扬大东亚共荣奴化思想，拉拢乡绅附逆，迫害爱国志士。,1945 年隐匿潜逃，1951 年抓获公审枪决，至死毫无悔意。
邵尚俭,金州,关东州厅参事、大连市商会副会长，身兼 30 余个伪职，粮油大亨,垄断大连粮油行业，执行日军物资配给，摊派报国公债，把粮食油料供给日军；商民抗捐罢市时私自赴东京欺骗日本当局；日本投降后任治安维持会副会长，勾结日伪残余与国民党。,1946 逮捕，没收绝大部分财产，保外就医，后病逝北京。
韩云阶,金州,伪满经济大臣、伪满奉天省长（旅大派核心人物）,大连出身，留学日本；九一八后投敌，在伪满主管经济，配合日本经济掠夺，压榨东北工矿、粮食资源。,抗战胜利被苏军逮捕，后病死狱中。
谷次亨,大连（旅大派）,伪满总务厅次长、伪安东省长、伪文教部大臣,关东州殖民教育培养，留学日本；主持鸦片政策，镇压东北文教界爱国力量，推行奴化教育，是伪满高层汉奸。,被俘关押抚顺战犯管理所，后期获特赦。
卢元善,大连（旅大派）,伪满司法大臣、伪奉天省民生厅长,大连出身，受日本殖民教育；在伪满执行日本法令，镇压反日人士。,抚顺战犯管理所关押，后特赦。
阎传绂,大连（旅大派）,伪满司法部大臣、伪吉林省长,大连出身，长期在伪满高层，配合日本殖民统治。,抚顺战犯管理所关押，后特赦。
王贤伟,大连（旅大派）,伪满滨江省长、伪外交部次长,关东州本土培养，伪满高官，执行日本各项殖民政策。,被俘后关押改造。
王景成,大连,大连伪警察署华人特务系主任,专门侦查、抓捕大连工人、学生中的地下抗日人员，刑讯迫害被捕爱国分子，搜集民间反日言论。,1946 年逮捕，判处长期徒刑。
于守业,大连西岗,伪西岗街长,接受关东州任命；强征劳工、摊派战时物资，检举私吃细粮、拒绝出工居民，配合抓捕爱国工人。,1946 群众控诉，判刑劳改。
