姓名,籍贯,伪职,主要罪行,结局
郭英麟,不详,伪本溪市副市长（华人最高职务）,协助日本市长推行保甲、劳工强征、物资统制；日本投降后牵头成立本溪临时治安维持会，企图留用全部伪警等待国民党接收，维护伪残余势力北国网。,解放后以汉奸罪逮捕判刑。
何裕丰,不详,伪本溪市副市长,执行日伪战时经济搜刮，管控城市户口、劳工摊派，配合镇压工人反抗。,光复后逮捕判刑。
庄国范,本溪,伪本溪警察署警长，外号 “庄阎王”,执掌伪警察侦缉，大肆抓捕爱国工人、地下反日人员，严刑拷打被捕群众，血债累累北国网。,1946‑12‑26 本溪万人公审大会枪决北国网。
李金峰,本溪,伪警察特务系头目,发展密探网络，侦查、告密抓捕抗联地下关系，迫害抗联家属，参与东边道大讨伐。,同场公审枪决北国网。
孟凌云,本溪南甸,本溪县大地主，煤矿资本家，伪地方势力,与日本财阀合作开采田师府煤矿，掠夺矿产；充当日伪地方爪牙，压榨矿工，协助日伪搜集山区情报，配合围剿抗联一师。,解放后镇反公审处决。
魏运衡,不详,伪本溪县县长,主持本溪县伪公署，推行集团部落，配合日伪对赛马集、草河掌抗联根据地讨伐，强征劳工粮食本溪纪检监...。,抗战胜利逮捕，汉奸罪判刑。
刘清一,不详,伪桓仁县县长,桓仁伪县公署主官，推行保甲连坐、集团部落，参与东边道大讨伐，搜捕抗联人员；日本投降后把持伪政权等待接收。,解放后公审判处重刑。
林尚光,台湾,伪本溪县警务科长,执掌本溪县伪警察系统，指挥特务密探，搜捕抗联交通员与地下爱国群众，参与多起抓捕迫害案件。,解放后逮捕判刑。
邵本良,吉林海龙,伪满国军少将，东边道讨伐司令,原东北军，投敌；盘踞本溪、桓仁、新宾一带，多次大规模围剿杨靖宇抗联第一师，烧杀村庄，制造多起惨案。,1936 年被抗联重创，重伤逃回奉天，伤重而死。
孟成民,本溪赛马集,伪赛马集警察署署长,驻守赛马集，疯狂搜捕抗联关系，抓捕地方爱国商民，制造多起冤狱本溪纪检监...。,被日军怀疑通抗联，逮捕关押沈阳监狱。
于冲汉,本溪草河口,伪满参议府参议，伪奉天自治指导部部长（本溪籍）,伪满开国核心汉奸，策划伪满洲国建立，在东北全境培训伪官吏，推行殖民统治。主要任职在奉天，非本溪本地履职。,1932 年病死，逃脱审判。
谷次亨,大连,本溪湖煤铁公司首席秘书,九一八后直接把煤铁公司全部资产移交日军；后进入伪满中央任高官，推行奴化教育、鸦片政策抖音百科。,抚顺战犯管理所关押，后期特赦。
衣文深,新宾,伪新宾县县长,新宾（兴京）伪县长，配合日伪讨伐抗联，推行集团部落，强征壮丁物资。,抗战胜利逮捕，汉奸罪判刑。
王秉臣,本溪湖煤铁公司大把头,投靠日伪，管理劳工，残酷压榨矿工，迫害反抗工人，协助日军看管 “特殊工人” 战俘劳工。,工人反奸清算大会公审处决。,
张万海,南芬铁矿大把头,充当日本监工爪牙，打骂、迫害矿工，克扣口粮，告密抓捕敢于反抗的矿工。,解放后镇反处决。,
