姓名,伪职 / 身份,活动地区,核心罪行,最终结局
李象山,伪伪军团长,虎林、密山一带,投降日军，充当向导，带领日伪军进攻高玉山国民救国军，扫荡虎林、黑嘴子抗日根据地，残害抗日军民。,抗战胜利后被清算镇压。
张继武,日军特务（虎林事件告密者）,虎林小木河、独木河,出卖虎林爱国抗日组织，制造 “虎林事件”，致使 64 名爱国人士被捕，24 人惨遭杀害；被日军委任为地方常驻特务继续搜集情报。,抗战胜利后潜逃，混入队伍，清队时被揪出，畏罪自杀。
韩光太,地方汉奸密探,密山西大林子（兴凯镇）,向伪满军警告密，出卖地下党支部，多名党员牺牲，破坏密山地下党组织。,解放后反奸清算被惩处。
姚继武（姚大巴掌）,城子河伪警察小队警尉补、特务,鸡西城子河,被日军发展为情报驻在员，在矿区搜捕地下抗日人员，迫害煤矿工人，搜集情报，作恶矿区城子河区人...。,解放后镇压反革命被审判。
李文新,伪管烟所所长，特务联络人,鸡宁（鸡西）,受日本特务机关指令，发展多名矿场、警察系统人员充当特务，构建本地情报网，为日军搜集情报城子河区人...。,解放后被逮捕惩处。
景鹤龄,煤矿劳务系内勤，日伪特务,鸡西城子河晓城煤矿,被李文新发展为特务，监视煤矿工人，排查抗日分子，向日军密告工人动向城子河区人...。,解放后管制改造。
于志威,煤矿劳务系外勤，日伪特务,鸡西城子河晓城煤矿,监视矿工，搜集矿区反日活动情报，配合日军镇压矿工反抗城子河区人...。,解放后管制改造。
冯捷三（冯守田）,煤矿劳务系外勤，日伪特务,鸡西城子河晓城煤矿,充当日军耳目，检举有抗日倾向矿工，协助日伪抓捕群众城子河区人...。,解放后管制改造。
刘宗和,煤矿翻译、特务,鸡西城子河晓城煤矿,充当翻译，协助日军审讯矿工，传递情报，迫害爱国工人城子河区人...。,解放后管制改造。
杨在官,密山居留民会特务,密山兴凯湖周边,带领伪军警突袭西大林子抗日村庄，配合韩光太抓捕地下党员，破坏抗日支部。,抗战后被民主政府清算。
