姓名,伪职 / 身份,活动地区,核心罪行,最终结局
毛嵩山,亳县维持会会长,亳县城关（谯城）,亳县沦陷头号汉奸，日军入城牵头组建维持会；胁迫商户纳贡，征集粮草民夫，发放良民证，充当向导配合日军下乡劫掠，协助新民会推行奴化宣传。,抗战胜利后肃奸公审枪决。
赵郎斋,汪伪亳县伪县长,亳县全境,正式伪政权主官，建立伪县府、伪警察，收编地方伪军，强化保甲，配合张岚峰部扫荡亳北抗日根据地，残害爱国群众。,日本投降后被捕，判处死刑。
熊公烈,原国民党亳县县长，投敌附逆,亳县、古城集,亳县第一次沦陷时弃城出逃，亳县二次沦陷公开投敌，为日伪招纳旧部，协助伪政权对乡下推行伪化统治中安在线安...。,抗战胜利后缉拿归案，判处重刑。
侯本生,伪军团长（张岚峰部）,亳县北部、芦家庙一带,豫东伪军主力，配合日军进犯亳县，频繁袭扰亳北根据地，抓捕地方抗日干部，劫掠乡村百姓中安在线。,解放战争中被歼灭。
袁天柱,伪军团长（张岚峰部）,亳北颜集、沙土集,随同侯本生配合日军行动，搜捕地下党组织，强征粮款，祸害亳北乡间中安在线。,1945 年根据地武装打击后溃散，战后被镇压。
崔华山,伪军司令,亳县东北芦家庙,率伪军进犯亳县，芦家庙战斗遭新四军游击支队重创，残部逃窜亳州新闻网。,率残部退回商丘，抗战胜利后被国民党收编。
崔学善,伪参谋长,亳县芦家庙,崔华山部参谋长，参与策划进攻亳县，芦家庙战斗被俘亳州新闻网。,被俘后审讯，后续处置不详。
许志一,涡阳维持会会长,涡阳县城,日军占领涡阳即出面投敌，网罗二十多名本地败类组建维持会，征夫征粮，替日军搜集乡间情报，胁迫士绅附逆。,涡阳光复后公审处决。
王西锋,涡阳维持会骨干,涡阳城关,许志一主要副手，逼迫商户出钱出物资敌，带领日伪军下乡扫荡，指认抗日家属。,抗战胜利后汉奸审判死刑。
李麟阁,蒙城沦陷时期伪商会会长,蒙城县城,蒙城沦陷时出任伪商会头目，摊派商捐，搜刮物资供给日军；蒙城收复后尚未逃窜即被爱国县长马忍言抓捕处决中安在线。,1939 年被就地枪毙。
刘德山,伪军小队长、据点特务,亳县东南乡据点,地痞投敌，执掌据点审讯，刑讯被捕地下人员，敲诈周边百姓，手上血债较多。,1951 年镇反判刑，狱中病逝。
胡金山（胡松亭）,白枪会头目，勾结日伪,亳县二区（颜集）,地方会道门武装，勾结日伪发动暴乱，制造亳二区惨案，杀害 9 名党员干部，抓捕二十余名革命人员。,暴乱被镇压，捕获后公审枪决。
陈子兴,叛变区队长,亳县三区,原我方人员叛变，出卖地下党员纵食力、王金铎等人，投靠日伪充当帮凶。,被抗日民主政府锄奸处决。
张寅生,国民党亳县党部特派员，通敌勾结,亳县城乡,暗中勾结日伪，煽动地方民团暴乱，破坏根据地基层组织，为敌伪递送情报。,抗战胜利后肃奸逮捕判刑。
黄二混子（绰号）,涡阳边境便衣密探,涡阳义门、石弓边境,受张岚峰伪军派遣，往返据点与乡间，刺探雪涡根据地情报，散布谣言，勒索乡民。,雪涡县武工队锄奸击毙。
张老五（绰号）,蒙城伪乡维持头目,蒙城板桥集周边,日军过境蒙城期间出任临时伪乡长，迎接日军，抓夫抢粮，带路烧杀周边村庄。,地方抗日武装捕获正法。
