区域,姓名,籍贯,伪职,主要罪行,结局
忻县（忻府区）,米子祥,忻县,首任伪忻县县长,日军入城牵头组建维持会；推行保甲十家连坐，设立粮谷公会掠夺粮食，抓捕城内地下抗日人员。,1945 被俘，汉奸罪判处 8 年徒刑
,邢春喜,忻县,忻县城维持会总会长,商号掌柜，迎接日军进城；强迫百姓悬挂日旗，登记壮丁，摊派粮款物资。,无血债，没收财产，管制三年
,王义龙,忻县,伪忻县警备大队长,驻守忻县城、奇村据点，多次带队扫荡忻崞边山根据地，残害干部群众。,解放后公审枪决
,赵二混,忻县,宪兵队便衣特务头目,发展密探，破获地下交通站，抓捕抗日干部。,武工队锄奸处决
定襄县,王云浩,河北平谷,伪定襄县县长,组织治安强化清乡，重金收买乡村密探，搜捕滹沱河沿岸地下党员。,抗战胜利逮捕判刑
,梁世英,定襄,伪定襄警备大队长,盘踞定襄、河边据点，袭扰晋察冀二分区根据地。,解放后公审枪决
,郭万和,定襄,便衣特务头目,下乡告密抓捕村干部，敲诈百姓。,抗战时期被民兵击毙
五台县,李辅唐,五台,伪五台县县长,建立伪公署，修筑炮楼，管控台怀、豆村据点，配合日军扫荡五台山区。,战后汉奸罪判刑
,段炳炎,五台,伪五台警备大队长,多次进山扫荡，制造多起村庄惨案。,解放后公审枪决
,胡三,五台,豆村据点特务,专门搜捕根据地地下工作人员，残害抗属。,武工队潜入据点处决
崞县（原平）,田杰,崞县,首任伪崞县县长兼维持会长,日军占领崞阳，组建维持会，搭建伪政权体系。,调走，战后逮捕判刑
,樊尽美（樊尺美）,崞县,伪崞县县长、伪警备大队长,日军吹捧的 “模范县长”；多次带队下乡抢粮扫荡，曾赴日本访问；疯狂压榨百姓。,1946 潜逃绥远；1953 抓获，公审枪决
,江龙,不详,伪崞县县长,接续执行日伪政令，强征壮丁物资。,战后逮捕判刑
,褚凤仪,不详,末代伪崞县县长,维持日伪末期统治。,光复后逮捕判刑
,张世功,崞县,伪崞县警备大队长,驻守原平、崞阳，配合日军同川大扫荡。,解放后镇压处决
代县,朗达中,代县,首任伪代县知事（县长）,组建伪代县公署，推行联保连坐，搜刮民财，配合日军扫荡雁门山区。,战后汉奸罪重判
,刘俊,代县,伪据点伪军副班长（叛徒）,背信弃义出卖我方敌工部长高凡，致使高凡被捕牺牲。,被我方俘获处决
,王德胜,代县,伪代县警备大队长,驻守代县城、峨口据点，残害抗日军民。,解放后公审枪决
宁武县,宫保衡,宁武,伪宁武县县长,建立宁武伪政权，管控同蒲铁路，强征劳工，配合日军扫荡管涔山根据地。,战后逮捕判刑
,王银海,宁武,伪宁武警备大队长,盘踞宁武城、东寨据点，下乡清乡扫荡。,解放后公审枪决
神池县,张芝纲,神池,伪神池县县长，后调伪五寨县长,主持伪政权；后被武工队伏击活捉，经教育后反正，发表文章揭露日军罪行，策动伪军起义山西党史方...。,立功免予汉奸严惩
,李占元,神池,伪神池警备大队长,配合日军扫荡神池南山，抓捕抗日干部。,解放后镇压处决
五寨县,王缵绪,不详,伪五寨县县长,管控晋西北据点，摊派粮款，修筑炮楼。,战后逮捕判刑
,赵玉昆,五寨,伪五寨警备大队长,祸害五寨周边乡村，搜捕晋绥根据地人员。,解放后公审枪决
偏关县,李逢春,偏关,伪偏关县县长,建立偏关伪县公署，管控黄河渡口，盘查过往交通人员。,战后汉奸罪判刑
,张镇戍,偏关,伪偏关警备大队长,后期看清形势，率 200 余伪军起义投奔八路军，立功免予惩处山西党史方...。,起义，不予清算
静乐县,宋存贵,静乐,伪军团长，三交据点大汉奸,死心投靠日军，多次扫荡静乐山区，双手沾满军民鲜血。,1944 中秋夜，八路军武工队攻入据点将其击毙。
,王富太,静乐,伪军团副，宋存贵副手,随同宋存贵下乡作恶，残害百姓。,1944 据点战斗被击毙
,曹尔恭,静乐,伪静乐县县长,搭建静乐伪政权，推行保甲，抓夫征粮。,战后逮捕判刑
