姓名,籍贯,伪职,主要罪行,结局
郑孝胥,福建闽侯,伪满首任国务总理大臣,起草《日满议定书》，出卖东北主权，构建伪满傀儡体制，推行殖民统治。,1938 年病死于长春中国社会科...。
张景惠,辽宁台安,伪满国务总理大臣，协和会会长,伪满在位最久总理，完全听命关东军；签署大量镇压、掠夺法令，疯狂掠夺东北粮食矿产，配合讨伐抗日武装。八一五后组建长春治安维持会。,苏军逮捕押苏联，1950 引渡抚顺战犯管理所，1959 年狱中病死。
臧式毅,辽宁沈阳,伪满参议府议长，原民政部总长,参与筹建伪满，签署大量殖民法令；代表伪满签订《日满华共同宣言》；光复后参与长春治安维持会。,苏军押苏联，引渡抚顺战犯管理所，1956 年狱中病死抖音百科。
熙洽,辽宁沈阳（满族）,伪满宫内府大臣,九一八主动引日军入吉林，策动伪满建国，搜刮东北资源，镇压吉林抗日力量。,苏军逮捕，引渡回国，1952 年哈尔滨战犯管理所病逝。
于镜涛,辽宁大连,伪勤劳奉仕部大臣、伪新京特别市末代市长,主持强征劳工；八一五后自封长春特别市市长，全盘留用 80 多名伪官吏、伪警察，通电重庆等待国民党接收。,苏军逮捕押苏联，引渡抚顺战犯管理所，后特赦释放。
于静远,辽阳，于冲汉之子,伪新京特别市市长、伪经济部大臣,主持新京市政，推行奴化宣传；主管伪满经济掠夺，管控工矿资源。,苏军逮捕，抚顺战犯管理所，后期特赦释放。
金壁东,辽宁铁岭（满族）,伪新京特别市第一任市长,伪满早期新京主官，参与城市殖民规划，强征土地、劳工，镇压城内爱国运动。,抗战胜利前病死。
徐绍卿,辽宁沈阳,伪新京特别市市长、伪锦州省省长,先后主政新京、锦州，推行保甲、集团部落，强征粮饷，镇压义勇军。,苏军逮捕，关押抚顺战犯管理所，狱中病死吉林省地方...。
金名世,辽宁兴京,伪新京特别市市长、伪民生部大臣,执行战时物资统制，强征国兵劳工，迫害爱国人士。,苏军逮捕，抚顺战犯管理所关押，后特赦。
张联文,不详,伪新京特别市市长,伪满中期新京主官，配合日本当局强化城市治安管控。,光复后被捕判刑。
谷次亨,大连,伪满总务厅次长、民生部大臣，曾任伪安东省厅长,伪满实权汉奸，主导鸦片政策、奴化教育，强征劳工，参与东边道大讨伐。,苏军逮捕，抚顺战犯管理所，后期特赦释放吉林省地方...。
黄富俊,辽宁开原,伪满兴农部大臣,主管粮食 “出荷”，疯狂掠夺东北粮食供给日军。,苏军逮捕，抚顺战犯管理所关押，后特赦。
阮振铎,辽宁铁岭,伪满外交部大臣、文教部大臣,办理对日外交，推行奴化教育，美化伪满统治。,苏军逮捕，抚顺战犯管理所，后期特赦释放。
卢元善,辽宁金县,伪满文教部大臣,强力推行日式奴化教育，清洗爱国师生。,苏军逮捕，抚顺战犯管理所，后特赦。
阎传绂,辽宁海城,伪满司法部大臣,伪满司法头目，大量判处 “国事犯”，迫害爱国志士。,苏军逮捕，抚顺战犯管理所，后期特赦释放。
邢士廉,辽宁沈阳,伪满军事部大臣，伪满上将,原东北军投敌；掌管伪满军事，指挥伪军讨伐抗联，推行集家归屯。,苏军逮捕，抚顺战犯管理所，1954 年狱中病死吉林省地方...。
赵万斌,不详,伪满首都警察厅理事官（长春华人警务头目）,掌管首都华人伪警察，搜捕地下党、爱国学生工人；八一五后被于镜涛任命为长春市公安总局局长，全盘留用伪警。,解放后逮捕，汉奸罪重判。
罗振玉,江苏淮安,伪满监察院副院长，祭祀府副总裁,晚清学者，赴东北投靠溥仪，参与伪满建国，为日伪制造舆论。,1940 年病死长春。
沈瑞麟,浙江吴兴,伪满祭祀府副总裁,伪满宫廷高官，参与伪满礼制、奴化宣传。,苏军逮捕，押往苏联，死于苏联。
赵欣伯,河北宛平,伪满立法院院长,伪满早期立法头目，炮制伪满法律，维护日本殖民统治。,1951 年病死北京。
曹肇元,不详,伪新京特别市总务处长,伪市公署华人实权处长；八一五后为长春特别市政府总务处长，主持接收伪机关。,民主政府逮捕，汉奸罪判刑吉林省地方...。
孙仁轩,长春,伪新京总商会会长,为日伪摊派各类报国捐，筹措军需物资，压榨长春商民。,反奸清算，没收财产，判处徒刑。
