区域,姓名,籍贯,伪职及主要罪行,结局
沧县（沧州城，伪渤海道公署）,李翰卿,不详,伪渤海道道尹，伪渤海道最高行政长官；统辖 13 县伪政权，推行保甲、治安强化运动，征粮抓丁，配合日军扫荡冀中、冀鲁边根据地。,抗战胜利逮捕，判处无期徒刑
,刘佩忱,沧县仁和村,巨匪投敌，伪渤海道剿共总司令；沧盐一带作恶，抓捕壮丁充伪军，多次扫荡，屠杀平民；日本投降后改任国民党沧州城防司令。1947 沧州解放被俘，押解途中气绝，补枪执行死刑。,1947 被俘，押解途中死亡，补枪处决
,高鸿基,沧县大官厅高蔡村,伪沧县警备大队长；《烈火金刚》高铁杆原型，铁杆汉奸，反复扫荡建国县、沧县乡村，残害大量干部群众，血债累累。,解放后镇反公审枪决
,邢仁甫,盐山,原冀鲁边军区司令员叛变；日军委任六县剿共司令，残害抗日人员；日降后投靠国民党军统。,1950 盐山公审枪决抖音百科
,王云章,不详,伪沧县县长；依附刘佩忱伪军，摊派粮秣，管控津浦铁路沧州段。,战后汉奸罪判处长期徒刑
,张秀山,沧县,伪沧县警察局长；配合日本宪兵抓捕地下党员、交通员，酷刑迫害被捕人员。,镇反时期公审处决
青县,马少山,不详,伪青县县长；依托津浦铁路修筑炮楼，清乡扫荡，抓捕堡垒户。,战后逮捕判刑
,刘金波,青县,伪青县警备大队长；驻守青县城、流河据点，下乡烧杀抢掠。,青县解放被俘枪决
献县,韩一峰,不详,伪献县县长；五一大扫荡后重建伪政权，疯狂搜捕冀中八分区干部。,战后汉奸罪判处徒刑
,柴恩波,献县,原冀中独立二团团长叛变投敌，伪献县警备司令；杀害大批我方军政人员，破坏献县根据地。,日本投降被国民党收编；解放后抓获处决
,孙金彪,献县,伪献县警备大队长；多次扫荡献县、交河交界村庄。,献县解放被俘处死
河间县,崔文彬,不详,伪河间县县长；河间为冀中重要据点，强征壮丁粮草，推行伪大乡制度。,战后逮捕判刑
,李观洲,河间,伪河间警备联队长；伪军主力，配合日军反复扫荡河间根据地。,河间解放被俘枪决
肃宁县,王伯安,不详,伪肃宁县县长；县城多次被我军攻克，反复重建伪政权，抓捕抗日家属。,日本投降潜逃，后抓捕归案判刑
,佟老万,肃宁,伪肃宁警备大队长；出城扫荡，破坏地道村庄。,肃宁解放被俘处决
交河县（泊头）,傅锡九,不详,伪交河县县长；掌控泊头水陆码头，掠夺粮棉物资，搜捕地下交通人员。,战后汉奸罪判处徒刑
,于化臣,交河,伪交河警备大队长；驻守泊镇、富镇据点，祸害交河、献县一带百姓。,交河解放被俘枪决
南皮县,朱音福,不详,前任伪南皮县长；搜刮民财，扩充伪军，1945 被八路军活捉。,被俘后公审处决
,谢有生,不详,后期伪南皮县长；原伪渤海道保安科长，疯狂招兵买马搜刮钱财，1945 被伏击活捉。,1945 双庙村公审枪决
,张凤海,南皮,伪南皮警备大队长；铁杆伪军，多次下乡清乡。,南皮解放被俘处死
盐山县,李印泉,不详,伪盐山县县长；冀鲁边核心敌占点，配合日军扫荡冀鲁边根据地。,战后逮捕判刑
,杨朋山,盐山,伪盐山警备大队长；伪军主力，残害盐山、庆云交界群众。,盐山解放被俘枪决
新海县（今黄骅）,于惠洲,不详,伪新海县县长；管控沿海，抓劳工，掠夺海盐物资。,战后判处徒刑
,刘福成,新海,伪新海讨伐队长；沿海苇洼地带反复扫荡，抓捕海上交通人员。,1944 被冀鲁边武装击毙
吴桥县,尤美玉,吴桥尤庄,原张国基部副司令投敌，伪宁吴反共自卫军司令；清乡反共，破坏吴桥根据地。,吴桥解放被俘处决
,周香亭,不详,伪吴桥县县长；依托津浦铁路，修筑大量炮楼。,战后汉奸罪判处长期徒刑
东光县,李文成,东光李习村；曾为八路军旅长，叛变投敌；伪东光警备司令，祸害东光、南皮、宁津一带，血债深重。,,1954 年公审枪决
,王绍武,不详,伪东光县县长；配合李文成伪军推行日伪政令，强征粮秣。,战后逮捕判刑
宁津县（当时属伪渤海道，今山东德州）,张福臣,不详,伪宁津县县长；疯狂扫荡冀鲁边根据地，抓捕抗日干部。,战后公审枪决
,李逢源,宁津,伪宁津警备大队长；伪军铁杆，多次出城扫荡。,宁津解放被俘处死
庆云县（当时属伪渤海道，今山东德州）,王炳章,不详,伪庆云县县长；管控冀鲁边区边缘，修筑炮楼封锁根据地。,战后汉奸罪判处徒刑
,赵老黑,庆云,伪庆云警备大队长；下乡抢掠，迫害堡垒户。,庆云解放被俘枪决
