姓名,伪职 / 身份,活动地区,核心罪行,最终结局
袁琢斋,合肥维持会首任会长,合肥老城区,原红卐字会会长，合肥沦陷后牵头组建维持会，迎接日军入城，召集商户复业，强征粮草民夫资敌，办理良民证，是合肥最早投敌头目。,抗战胜利后汉奸审判判处死刑。
方星樵,汪伪合肥县公署首任知事（伪县长）,合肥全县,1939‑02‑01 伪合肥县公署正式成立，首任主官；组建伪警察、大民会庐州支部，推行保甲、奴化教育，搜刮粮食物资，镇压城内抗日活动。,抗战胜利后逮捕伏法。
张耀枢,继任汪伪合肥县县长,合肥城区及四乡,接替方星樵执掌伪县公署，扩充伪自卫团，配合日军对城郊、店埠、上派河扫荡，破坏地下抗日组织。,汉奸审判判处重刑。
李品和,汪伪合肥县后期县长,合肥,抗战末期伪合肥主官，直到日军投降；统筹城乡伪行政，管控水陆交通，盘查过往行人，抓捕爱国群众。,1945 年肃奸被捕判刑。
王梦尧,伪合肥警察局局长,合肥城内,执掌伪警察武装，下设多个分驻所；网罗地痞组建侦缉队，搜捕地下党员、爱国青年，酷刑审讯被捕人员，推行宵禁户口检查。,战后公审枪决。
朱维民,龟山据点伪维持代表、情报联络员,合肥西乡龟山,为日军据点充当汉奸耳目，多次告密抗日武装行踪，引导日军下乡烧杀劫掠，祸害西乡乡村百姓党史学习教...。,被抗日武装锄奸处决。
程玉山（程小元）,伪军团长，肥东籍,肥东、巢湖西北一带,土匪投敌，历任伪军大队长、伪二团团长；多次袭击新四军地方武装，抓捕杀害抗日干部，残害根据地群众。,抗战胜利后被国民党收编；1949 年捕获镇压。
张惕勤,汪伪空军，合肥籍,不在合肥本地活动,原国军飞行员，1941 驾机投敌，加入汪伪空军，参与轰炸大后方，合肥籍贯的知名投敌人员。,1948 年上海判处死刑枪决。
霍世九,定合边界汉奸联络站头目,合肥东北、定合县交界,建立日伪情报联络站，策反我方人员，搜集淮南根据地军事情报，传递给日军据点中安在线。,根据地公安局破案抓捕处决。
李仲学,伪下塘乡特务,下塘集（今长丰，旧属合肥）,受伪乡长指派潜伏，搜集根据地情报，传递日伪，多次参与抓捕抗日干部中安在线。,定合县锄奸小组捕获镇压。
周少斋,伪大民会庐州支部负责人,合肥城内,日伪特务组织大民会，负责亲日宣传，发展伪会员，下乡散发 “大东亚共荣” 传单，拉拢知识分子附逆。,抗战胜利后附逆案判刑。
陈老八（绰号）,合肥宪兵队便衣密探,合肥城郊、二十埠、磨店,地痞投靠日军宪兵队，四处刺探情报，敲诈商户，告密抓捕进步群众，民愤极大。,抗战后期被地下锄奸队击毙。
张慕陶,伪合肥县财政科长,合肥城区,经济汉奸，主管伪财政，征收苛捐杂税，统制粮食布匹，为日军搜刮战略物资。,汉奸清算判处有期徒刑。
刘秉钧,伪合肥县教育科长,合肥,推行奴化教育，改编中小学教材，强迫学校开设日语课，查禁爱国书刊。,战后肃奸判刑。
