姓名,籍贯,伪职,主要罪行,结局
袁金铠,辽宁辽阳,奉天地方治安维持会委员长；伪满尚书府大臣、参议府参议,九一八事变后立刻牵头组建奉天维持会，协助日军接管沈阳，恢复伪政权，参与策划伪满洲国建立，推行保甲，镇压反日活动。,1945 年被捕，保外就医，1947 年病死，逃脱审判。
臧式毅,辽宁沈阳,伪奉天省首任省长；伪满民政部总长、参议府议长,原辽宁省政府主席，被日军软禁三月后投降；母亲自尽劝其拒敌仍不改；在奉天推行保甲连坐、集团部落，镇压东北抗日义勇军；代表伪满和汪伪签订《日满华三国共同宣言》抖音百科。,苏军逮捕，引渡抚顺战犯管理所，1956 年死于狱中。
赵欣伯,河北宛平,伪奉天市第一任市长，伪立法院院长,留日亲日派，参与炮制伪满洲国，主持奉天伪市政，制定伪法规，搜刮商民，镇压城内反日力量。,抗战胜利被捕，1951 年看守所猝死。
于冲汉,辽宁辽阳,伪奉天自治指导部部长,伪满早期核心人物，建立自治指导部，在奉天全省网罗汉奸，培训伪官吏，推行奴化统治。,1932 年病死，逃脱审判。
阚朝玺,辽宁盘山县,伪奉天省维持会委员、伪满中央银行监事,奉系旧军阀，九一八后投敌，参与奉天维持会，协助日军稳定沈阳局势，参与镇压抗日力量。,1945 年被捕，1951 年镇反被处决。
王静修,辽宁沈阳,伪奉天警备司令，伪陆军上将,奉军出身，投敌掌管奉天伪军，维持沈阳及周边治安，围剿抗日武装，配合日军清乡。,1945 被苏军俘获，关押抚顺战犯管理所，病死狱中。
于芷山,辽宁台安,伪奉天省警备司令官，伪治安部大臣中国新闻网,原东边道镇守使，公开投敌，司令部设在沈阳大帅府；指挥伪军镇压辽东、奉天各地义勇军。,解放后逮捕，1951 年病死于抚顺战犯管理所中国新闻网。
金荣桂,辽宁辽阳,伪奉天市市长,接续主持奉天市政，强化户口管控，强征劳工物资，推行治安强化运动。,抗战胜利被捕，以汉奸罪判刑。
郑禹,福建闽侯,伪奉天市末代市长,郑孝胥之子，伪满后期奉天市长，执行日军末期搜刮政策。,1945 被苏军逮捕，关押抚顺战犯管理所，1954 年病死。
郭世魁,辽宁沈阳,伪奉天警察厅厅长,掌管奉天伪警察、特务系统，大肆搜捕地下反日人员，严刑迫害爱国志士。,抗战胜利后公审处决。
