姓名,伪职 / 身份,活动地区,核心罪行,最终结局
徐柏如,衢县临时维持会会长,衢州城区（衢县）,1942 年日军攻占衢州后出面组建临时维持会，召集城内商绅，为日军征集粮草民夫，维持占领区市面。日军撤退后解散。,抗战胜利后以附逆罪逮捕判刑。
余兆南,衢县临时维持会副会长,衢县城关,协助徐柏如，胁迫商户出钱出物资敌，办理良民证，协助日军管控城区。,汉奸清算判处有期徒刑。
姜启泰,龙游维持会会长,龙游县城,1942 年龙游沦陷，出任临时维持会会长，迎接日军入城，摊派粮款，强征民夫抢修铁路、机场工事。,日军撤退后被第三战区逮捕惩处。
方宝书,龙游维持会干事,龙游县城,为日军搜集城内物资，奔走联络乡绅附逆，刺探乡间抗日武装动向。,战后逮捕判刑。
周渭清,江山临时维持会会长,江山县城,浙赣战役江山沦陷，组建临时维持会，为日军筹措给养，胁迫地方士绅合作。日军撤退维持会瓦解。,抗战胜利后附逆案审判，判处徒刑。
毛景春,江山维持会骨干,江山城区,协助周渭清管理市面，向各商铺摊派物资资敌。,清算运动判刑。
郑守业,常山维持会会长,常山县城,日军占领常山期间出任维持会会长，征粮派差，为日军提供向导，迫害不愿顺从的百姓。,日军撤退后被地方抗日武装捕获惩处。
刘阿苟,衢县日军宪兵便衣密探,衢县、航埠、石梁一带,地痞投敌，充当日军耳目，刺探第三战区部队情报，引导日军下乡搜捕、劫掠乡村。,1943 年被地方抗日自卫队锄奸处决。
吴老三（绰号）,龙游便衣特务,龙游湖镇、詹家,依附日军，敲诈乡镇商户，告密爱国人员，多次随同日军下乡骚扰。,日军撤退后被公审处决。
张阿福,江山密探，汉奸向导,江山贺村、淤头,熟悉浙赣铁路沿线，多次给日军带路进山，搜捕溃散国军与爱国群众。,被江山地方自卫队抓获处决。
陈炳生,常山伪乡维持代表,常山辉埠,沦陷时期出任乡一级伪代表，催缴粮食，逼迫百姓为日军出工。,抗战胜利后群众斗争，判处有期徒刑。
