姓名,伪职 / 身份,活动地区,核心罪行,最终结局
郝凤亭,六安城关维持会会长,六安县城（今裕安区）,六安沦陷头号汉奸，日军入城即组织维持会；搜罗地痞流氓四十余人，为日军征粮筹款、搜集情报、充当扫荡向导，欺压城内百姓。,日军撤退后被捕，1939 年元旦公审枪决。
张德明,维持会副会长,六安城关,郝凤亭副手，协助组织维持会，逼迫商户向日军纳贡，指认抗日相关人员。,1939 年元旦公审处决。
吕仰周,维持会骨干,六安城关,参与维持会各项事务，为日军征集民夫，迫害城内爱国群众。,公审镇压。
李子忠,维持会骨干,六安城关,替日军打探城内残余军政人员线索，敲诈避难百姓财物。,公审枪决。
林海山,维持会骨干,六安城关,负责胁迫本地士绅附逆，传递民间情报。,公审处决。
汤怀清,维持会骨干,六安城关,搜刮粮食柴草供给日军驻军。,公审镇压。
周利生,维持会骨干,六安城关,发展眼线，搜捕潜藏的抗日人员。,公审枪决。
袁甫庭,维持会骨干,六安城关,盘查城门出入百姓，告密陷害平民。,公审处决。
熊老五,维持会骨干,六安城关,地痞出身，仗日军势力勒索商户、欺凌百姓。,公审镇压。
张仁秋,乡维持会头目,六安孙岗乡,在乡下组建伪化组织，带路下乡劫掠，残害乡村抗日积极分子，事迹被编入当年扫盲课本作为反面教材。,逮捕后公审枪决。
杨胯子（绰号）,舒城城关维持会骨干,舒城县城汪圩,日军占领舒城后，领取日伪袖章膏药旗，搜集情报，带领日军下乡烧杀抢掠，胁迫群众 “欢迎皇军”。,舒城光复后军法审判处决。
赵某（商人，佚名）,舒城维持会头目,舒城城关,本地商人，公开投敌，主持城关维持会，摊派商税物资资敌。,战后肃奸判刑。
朱某（佚名）,桃溪汉奸头目,舒城桃溪镇,胁迫乡民迎接日军，充当向导，引导日军焚毁周边二十余村庄，残害平民。,地方自卫队捕获镇压。
黄玉章,寿县临时维持会首要分子,寿县古城（第一次沦陷）,日军占领寿县时期出面投敌，为日军张罗粮草，祸害城内百姓寿县人民政...。,日军撤走后当即被自卫军逮捕处决。
张涵轩（绰号小老鼠）,寿县汉奸爪牙,寿县县城,依附黄玉章，告密抓捕城内爱国人士，敲诈市民财物寿县人民政...。,随同黄玉章被处决。
周麻子（绰号）,霍山便衣汉奸,霍山大河厂‑下符桥,带路日军扫荡大河厂，砍断电话线嫁祸乡民，酿成石洞全家 13 口被炸死惨案，烧杀劫掠乡村。,霍山地方武装捕获正法。
岳岐山（岳葫芦）,日伪稽查队长,霍邱西乡，流窜六安、寿县、淮南,惯匪，1944 年投靠淮南日军任稽查队长；在霍邱周边搜集情报、绑票勒索；抗战胜利被国民党收编继续为匪，残害大量基层干部群众抖音百科。,1951 年镇反公审枪决。
余少山,边境派遣特务,霍邱北部（靠近凤台沦陷区）,蚌埠特工站派遣潜入，伪装商贩，在霍邱边境搜集驻军情报，发展内线，走私资敌。,霍邱军警破获，军法处死。
方守业,舒城投敌叛徒,舒城千人桥,原地方自卫队员，被俘投敌，潜回舒城东乡策动乡丁哗变，刺探四支队活动情报。,新四军地方武工队锄奸处决。
王二混子（绰号）,立煌（金寨）潜入密探,金寨古碑冲一带,从皖中沦陷区窜入，伪装货郎，趁日军窜扰立煌期间搜集军情，散布失败谣言。,乡自卫队抓获处置。
