区域,姓名,籍贯,伪职及主要罪行,结局
安次县（今廊坊市区）,吕汇川,不详,伪安次县首任县长；迎接日军，组建伪公署、新民会，修筑平津沿线炮楼，强征粮秣抓丁。,战后汉奸罪判处长期徒刑
,王锡侯,安次,后期伪安次县长；五一大扫荡后强化伪大乡，搜捕十分区地下干部。,日本投降潜逃，后抓捕归案判刑
,柳世平（柳小五）,武清,伪武清保安第一总队司令，势力覆盖安次、胜芳一带；廊坊头号铁杆汉奸，盘踞胜芳、葛渔城，多次扫荡大清河北，屠杀干部群众。,1945 年天津被国民党逮捕，1946 公审枪决北方网
,张哈飞,武清,原抗日游击队叛变，伪安次‑武清自卫团大队长；分驻黄花店、东沽港，疯狂讨伐抗日武装。,抗战胜利被国民党收编，解放后镇反处决北方网
,李广龙,安次八洋庄,八洋庄据点伪军中队长；四处清乡，抓捕杀害多名县区村干部，残害百姓。,冀中十分区武工队锄奸击毙
霸县（霸州）,张存真,霸县,霸县维持会会长；1937 年日军入城，率先投敌，搭建伪地方组织。,1938 年我军攻克霸县城被俘，公审处决廊坊市纪委...
,张冠英,不详,伪霸县首任知事；从天津被日军派来，扩充伪保卫团固守霸县城。,城破逃跑，战后抓捕判刑廊坊市纪委...
,刘焕文,霸县,伪霸县保卫团头目；协助张冠英守城，监视伪军，残害爱国群众。,城破被俘，就地枪决廊坊市纪委...
,王德裕,霸县,伪霸县警备联队长；伪军主力，盘踞霸县城、新镇、煎茶铺，反复扫荡大清河北，破坏苇塘根据地。,霸县解放被俘，公审枪决
,武海潭,霸县,伪警备大队长，王德裕副手；驻策城据点，告密我方人员，制造多起惨案。,策城被攻克被俘处决
永清县,边作楫,不详,伪永清县县长；推行保甲连坐，修筑封锁沟，配合日军反复扫荡永清、安次交界。,战后逮捕判处无期徒刑
,赵老印,永清,伪永清警备大队长；驻守永清城、韩村据点，下乡烧杀抢掠，抓捕堡垒户。,永清解放被俘枪决
,宋万合,永清,伪特务系长；发展大批乡村密探，搜捕十分区地下交通人员。,镇反时期公审处决
固安县,李葆华,不详,伪固安县县长；依托平汉铁路，修筑大量炮楼，清乡扫荡固安西部。,战后汉奸罪判处徒刑
,王凤岗,固安,原地方武装，抗战后期投敌，伪固安保安团；日降后被国民党收编，成为大清河北主要顽匪，残害冀中十分区军民。,1949 年逃亡台湾，病死台湾
,石连丰,固安,伪后备队队长；配合王凤岗搜捕我方干部，抓捕杀害革命人员。,固安解放被俘处决廊坊市人民...
,刘老善,固安,伪固安警备大队长；驻守固安县城、牛驼据点，多次出城扫荡。,固安解放被俘枪决
香河县,武桓（武宜亭）,香河柴庄,臭名昭著香河事变主谋，大地主士绅；勾结日本特务发动 “华北自治” 暴动，组建伪自治政府。事变失败后仍充当日伪高级顾问，为日军出谋划策。,抗战胜利逮捕，汉奸罪判处死刑
,安厚斋,香河岭子村,香河事变伪代理县长；依附日寇，参与香河自治闹剧。,战后判刑管制香河方志
,姜恩良,香河,伪香河保安团团长；武桓手下，参与香河事变，镇压当地抗日运动。,香河解放被俘枪决香河方志
,赵兴武,不详,伪香河县正式县长；接管伪政权，推行新民会奴化教育，强征粮秣。,战后逮捕，判处长期徒刑
三河县,杨泽普,不详,伪三河县县长；管控冀东与平北通道，修筑炮楼，搜捕抗日人员。,战后汉奸罪判处徒刑
,周梦山,三河,伪三河警备大队长；驻守三河县城、段甲岭据点，配合日军扫荡蓟平密根据地边沿。,三河解放被俘枪决
大厂（当时分属三河、香河）,杨玉山,大厂夏垫,夏垫据点伪警备中队长；为日军搜集情报，祸害周边村庄。,1944 年被县大队锄奸击毙
武清县（旧武清含胜芳）,柳世平（柳小五）,武清,伪武清保安第一总队司令，见安次部分。,公审枪决
,刘阔然,武清,伪武清保安第四大队长；驻守王庆坨，设置多处分据点，镇压路南抗日活动。,武清解放被俘处决北方网
,张哈飞,武清,伪自卫团大队长，见安次部分。,镇反处决北方网
宝坻县（当时属伪燕京道，今天津宝坻）,王慕韩,不详,伪宝坻县县长；管控潮白河畔，配合日军扫荡蓟宝三根据地。,战后逮捕判刑
,崔勋臣,宝坻,伪宝坻警备大队长；伪军主力，下乡清乡，抓捕抗日干部。,宝坻解放被俘枪决
