抗日时期南昌市汉奸名录,,,,,
序号,姓名,籍贯,伪职务,主要罪行,最终结局
1,胡蕙,南昌本地人,南昌沦陷首任维持会会长,最早投靠日军，负责城区治安，为日军搜刮物资,暂无明确结局记载
2,千万西,南昌幽兰镇人,伪南昌市长,长期为日军征粮，抓捕爱国人士,暂无明确结局记载
3,刘建达,新建南新乡人,第二任伪南昌市长,多次组织便衣下乡扫荡,暂无明确结局记载
4,胡熏,南昌县人,伪南昌市长,暂无详细罪行记载,暂无明确结局记载
5,万茂祥,莲塘本地人,日军专职翻译,常年带队下乡告密，指认抗日家属,暂无明确结局记载
6,章伏龙,南昌麻丘荷埠周村人,汉奸向导,1942年令公庙大屠杀带路元凶，带领日军制造860余人惨死的惨案,战后被依法处决
7,陈苟仔（罗老八）,莲塘人,伪保长,多次引路日军搜查岗前、万舍各村,暂无明确结局记载
8,李细狗（周毛仔）,向塘火车站,伪军密探,专门打探难民位置，带队扫荡河湾窑洞,暂无明确结局记载
9,矮子黄麻子,武阳本地人,伪保长,为日军引路围剿抚河沿岸村庄,暂无明确结局记载
10,范俊文,河南开封人（安义籍）,汪伪安义县特务队队长,盘踞新建乐化、樵舍，带领日军靖安队扫荡新建、安义、靖安乡村，制造多起烧杀抢掠惨案，残害抗日军民,战后被依法处决
11,熊大七,新建乐化本地人,日军靖安队头目,充当日军向导，制造华盐桥、捡门惨案,暂无明确结局记载
12,萧淑宇,江西永新人,汪伪江西省省长（未到任）,原国民党江西省保安司令部政训处少将处长，投靠汪伪政权，筹备赴南昌担任伪省长,1941年赴南昌上任途中被国民党江西省政府主席熊式辉派人枪杀
