姓名,伪职 / 身份,活动地区,核心罪行,最终结局
缪斌,伪华北新民会副会长、汪伪立法院副院长（无锡籍）,南京、无锡,汪伪高层大汉奸，出卖国家利益；无锡缪公馆设水牢刑室，关押残害爱国志士；私下参与对日秘密媾和活动荔枝网新闻。,1946 年苏州以汉奸罪枪决，是战后首个被处决的汪伪高官。
杨翰西,无锡伪自治委员会（维持会）委员长,无锡县城,日军占领后牵头组建伪维持会，协助日军接管城市，推行殖民统治，管控工商行业。,抗战胜利后被捕，后保释逃往香港，1973 年客死香港。
杨高伯,第一任伪无锡县县长,无锡县城,首任伪县长，全面执行日伪政令，压榨民众，迫害抗日力量无锡市档案...。,1938 年被抗日游击队潜入城内处决，日军为此全城大搜捕。
秦亮功,第三任伪无锡县县长,无锡县城,原维持会委员，出任伪县长，充当日军傀儡，配合清乡、征粮。,抗战胜利后被逮捕判刑。
安照白,第四任伪无锡县县长（安镇人）,无锡东乡、县城,积极配合日军清乡扫荡，迫害抗日群众，对日军极度顺从。,抗日锄奸队潜入无锡城内将其击毙。
牛荫鹰,第五任伪无锡县县长,无锡县城,官僚出身，应付日伪，听闻抗日武装要锄奸，主动辞职逃离无锡。,战后被逮捕审判。
杨彦斌,第六任伪无锡县县长,无锡全县,主导无锡汪伪时期 “清乡”，多次引日伪军围剿太湖支队抗日武装，搜捕地下抗日人员无锡市档案...。,抗战胜利后以汉奸罪判刑。
吴正荣（绰号沙壳子）,伪侦缉队队长,无锡城区,老牌流氓汉奸，手上残害大量共产党、爱国志士，滥施酷刑，为日军大肆抓捕群众无锡市档案...。,1939 年被尤国桢锄奸团击毙。
韦长镇,伪无锡警察局局长,无锡县城,执掌伪警察，镇压城内抗日活动，配合日军搜捕进步人士。,被抗日锄奸团击毙无锡市档案...。
周阿福,汪伪无锡特工站特务,无锡城区,汪伪特务，搜集情报，告密、抓捕爱国人员。,被抗日锄奸团处决无锡市档案...。
曹湘,伪乡长兼清乡大队长,无锡荡口（锡东）,向日军告密新四军驻地情报，直接引发门楼下惨案，致使日军奔袭扫荡，残害百姓无锡市档案...。,抗战胜利后公审处决。
周隆庠,汪伪外交部次长、行政院秘书长（无锡籍）,南京，原籍无锡,汪精卫首席日语翻译，汪伪核心高官，参与汪伪外交、政务，追随陈公博抖音百科。,1945 年被引渡回国，判处无期徒刑，1969 年狱中去世。
任援道,汪伪海军部长、伪江苏省省长（宜兴人）,苏南，宜兴原籍,投敌出任绥靖军总司令，手握伪军重兵，协助日军清乡；私下暗通重庆军统留后路。,抗战胜利后逃往香港，后移居加拿大，1980 年病死海外。
殷同,伪维新政府建设部总长（江阴人）,南京，江阴原籍,伪维新政府高层，主管华北、华中交通，为日军掠夺资源服务，汪伪政权重要人物。,1942 年病亡，未及战后清算。
孙祖基,汪伪杭州市长、汪伪民政司司长（无锡籍）,南京、杭州，无锡原籍,原民国无锡县长，投敌历任多个汪伪高级官职，协助汪伪地方治理。,抗战胜利后被捕判刑。
华岳,伪乡镇汉奸，密探,锡南地区,充当日伪耳目，告密地下党、武工队情报，迫害抗日群众。,1944 年锡东武工队锄奸处决无锡市档案...。
黄家桐,伪地方特务,锡南,搜集抗日武装情报，抓捕接济新四军群众。,1944 年被武工队锄奸处决无锡市档案...。
